#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
NGC_0315                  855    00:58:59.49    +30:23:30.5  925.000  140.0   49.5    0.0       3.70       0.60        F   0.0165     na     na
NGC_0315                  855    00:59:14.58    +30:16:35.3 1143.000   86.7   47.9    0.0       3.20       0.50        F   0.0165     na     na
NGC_0507                  317    01:22:24.52    +33:12:52.8  958.000   44.6   38.5    0.0       5.80       0.50        F   0.0165     na     na
NGC_0507                  317    01:22:31.94    +33:12:22.5  872.000   24.2   19.5    0.0      16.30       0.60        F   0.0165     na     na
NGC_0507                  317    01:22:40.55    +33:08:36.9  849.000   54.2   27.3   -2.6      10.90       1.10        F   0.0165     na     na
NGC_0507                  317    01:22:46.03    +33:20:33.2  744.000   28.7   22.7    0.0      11.20       0.50        F   0.0165     na     na
NGC_0507                  317    01:22:50.93    +33:10:45.9  674.000   92.4   69.3    0.0       3.90       0.60        F   0.0165     na     na
NGC_0507                  317     01:23:0.66     +33:29:7.1  960.000   18.9   16.8    0.0      62.70       1.90        F   0.0165     na     na
NGC_0507                  317     01:23:2.30    +33:17:18.3  486.000   43.6   36.0    0.0       4.80       0.40        F   0.0165     na     na
NGC_0507                  317     01:23:8.82    +33:08:39.4  561.000   20.3   15.9    0.0      80.70       2.50        F   0.0165     na     na
NGC_0507                  317    01:23:11.57    +33:31:44.0 1043.000   41.8   31.1   49.4       7.50       1.00        F   0.0165     na     na
NGC_0507                  317    01:23:21.95    +33:21:21.5  424.000   38.6   36.8    0.0       4.50       0.40        F   0.0165     na     na
NGC_0507                  317    01:23:32.10    +33:05:17.6  613.000   41.4   29.0    0.0       8.50       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:37.99    +33:15:34.0   26.700   45.5   30.3  -44.9      61.70       2.50        F   0.0165     na     na
NGC_0507                  317    01:23:41.41    +33:17:47.7  146.000   26.2   25.4    0.0       8.80       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:43.43     +33:15:0.9   49.100   69.9   34.5    3.8      37.10       2.10        F   0.0165     na     na
NGC_0507                  317    01:23:44.23    +33:12:11.0  199.000   38.9   36.6    0.0       4.60       0.40        F   0.0165     na     na
NGC_0507                  317    01:23:45.81    +33:25:54.5  636.000  126.0   55.9   -6.1       9.00       1.70        F   0.0165     na     na
NGC_0507                  317    01:23:47.80     +33:10:9.9  328.000   88.5   52.8    0.0       4.30       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:48.82    +33:01:43.7  827.000   80.3   57.0    0.0       2.40       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:51.54     +33:11:9.4  292.000   52.6   36.5    0.0       4.90       0.50        F   0.0165     na     na
NGC_0507                  317    01:23:57.85    +33:30:54.9  959.000   27.0   22.2    0.0      11.70       0.50        F   0.0165     na     na
NGC_0507                  317     01:24:9.96    +33:04:23.6  759.000   47.2   44.4    0.0       3.40       0.40        F   0.0165     na     na
NGC_0507                  317    01:24:10.44    +33:13:54.3  393.000   57.7   38.8    0.0       4.40       0.50        F   0.0165     na     na
NGC_0507                  317    01:24:26.82    +33:23:15.8  754.000   94.5   53.9    0.0       2.70       0.50        F   0.0165     na     na
NGC_0507                  317    01:24:27.01    +33:29:27.7 1030.000   53.9   40.1    0.0       4.10       0.50        F   0.0165     na     na
NGC_0507                  317    01:24:27.15    +33:15:22.2  592.000   44.4   41.1    0.0       3.90       0.40        F   0.0165     na     na
NGC_0507                  317    01:24:34.59    +33:18:33.7  712.000   33.3   23.9    0.0      10.10       0.50        F   0.0165     na     na
NGC_0507                  317    01:24:54.63    +33:08:52.0 1016.000   65.6   40.2    0.0       4.20       0.50        F   0.0165     na     na
NGC_0507                  317    01:25:10.69    +33:12:20.9 1153.000   26.1   23.6    0.0      10.20       0.50        F   0.0165     na     na
NGC_0507                  317    01:25:12.95    +33:16:31.4 1169.000   15.0   16.5   30.2     158.80       5.60        F   0.0165     na     na
NGC_0777                 5001     01:59:2.04    +31:18:26.0 1032.000   26.6   26.2  -82.6      12.70       0.90        F   0.0167     na     na
NGC_0777                 5001     01:59:9.32    +31:38:39.0 1141.000  111.0   53.0    0.0       4.40       0.60        F   0.0167     na     na
NGC_0777                 5001    01:59:18.03     +31:27:7.5  732.000  119.0   51.4    0.0       2.90       0.50        F   0.0167     na     na
NGC_0777                 5001    01:59:26.84    +31:34:26.3  806.000   24.9   20.7    0.0      12.80       0.50        F   0.0167     na     na
NGC_0777                 5001    01:59:35.81     +31:29:5.7  539.000   92.1   64.1    0.0       4.30       0.60        F   0.0167     na     na
NGC_0777                 5001    01:59:44.05    +31:31:49.9  537.000   40.0   29.6    0.0       6.40       0.50        F   0.0167     na     na
NGC_0777                 5001    01:59:46.01    +31:22:58.6  406.000   21.8   16.9  -71.7     256.30       8.90        F   0.0167     na     na
NGC_0777                 5001    01:59:49.26    +31:11:30.7  916.000   63.1   54.2    0.0       3.00       0.40        F   0.0167     na     na
NGC_0777                 5001    01:59:51.00    +31:18:57.0  511.000  114.0   53.6    0.0       2.70       0.50        F   0.0167     na     na
NGC_0777                 5001    01:59:54.09    +31:34:24.0  583.000   53.5   30.2   -2.1       9.90       1.00        F   0.0167     na     na
NGC_0777                 5001    02:00:14.88    +31:25:45.5    0.390   37.0   27.9    0.0       7.00       0.50        F   0.0167     na     na
NGC_0777                 5001    02:00:15.74    +31:09:17.3  988.000   37.0   32.2    0.0       5.50       0.40        F   0.0167     na     na
NGC_0777                 5001    02:00:20.28    +31:22:19.5  217.000   15.2   15.2    0.0      66.20       2.00        F   0.0167     na     na
NGC_0777                 5001    02:00:22.57    +31:09:42.0  969.000   41.4   37.8    0.0       4.30       0.40        F   0.0167     na     na
NGC_0777                 5001    02:00:33.48    +31:37:16.0  730.000   36.2   32.9    0.0       5.30       0.40        F   0.0167     na     na
NGC_0777                 5001    02:00:40.38    +31:28:26.0  363.000  112.0   70.4    0.0       3.10       0.50        F   0.0167     na     na
NGC_0777                 5001    02:00:53.64    +31:19:16.8  630.000   61.9   38.4    0.0       5.20       0.50        F   0.0167     na     na
NGC_0777                 5001     02:01:6.63    +31:32:48.6  785.000   38.3   25.7    0.0       8.50       0.50        F   0.0167     na     na
NGC_0777                 5001    02:01:15.23    +31:20:27.1  835.000   45.4   38.2    0.0       4.20       0.40        F   0.0167     na     na
NGC_0777                 5001    02:01:25.84    +31:15:32.6 1096.000  104.0   53.8    0.0       2.70       0.50        F   0.0167     na     na
NGC_0777                 5001    02:01:33.70    +31:15:48.3 1173.000   42.1   38.4   22.5      11.00       1.00        F   0.0167     na     na
NGC_1316                 2022     03:21:2.44    -37:10:25.3 1192.000  127.2  127.1  -89.9     479.60      15.30        F   0.0059     na     na
NGC_1316                 2022     03:21:4.25    -37:17:22.4 1200.000  127.2  126.7  -88.0     172.80       7.10        F   0.0059     na     na
NGC_1316                 2022     03:21:8.55    -37:07:55.3 1146.000  127.0   80.8    8.9     249.40       8.40        F   0.0059     na     na
NGC_1316                 2022    03:21:10.27    -37:09:25.4 1108.000   25.4   21.5    0.0      13.40       0.60        F   0.0059     na     na
NGC_1316                 2022    03:21:17.19    -37:16:27.4 1037.000  127.0   60.3   49.8      98.70       4.40        F   0.0059     na     na
NGC_1316                 2022    03:21:24.69    -37:02:16.1 1106.000   76.3   20.7  -28.1      53.20       2.20        F   0.0059     na     na
NGC_1316                 2022    03:21:27.20    -37:01:29.8 1108.000  108.3   36.3  -17.6      68.70       3.20        F   0.0059     na     na
NGC_1316                 2022    03:21:27.31    -37:09:13.6  910.000   76.4   27.7   -0.1      54.00       2.50        F   0.0059     na     na
NGC_1316                 2022    03:21:29.65    -37:15:13.5  876.000   62.6   26.8   14.3      29.60       1.60        F   0.0059     na     na
NGC_1316                 2022    03:21:31.42    -37:00:31.5 1105.000   91.7   29.3    5.7     108.30       4.00        F   0.0059     na     na
NGC_1316                 2022    03:21:35.30    -36:59:15.9 1122.000   33.7   31.2    0.0       6.30       0.50        F   0.0059     na     na
NGC_1316                 2022    03:21:39.20    -37:27:34.1 1173.000  125.6   46.0   50.0       9.90       1.90        F   0.0059     na     na
NGC_1316                 2022    03:21:39.81    -36:59:13.3 1087.000   44.6   37.7    0.0       4.90       0.50        F   0.0059     na     na
NGC_1316                 2022    03:21:44.74     -37:00:4.8 1009.000  126.7   32.6   -5.0      62.00       3.10        F   0.0059     na     na
NGC_1316                 2022    03:21:46.48    -37:07:43.5  719.000  126.6   23.7    8.7      45.50       2.30        F   0.0059     na     na
NGC_1316                 2022    03:21:56.68    -36:59:34.2  943.000  126.4   64.6   -2.9      60.50       3.70        F   0.0059     na     na
NGC_1316                 2022    03:21:58.14    -37:18:33.0  635.000   53.5   47.3   16.7      19.40       2.00        F   0.0059     na     na
NGC_1316                 2022     03:22:1.00    -37:06:28.6  605.000   84.7   53.3  -22.1     149.30       5.30        F   0.0059     na     na
NGC_1316                 2022     03:22:3.02    -37:17:57.5  567.000  121.0   48.5  -13.2      31.20       2.90        F   0.0059     na     na
NGC_1316                 2022     03:22:5.21    -37:12:27.6  436.000   63.2   34.9   10.8      54.30       2.50        F   0.0059     na     na
NGC_1316                 2022    03:22:11.41    -36:57:24.3  974.000  216.0   45.8    0.0       4.10       0.70        F   0.0059     na     na
NGC_1316                 2022    03:22:17.82     -37:04:2.7  581.000   79.4   38.7    1.2      20.70       2.20        F   0.0059     na     na
NGC_1316                 2022    03:22:21.87    -37:26:50.3  893.000   21.5   15.8    0.0      33.30       1.10        F   0.0059     na     na
NGC_1316                 2022    03:22:28.06    -37:17:20.4  334.000  117.8   43.7    2.1       7.90       1.80        F   0.0059     na     na
NGC_1316                 2022    03:22:35.32     -37:23:1.0  637.000   62.4   39.2    0.0       5.20       0.60        F   0.0059     na     na
NGC_1316                 2022    03:22:38.60    -37:02:37.5  592.000  126.6   57.1   87.5      15.70       3.20        F   0.0059     na     na
NGC_1316                 2022    03:22:39.73    -37:00:32.0  717.000  125.5   57.5  -38.7      17.60       3.10        F   0.0059     na     na
NGC_1316                 2022    03:22:41.24     -37:15:7.2  159.000  125.8   77.5    8.9      39.40       3.80        F   0.0059     na     na
NGC_1316                 2022    03:22:41.38    -36:52:55.8 1173.000   36.1   32.9    0.0       5.80       0.50        F   0.0059     na     na
NGC_1316                 2022    03:22:41.63    -37:12:25.6    3.230   21.4   14.1  -74.6     254.70       9.90        F   0.0059     na     na
NGC_1316                 2022    03:22:42.44    -36:55:56.4  992.000  123.9   40.8  -10.5       7.70       1.80        F   0.0059     na     na
