#Name                             RA             Dec        z       TX       K0    K0err     K100  K100err    alpha     aerr         LX        LHa   Type       LRad   Type
#--                            h:m:s           d:m:s       --      keV     \ent     \ent     \ent     \ent       --       --     ergs/s     ergs/s     --     ergs/s     --
ABELL_2142              15:58:20.880    +27:13:44.21   0.0898     8.24    68.06     2.48   120.57     4.36     1.22     0.04   7.59e+45   8.98e+39     NF   5.53e+39     NF
ABELL_2147              16:02:17.025    +15:58:28.32   0.0356     4.09   151.86    27.23   136.19    30.48     0.55     0.19   7.26e+43   1.34e+39     NF   4.10e+39      F
ABELL_2151              16:04:35.887    +17:43:17.36   0.0366     2.90     0.37     3.59   135.18     5.37     0.56     0.06   1.41e+44   1.41e+39     NF   5.95e+38      F
ABELL_2163              16:15:45.705    -06:09:00.62   0.1695    19.20   437.98    82.56    72.21    50.63     1.87     0.43   4.93e+45  -1.00e+00     UK   2.19e+40     NF
ABELL_2187              16:24:14.018    +41:14:37.53   0.1833     7.30    78.63    19.44   170.71    29.24     0.96     0.17   1.26e+45  -1.00e+00     UK  -1.00e+00     UK
ABELL_2199              16:28:38.249    +39:33:04.28   0.0300     4.55    13.27     0.85   331.46    90.04     1.35     0.15   8.08e+43   1.42e+40      F   8.32e+41      F
ABELL_2204              16:32:46.920    +05:34:32.86   0.1524     9.24     9.74     0.88   166.19     5.95     1.41     0.05   2.30e+45  -1.00e+00     UK   3.81e+41      F
ABELL_2218              16:35:50.831    +66:12:42.31   0.1713     7.35   288.56    20.00    10.72     7.05     2.35     0.41   8.46e+44   3.52e+40     NF   2.24e+40     NF
ABELL_2219              16:40:20.112    +46:42:42.84   0.2256    12.75   411.57    43.16    17.01    19.19     1.97     0.66   3.83e+45   6.37e+40     NF   4.15e+40     NF
ABELL_2244              17:02:42.579    +34:03:37.34   0.0967     5.68    57.58     4.25   109.07     5.99     1.00     0.05   5.54e+44   1.05e+40     NF   8.03e+39      F
ABELL_2255              17:12:42.935    +64:04:10.81   0.0805     6.12   529.10    28.19     5.78    16.60     2.63     2.69   3.70e+44   7.15e+39     NF   4.39e+39     NF
ABELL_2256              17:03:44.567    +78:38:11.51   0.0579     6.90   349.58    11.56     7.05     7.56     2.54     0.93   2.57e+45  -1.00e+00     UK   2.20e+39     NF
ABELL_2259              17:20:08.299    +27:40:11.53   0.1640     5.18   113.98    18.94    60.96    20.35     1.36     0.24   5.43e+44   3.20e+40     NF   2.04e+40     NF
ABELL_2261              17:22:27.254    +32:07:58.60   0.2240     7.63    61.08     8.12   105.96    14.11     1.27     0.16   1.76e+45   6.28e+40     NF   4.67e+40     NF
ABELL_2294              17:24:10.149    +85:53:09.77   0.1780     9.98   156.31    52.68   235.74    76.29     1.03     0.33   1.04e+45  -1.00e+00     UK   2.44e+40     NF
ABELL_2319              19:21:09.638    +43:57:21.53   0.0562    10.87   270.23     4.83    39.42     7.15     1.76     0.15   1.27e+45   6.45e+40     NF   2.06e+39     NF
ABELL_2384              21:52:21.178    -19:32:51.90   0.0945     4.75    38.48     2.95   139.21     7.31     1.49     0.11   1.98e+44  -1.00e+00     UK   6.16e+39     NF
ABELL_2390              21:53:36.825    +17:41:44.38   0.2301    11.15    14.73     6.99   202.92    15.63     1.07     0.15   3.56e+45   6.63e+41      F   4.09e+42      F
ABELL_2409              22:00:52.567    +20:58:06.55   0.1479     5.94    73.81    20.73   120.76    27.32     0.97     0.33   7.08e+44   2.57e+40     NF   1.62e+40     NF
ABELL_2420              22:10:18.792    -12:10:13.35   0.0846     7.89   332.56    67.53    64.33    62.59     1.12     0.58  -1.00e+00  -1.00e+00     UK   4.84e+39     NF
ABELL_2462              22:39:11.367    -17:20:28.33   0.0737     2.50   129.68    27.02    83.20    31.14     0.77     0.24  -1.00e+00  -1.00e+00     UK   2.89e+39     NF
ABELL_2537              23:08:22.313    -02:11:29.88   0.2950     8.40   110.41    19.37   124.72    28.97     1.26     0.27   1.02e+45  -1.00e+00     UK   7.68e+40     NF
ABELL_2554              23:12:19.622    -21:30:11.32   0.1103     5.29   105.09    71.80   318.36    86.15     0.66     0.21   1.66e+44  -1.00e+00     UK   6.81e+39     NF
ABELL_2556              23:13:01.413    -21:38:04.47   0.0862     3.50    12.38     1.34   115.76     3.96     1.13     0.07   1.53e+44  -1.00e+00     UK   5.07e+39     NF
ABELL_2589              23:23:57.315    +16:46:38.43   0.0415     3.65    51.99    39.21   109.56    34.76     0.61     0.51   3.30e+43   1.83e+39     NF   8.73e+38     NF
ABELL_2597              23:25:19.779    -12:07:27.63   0.0854     4.02    10.60     1.52    98.88    15.18     1.26     0.19   1.47e+44   5.38e+41      F   3.73e+42      F
ABELL_2626              23:36:30.452    +21:08:47.36   0.0573     3.29    23.19     2.88   144.08     6.34     1.05     0.09   6.61e+43   5.96e+39      F   4.68e+40      F
ABELL_2631              23:37:38.560    +00:16:05.02   0.2779     7.06   308.81    37.38    29.18    23.36     1.44     0.41   1.27e+45   1.01e+41     NF   6.69e+40     NF
ABELL_2657              23:44:57.253    +09:11:30.74   0.0402     3.77    65.39    11.99   153.55    15.14     0.91     0.13   4.27e+44   1.71e+39     NF   7.52e+38     NF
