# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
ABELL_2556                  2226   0.95   3.90  2.02  0.00  0.00  3.31  3.16  3.48  0.34  0.34  0.34   5.22e-03   5.15e-03   5.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.896   1.11    251
ABELL_2589                  3210   1.95   2.38  3.98  0.00  0.00 18.61 11.07 37.08  0.30  0.30  0.30   3.00e-03   2.76e-03   3.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.504   1.33     46
ABELL_2597                   922   0.96   1.13  2.51  0.00  0.00  3.89  3.61  4.20  0.37  0.37  0.37   1.31e-03   1.28e-03   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  0.249   0.84    122
ABELL_2626                  3192   1.42   3.10  4.30  0.00  0.00  3.05  2.93  3.18  0.30  0.30  0.30   5.12e-03   5.05e-03   5.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.824   1.25    235
ABELL_2667                  2214   0.37   3.01  1.64  0.00  0.00  6.36  5.93  6.84  0.31  0.31  0.31   9.19e-03   9.05e-03   9.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  1.392   1.29    209
ABELL_2670                  4959   1.07   4.10  2.88  0.00  0.00  4.44  4.26  4.63  0.25  0.25  0.25   5.91e-03   5.83e-03   5.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.650   1.27    333
ABELL_2744                  2212   0.28   3.77  1.82  0.00  0.00  7.35  6.93  7.82  0.19  0.19  0.19   9.16e-03   9.06e-03   9.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  1.177   1.26    308
ABELL_3112                  2516   1.13   3.00  2.50  0.00  0.00  4.93  4.76  5.12  0.51  0.51  0.51   1.14e-02   1.13e-02   1.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  2.145   1.30    292
ABELL_3158                  3201   1.40   4.10  1.60  0.00  0.00  5.17  5.02  5.32  0.30  0.30  0.30   1.58e-02   1.57e-02   1.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  1.904   1.05    371
ABELL_3266                   899   1.38   3.80  1.72  0.00  0.00 11.82 11.21 12.50  0.32  0.32  0.32   1.47e-02   1.46e-02   1.48e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  1.695   1.15    384
ABELL_3558                  1646   1.69   3.03  3.84  0.00  0.00  6.11  5.80  6.45  0.33  0.33  0.33   1.13e-02   1.12e-02   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  2.082   0.95    272
ABELL_3562                  4167   1.66   4.10  3.90  0.00  0.00  4.84  4.62  5.08  0.30  0.30  0.30   8.34e-03   8.23e-03   8.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  0.957   0.98    279
ABELL_3571                  4203   2.07   2.17  4.66  0.00  0.00  7.33  6.69  8.09  0.30  0.30  0.30   1.75e-03   1.72e-03   1.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  0.303   1.17    181
ABELL_4038                  4992   2.70   4.10  1.57  0.00  0.00  3.21  3.13  3.29  0.30  0.30  0.30   8.40e-03   8.32e-03   8.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.973   1.28    313
AC_114                      1562   0.28   3.62  1.44  0.00  0.00  7.08  6.70  7.49  0.30  0.30  0.30   4.43e-03   4.38e-03   4.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.612   1.07    398
CL_1221+4918                1662   0.14   1.86  1.44  0.00  0.00  6.31  5.37  7.54  0.30  0.30  0.30   6.87e-04   6.50e-04   7.18e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.039   1.39    128
CL_1416+4446                 541   0.22   2.15  1.24  0.00  0.00 21.80 15.37 37.69  0.30  0.30  0.30   1.08e-03   1.02e-03   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.102   3.06     82
CYGNUS_A                     360   1.45   2.39 35.23  0.00  0.00  6.61  6.36  6.87  0.72  0.72  0.72   8.77e-03   8.70e-03   8.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0561  1.139   1.91    360
ESO_3060170                 3189   2.26   4.10  3.43  0.00  0.00  2.73  2.56  2.93  0.30  0.30  0.30   3.51e-03   3.41e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0358  0.380   1.08    144
ESO_5520200                 3206   2.57   4.10  4.29  0.00  0.00  2.22  2.02  2.46  0.30  0.30  0.30   1.34e-03   1.29e-03   1.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.142   1.52    121
