#Cluster	RA		Dec		NH	kT	z	FX	LX	Halpha	Morph	Rcent	tcool	tchi	tclo	t50	t5hi	t5lo	t180	t18hi	t18lo
ABELL_1423	11:57:17.2	33:36:39	1.6	8.5	0.2130	5.3	10.03	N	R	24.4	4.2	1.7	1.1	4.2	1.7	1.1	22.5	13.0	6.5
ABELL_1682	13:06:51.8	46:33:13	1.1	8.9	0.2260	5.3	11.26	N	2	49.4	34.6	35.8	18.2	34.6	35.8	18.2	113.0	0.0	48.5
ABELL_1758	13:32:43.5	50:32:44	1.1	9.1	0.2800	3.6	11.68	N	2	62.7	31.8	20.5	9.6	21.4	13.8	6.5	38.0	27.0	11.6
ABELL_1763	13:35:18.7	40:59:59	0.9	10.0	0.2279	6.9	14.93	N	R	45.6	13.6	8.9	3.8	13.6	8.9	3.8	36.6	33.4	10.0
ABELL_1835	14:01:02.0	02:52:40	2.2	14.8	0.2528	14.7	38.53	Y	R	11.5	0.6	0.1	0.1	1.0	0.1	0.1	12.5	4.4	2.4
ABELL_1914	14:26:00.8	37:49:37	1.0	10.8	0.1712	15.0	18.39	N	2	29.6	14.2	11.5	6.5	14.2	11.5	6.5	35.9	0.0	12.4
ABELL_2111	15:39:41.1	34:25:10	2.0	8.8	0.2290	5.0	10.94	N	R	50.1	21.4	38.1	9.5	21.4	38.0	9.5	38.7	40.8	19.8
ABELL_2204	16:32:47.0	05:34:32	5.3	11.4	0.1524	21.9	21.25	Y	R	7.7	0.3	0.0	0.0	1.4	0.2	0.1	17.9	4.6	3.2
ABELL_2218	16:35:52.0	66:12:34	3.4	6.7	0.1710	7.5	9.30	?	R	34.0	30.9	10.7	12.0	30.9	10.7	12.0	18.4	3.1	3.1
ABELL_2219	16:40:20.2	46:42:30	1.7	11.4	0.2281	9.5	20.40	N	R	41.1	29.1	0.0	4.5	29.1	0.0	4.5	24.9	10.3	5.6
ABELL_2259	17:20:08.4	27:40:10	3.8	7.1	0.1640	5.9	6.66	N	R	28.9	9.0	6.2	2.8	9.0	6.2	2.8	15.3	8.7	3.5
ABELL_2261	17:22:27.0	32:07:57	3.2	10.8	0.2240	8.7	18.18	N	R	18.6	3.0	1.7	0.9	5.0	2.9	1.4	22.3	23.5	8.4
ABELL_2294	17:24:05.5	85:53:15	6.1	7.1	0.1780	5.0	6.62	Y	R	31.8	13.1	15.5	4.5	13.1	15.5	4.5	64.5	0.0	17.0
ABELL_2390	21:53:36.9	17:41:46	6.6	11.6	0.2329	9.6	21.44	Y	R	20.8	1.9	0.4	0.3	1.9	0.4	0.3	11.7	3.4	2.4
HERCULES_A	16:51:08.2	04:59:33	6.0	6.6	0.1540	5.6	5.62	?	R	17.1	1.3	0.1	0.1	1.3	0.1	0.1	22.4	6.0	4.5
RX_J0439+0520	04:39:02.4	05:20:43	9.7	7.9	0.2080	4.8	8.62	Y	R	7.8	0.5	0.1	0.1	4.1	2.2	1.1	19.0	7.5	4.9
RX_J0439.0+0715	04:39:00.5	07:16:00	1.0	9.5	0.2443	5.3	13.25	N	R	30.6	6.1	1.5	1.0	6.1	1.5	1.0	20.0	9.3	5.1
RX_J1532.93021	15:32:53.8	30:20:59	2.1	12.5	0.3615	5.0	24.40	Y	R	10.1	0.5	0.1	0.1	0.7	0.3	0.1	15.2	5.3	3.8
RX_J1720.1+2638	17:20:10.1	26:37:29	3.9	10.2	0.1640	14.3	16.12	Y	R	13.6	1.9	0.4	0.3	1.9	0.3	0.2	15.2	2.6	1.9
RX_J2129.6+0005	21:29:39.9	00:05:18	4.3	11.0	0.2350	8.1	18.59	Y	R	13.1	0.7	0.1	0.1	3.2	1.6	0.8	20.7	10.7	5.7
ZWCL_1953	08:50:07.0	36:04:20	3.1	14.5	0.3737	6.1	34.12	?	R	33.3	28.8	4.6	17.4	28.8	4.6	17.4	23.4	25.7	9.2
ZWICKY_2701	09:52:49.2	51:53:05	0.9	8.7	0.2140	5.6	10.68	Y	R	13.4	1.2	0.3	0.1	2.9	0.6	0.4	19.2	4.3	3.1
ZWCL_3146	10:23:39.6	04:11:12	2.7	12.8	0.2906	7.7	26.47	Y	R	11.4	0.6	0.0	0.0	1.5	0.2	0.2	12.0	1.9	1.6
ZWCL_5247	12:34:21.8	09:47:03	1.7	8.5	0.2290	4.6	10.12	N	2	95.5	169.0	43.3	115.4	57.3	14.7	39.1	169.0	43.3	115.4
ZWCL_7160	14:57:15.0	22:20:34	3.1	9.6	0.2578	4.8	13.19	Y	R	9.3	0.7	0.3	0.2	1.5	0.5	0.3	21.2	11.8	5.5
