SEQ_NUM	OBSID	INSTR	GRAT	APP_EXP	EXP_TIME	TARGET_NAME	UPTARGET_NAME	PI_NAME	OBSERVER	RA	DEC	STATUS	START_DATE	PUBLIC_AVAIL	PR_NUM	CATEGORY	TYPE	AO	PR_TITLE	OBS_MODE	JOINT_OBS	COI_CONTACT	GAL_L	GAL_B
800259	3259	ACIS-I	NONE	20.0	19.73	MACS-J2214.9-1359	MACS-J2214.9-1359	VANSPEYBROECK		22 14 57.30	-14 00 14.00	archived	2002-12-22 05:39:27.0	2003-12-31 20:19:18.0	03800995	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5		None	N	44.73050012935669	-51.28715286588733
800260	3260	ACIS-I	NONE	21.0	20.78	MACS-J2243.3-0935	MACS-J2243.3-0935	VANSPEYBROECK		22 43 20.30	-09 35 28.00	archived	2002-12-23 10:31:16.0	2003-12-31 20:20:00.0	03800995	CLUSTERS OF GALAXIES	GTO	03	OBSERVATION OF MACS CLUSTERS, 0.45<Z<0.5		None	N	56.941263304217756	-55.08225404728456
800553	6105	ACIS-I	NONE	40.0	37.77	MACS0011.7-1523	MACS0011.7-1523	Allen		00 11 42.90	-15 23 22.00	archived	2005-06-28 11:35:51.0	2005-06-30 08:09:55.05	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	82.74697030937347	-75.0671828399194
800453	5010	ACIS-I	NONE	25.0	25.16	MACS0025.4-1222	MACS0025.4-1222	VANSPEYBROECK	Jones	00 25 29.60	-12 22 41.00	archived	2004-08-09 20:37:24.0	2005-08-13 20:16:10.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	99.26538694915972	-74.04561868569202
800456	5013	ACIS-I	NONE	10.0	10.33	MACS0140.0-0555	MACS0140.0-0555	VANSPEYBROECK	Jones	01 40 01.00	-05 55 02.00	archived	2004-06-04 00:47:10.0	2005-06-07 20:20:46.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	153.68774887406647	-65.845013443425
800554	6106	ACIS-I	NONE	40.0	35.77	MACS0159.8-0849	MACS0159.8-0849	Allen		01 59 49.40	-08 49 58.50	archived	2004-12-04 11:44:25.0	2004-12-07 10:30:30.716666666	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	167.5876563307971	-65.58707061690373
800556	6108	ACIS-I	NONE	40.0	40.17	MACS0329.7-0212	MACS0329.7-0212	Allen		03 29 41.60	-02 11 47.00	archived	2004-12-06 05:49:14.0	2004-12-07 16:20:30.523333333	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	186.44447777025093	-44.67438135101408
800559	6111	ACIS-I	NONE	50.0	50.16	MACS0744.9+3927	MACS0744.9+3927	Allen		07 44 52.80	+39 27 27.00	archived	2004-12-03 20:57:12.0	2004-12-06 07:50:29.816666666	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	180.12526874255977	26.651762090701986
800452	5009	ACIS-I	NONE	25.0	24.79	MACS1108.8+0906	MACS1108.8+0906	VANSPEYBROECK	Jones	11 08 55.40	+09 06 00.00	archived	2004-02-20 23:07:44.0	2005-02-24 10:18:26.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	244.76877938996097	59.8194859775553
800451	5008	ACIS-I	NONE	18.22	18.22	MACS1115.2+5320	MACS1115.2+5320	VANSPEYBROECK	Jones	11 15 14.90	+53 19 55.00	archived	2004-06-22 20:29:42.0	2005-08-02 08:17:59.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	150.54605348075245	58.331725444405855
800451	5350	ACIS-I	NONE	6.780000000000001	6.96	MACS1115.2+5320	MACS1115.2+5320	VANSPEYBROECK	Jones	11 15 14.90	+53 19 55.00	archived	2004-07-28 14:56:44.0	2005-08-02 08:17:59.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	150.54605348075245	58.331725444405855
800558	6110	ACIS-I	NONE	70.0	64.04	MACS1311.0-0311	MACS1311.0-0311	Allen		13 11 01.60	-03 10 38.00	archived	2005-04-20 00:01:00.0	2005-04-21 14:09:23.553333333	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	312.5506851441622	59.328198340188706
800351	4195	ACIS-S	NONE	120.0	117.11	MACS1423.8+2404	MACS1423.8+2404	Allen		14 23 47.80	+24 04 41.40	archived	2003-08-18 12:40:19.0	2004-08-25 20:21:51.0	04800458	CLUSTERS OF GALAXIES	GO	04	COSMOLOGICAL CONSTRAINTS FROM THE X-RAY GAS MASS FRACTION IN THE MOST LUMINOUS, RELAXED CLUSTERS		None	N	29.75724154634564	68.985825709545
800560	6112	ACIS-I	NONE	10.0	9.51	MACS1427.2+4407	MACS1427.2+4407	Allen		14 27 16.10	+44 07 31.00	archived	2005-02-12 02:03:23.0	2005-02-16 11:02:24.876666666	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	80.64893880406247	64.32689925036398
800557	6109	ACIS-I	NONE	40.0	38.05	MACS1621.6+3810	MACS1621.6+3810	Allen		16 21 24.80	+38 10 08.00	archived	2004-12-11 14:10:54.0	2004-12-13 15:00:39.056666666	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	60.940166416827694	45.05625863186338
800557	6172	ACIS-I	NONE	30.0	30.14	MACS1621.6+3810	MACS1621.6+3810	Allen		16 21 24.80	+38 10 08.00	archived	2004-12-25 21:45:27.0	2004-12-27 14:54:35.903333333	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	60.940166416827694	45.05625863186338
800555	6107	ACIS-I	NONE	38.0	34.33	MACS1720.3+3536	MACS1720.3+3536	Allen		17 20 16.70	+35 36 26.00	archived	2005-11-22 21:15:20.0	2005-11-25 08:09:42.26	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	59.48434660796945	33.07716823497357
800555	7225	ACIS-I	NONE	2.0	2.05	MACS1720.3+3536	MACS1720.3+3536	Allen		17 20 16.70	+35 36 26.00	archived	2005-11-27 02:51:32.0	2005-11-29 08:09:51.84	05808189	CLUSTERS OF GALAXIES	DDT	05	Probing dark energy using the X-ray gas mass fraction in dynamically relaxed galaxy clusters		None	N	59.48434660796945	33.07716823497357
800454	5011	ACIS-I	NONE	20.0	18.77	MACS2214.9-1359	MACS2214.9-1359	VANSPEYBROECK	Jones	22 14 57.30	-14 00 14.00	archived	2003-11-17 19:33:53.0	2004-11-21 20:17:28.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	44.73050028887145	-51.28715281696952
800455	5012	ACIS-I	NONE	24.0	24.11	MACS911.2+1746	MACS911.2+1746	VANSPEYBROECK	Jones	09 11 12.00	+17 46 30.00	archived	2004-03-08 18:22:25.0	2005-03-15 20:21:15.0	05800081	CLUSTERS OF GALAXIES	GTO	05	Cluster studies: Determination of H0/q0		None	Y	211.24361997701004	38.65203569628789
800261	3261	ACIS-I	NONE	22.0	21.89	MACSJ0011.7-1523	MACSJ0011.7-1523	Ebeling		00 11 42.90	-15 23 22.00	archived	2002-11-20 03:39:08.0	2003-11-25 20:29:04.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	82.74697133668245	-75.06718248291465
800262	3262	ACIS-I	NONE	22.0	21.64	MACSJ0035.4-2015	MACSJ0035.4-2015	Ebeling		00 35 26.10	-20 15 44.00	archived	2003-01-22 02:08:16.0	2004-02-05 20:17:51.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	94.01969704811117	-82.21944674557155
800263	3263	ACIS-I	NONE	14.0	14.14	MACSJ0047.3-0810	MACSJ0047.3-0810	Ebeling		00 47 21.60	-08 09 21.00	archived	2001-11-29 17:00:23.0	2002-12-05 09:24:17.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	119.83037350130844	-71.00302003308167
800264	3264	ACIS-I	NONE	18.0	17.77	MACSJ0152.5-2852	MACSJ0152.5-2852	Ebeling		01 52 32.60	-28 53 22.00	archived	2002-09-17 07:49:24.0	2003-09-23 06:19:22.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	223.93178960291266	-76.40814221277527
800531	5818	ACIS-I	NONE	10.0	9.54	MACSJ0159.0-3412	MACSJ0159.0-3412	Ebeling		01 59 04.00	-34 13 04.10	archived	2006-02-19 15:27:51.0	2007-02-21 09:19:39.91	06800853	CLUSTERS OF GALAXIES	GO	06	MACS: The most massive galaxy clusters at z>0.3		None	N	243.0880829477661	-73.8517258099123
800265	3265	ACIS-I	NONE	18.0	18.14	MACSJ0159.8-0849	MACSJ0159.8-0849	Ebeling		01 59 49.30	-08 49 59.00	archived	2002-10-02 05:38:18.0	2003-10-08 09:32:55.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	167.58709918777174	-65.58743890401651
800266	3266	ACIS-I	NONE	12.0	12.02	MACSJ0242.5-2132	MACSJ0242.5-2132	Ebeling		02 42 35.90	-21 32 26.00	archived	2002-02-07 09:39:55.0	2003-02-14 09:17:03.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	206.55725103522138	-64.12755582112555
800267	3267	ACIS-I	NONE	20.0	20.74	MACSJ0257.6-2209	MACSJ0257.6-2209	Ebeling		02 57 41.70	-22 09 11.99	archived	2001-11-12 14:56:55.0	2002-11-19 11:02:20.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	210.06974739342283	-60.96015477363744
800268	3268	ACIS-I	NONE	25.0	24.77	MACSJ0308.9+2645	MACSJ0308.9+2645	Ebeling		03 08 56.00	+26 45 37.00	archived	2002-03-10 08:49:01.0	2003-03-14 09:59:10.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	157.31302349722534	-26.781293367427214
800523	5810	ACIS-I	NONE	10.0	10.05	MACSJ0326.8-0043	MACSJ0326.8-0043	Ebeling		03 26 50.03	-00 43 52.90	archived	2005-10-30 18:37:15.0	2006-10-31 15:41:30.716666666	06800853	CLUSTERS OF GALAXIES	GO	06	MACS: The most massive galaxy clusters at z>0.3		None	N	184.2080337364923	-44.33788758253614
800269	3269	ACIS-I	NONE	24.0	22.10	MACSJ0404.6+1109	MACSJ0404.6+1109	Ebeling		04 04 33.20	+11 07 58.00	archived	2002-02-20 14:29:02.0	2003-02-28 09:13:58.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	180.26335441684756	-29.544797392332068
800270	3270	ACIS-I	NONE	12.0	12.17	MACSJ0417.5-1154	MACSJ0417.5-1154	Ebeling		04 17 34.70	-11 54 33.00	archived	2002-03-10 05:01:41.0	2003-03-14 10:00:06.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	205.9463167038806	-39.47824268453974
800271	3271	ACIS-I	NONE	24.0	23.47	MACSJ0429.6-0253	MACSJ0429.6-0253	Ebeling		04 29 36.10	-02 53 07.00	archived	2002-02-07 13:27:31.0	2003-02-13 10:18:15.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	197.83892504632368	-32.5883140800862
800528	5815	ACIS-I	NONE	10.0	10.35	MACSJ0451.9+0006	MACSJ0451.9+0006	Ebeling		04 51 54.50	+00 06 17.30	archived	2005-01-08 06:35:49.0	2006-01-11 12:54:55.883333333	06800853	CLUSTERS OF GALAXIES	GO	06	MACS: The most massive galaxy clusters at z>0.3		None	N	198.14894265475283	-26.26837314787512
800525	5812	ACIS-I	NONE	10.0	10.07	MACSJ0455.2+0657	MACSJ0455.2+0657	Ebeling		04 55 17.49	+06 57 47.30	archived	2005-01-08 09:49:47.0	2006-01-11 12:54:57.153333333	06800853	CLUSTERS OF GALAXIES	GO	06	MACS: The most massive galaxy clusters at z>0.3		None	N	192.25247404129405	-21.932045988080784
800272	3272	ACIS-I	NONE	20.0	19.49	MACSJ0520.7-1328	MACSJ0520.7-1328	Ebeling		05 20 42.00	-13 28 48.00	archived	2002-02-10 13:34:53.0	2003-02-20 11:05:07.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	215.2584894697919	-26.1081175733346
800273	3273	ACIS-I	NONE	22.0	22.03	MACSJ0547.0-3904	MACSJ0547.0-3904	Ebeling		05 47 01.50	-39 04 28.00	archived	2002-10-20 16:21:57.0	2003-10-29 16:45:00.0	03800272	CLUSTERS OF GALAXIES	GO	03	MACS: THE X-RAY PROPERTIES OF THE MOST MASSIVE GALAXY CLUSTERS AT Z>0.3		None	N	244.75088820522333	-28.624053607854815
800526	5813	ACIS-I	NONE	10.0	10.07	MACSJ0553.4-3342	MACSJ0553.4-3342	Ebeling		05 53 25.78	-33 42 28.10	archived	2005-01-08 13:02:44.0	2006-01-11 12:54:57.633333333	06800853	CLUSTERS OF GALAXIES	GO	06	MACS: The most massive galaxy clusters at z>0.3		None	N	239.28204852648992	-26.0049886987995
800356	4200	ACIS-I	NONE	60.0	59.93	MACSJ0717.5+3745	MACSJ0717.5+3745	Ebeling		07 17 31.00	+37 45 30.00	archived	2003-01-08 01:31:00.0	2004-01-10 20:16:02.0	04800694	CLUSTERS OF GALAXIES	GO	04	THE ASSEMBLY OF A GIANT GALAXY CLUSTER AT Z=0.545		None	N	180.24424540811725	21.04532747582575
