#Name		Th	Thhi	Thhlo	Lx	Lxerr	M500	M500hi	M500lo	r500	r500hi	r500lo	fgas	fgashi	fgaslo	Mg500	Mg500hi	Mg500lo	Lnir	Lnirerr
ABELL_0478	6.42	0.06	0.06	16.39	0.20	6.08	1.55	2.85	1.58	0.12	0.30	0.30	0.12	0.03	18.10	1.81	4.79	8.63	0.07
PKS_0745-191	6.37	0.21	0.20	27.13	0.42	7.11	2.85	3.91	1.54	0.18	0.36	0.28	0.18	0.05	19.74	2.46	5.35	0.00	0.00
RXJ2344		5.52	2.55	1.74	3.59	0.08	8.89	5.48	5.25	1.70	0.29	0.44	0.11	0.10	0.03	9.47	1.70	2.29	0.00	0.00
S1101		2.60	0.50	0.50	3.52	0.05	2.94	1.57	1.88	1.20	0.18	0.34	0.14	0.15	0.04	4.22	0.90	1.23	2.18	0.08
S405		5.02	2.32	1.59	2.90	0.39	4.62	3.14	2.88	1.39	0.26	0.39	0.16	0.13	0.10	7.59	3.71	4.37	0.00	0.00
S540		3.09	1.43	0.98	0.89	0.07	2.52	1.55	1.40	1.16	0.20	0.27	0.11	0.08	0.05	2.68	1.18	1.23	0.00	0.00
S636		2.06	0.07	0.06	0.38	0.03	1.56	0.44	0.47	1.01	0.09	0.11	0.10	0.07	0.04	1.52	0.35	0.62	0.00	0.00
TRIAs		9.06	0.33	0.31	12.43	0.15	14.84	2.49	5.28	2.07	0.11	0.28	0.20	0.06	0.02	29.14	2.35	4.92	12.01	0.05
UG03957		3.21	1.48	1.02	0.98	0.10	3.32	2.76	2.03	1.28	0.28	0.34	0.08	0.10	0.04	2.67	1.62	1.47	0.00	0.00
ZWCL_1215	6.36	2.94	2.01	5.17	0.11	9.46	5.74	4.87	1.74	0.30	0.37	0.15	0.08	0.04	13.87	3.01	3.76	0.00	0.00
ZWCL_1742	6.05	2.80	1.91	4.54	0.33	10.11	5.91	6.30	1.78	0.30	0.49	0.11	0.13	0.03	11.20	3.42	3.22	0.00	0.00
