# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep   Location
RX_J1532.9+3021             1665     na     0.0611     0.0484     0.2205     0.1745     1.2639   NAZGUL
RX_J1720.1+2638             4361     na     0.0609     0.0458     0.2196     0.1651     1.3303   NAZGUL
RX_J1720.2+3536             6107     na     0.0738     0.0474     0.2661     0.1710     1.5563   MBRANE
RX_J1720.2+3536             7225     na     0.0766     0.0517     0.2765     0.1865     1.4827   MBRANE
RX_J2129.6+0005              552     na     0.1281     0.0734     0.3639     0.2085     1.7457   NAZGUL
ZWCL_1215                   4184     na     0.0614     0.0477     0.2216     0.1722     1.2871   NAZGUL
ZWCL_1358+6245               516     na     0.1213     0.0712     0.0952     0.0558     1.7043   NAZGUL
ZWCL_5247                    539     na     0.1233     0.0676     0.3505     0.1921     1.8243   NAZGUL
ABELL_0267                  1448     na     0.4603     0.1909     1.0635     0.4410     2.4115   NAZGUL
MS_2053.7-0449               551     na     0.0940     0.0746     0.2671     0.2120     1.2599   NAZGUL
