#Model: mekal; Energy band: 0.5 keV --> 1.5 keV; Fe-frozen? yes; Tx-frozen? yes
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
MACS_J0717.5+3745           1655   0.20   0.00   0.00   1.00   1.00   1.00   5.28e-05   4.02e-05   6.54e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.00e+05   1.12e-02   1.74     17
MACS_J0717.5+3745           4200   0.20   0.00   0.00   1.00   1.00   1.00   1.99e-05   1.35e-05   2.62e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   8.43e+05   7.88e-03   3.68     38
MACS_J1131.8-1955           3276   0.20   0.00   0.00   1.00   1.00   1.00   9.72e-06   0.00e+00   2.37e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.44e+05   1.45e-03   1.26     11
MACS_J1319+7003             3278   0.20   0.00   0.00   1.00   1.00   1.00   0.00e+00   0.00e+00   4.07e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.06e+05  -3.71e-05   0.93      9
MACS_J1427.6-2521           3279   0.20   0.00   0.00   1.00   1.00   1.00   1.19e-04   1.05e-04   1.34e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.34e+05   1.24e-02   1.98      9
MACS_J1621.3+3810           3594   0.20   0.00   0.00   1.00   1.00   1.00   5.58e-05   3.28e-05   7.87e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.77e+05   2.09e-02   6.60     10
MACS_J1931.8-2634           3282   0.20   0.00   0.00   1.00   1.00   1.00   3.07e-04   2.87e-04   3.27e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.47e+05   3.86e-02   6.79     12
MACS_J2214.9-1359           5011   0.20   0.00   0.00   1.00   1.00   1.00   5.09e-05   3.65e-05   6.53e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.51e+05   8.27e-03   2.05     14
MACS_J2245.0+2637           3287   0.20   0.00   0.00   1.00   1.00   1.00   9.10e-06   0.00e+00   2.11e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.27e+05   4.34e-03   1.37     14
MACS_J2311+0338             3288   0.20   0.00   0.00   1.00   1.00   1.00   9.64e-05   7.79e-05   1.15e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.21e+05   2.20e-02   5.73     11
MS_0440.5+0204              4196   0.20   0.00   0.00   1.00   1.00   1.00   8.11e-06   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.58e+05   1.78e-02  11.93      9
MS_0839.8+2938              2224   0.20   0.00   0.00   1.00   1.00   1.00   2.93e-05   2.68e-05   3.19e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00   9.09e+05   1.87e-02   2.96     19
