# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_0665                  3586   0.02   2.52  4.24  0.00  0.00 10.43  9.12 12.19  0.30  0.19  0.41   7.30e-03   7.06e-03   7.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.288   91.7   0.94    227
ABELL_0697                  4217   0.02   1.88  3.34  0.00  0.00 14.71 11.81 19.18  0.62  0.41  0.88   5.51e-03   5.23e-03   5.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.211   93.4   0.95    131
ABELL_0773                  5006   0.02   2.22  1.46  0.00  0.00 11.24  9.30 14.08  0.50  0.31  0.72   4.79e-03   4.52e-03   5.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.190   89.8   0.96    122
ABELL_0907                  3185   0.02   2.26  5.69  0.00  0.00  6.26  5.82  6.75  0.47  0.40  0.55   6.34e-03   6.13e-03   6.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.241   92.6   1.02    248
ABELL_0963                   903   0.02   2.03  1.39  0.00  0.00  7.65  6.83  8.65  0.33  0.24  0.42   5.31e-03   5.07e-03   5.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.212   74.6   1.12    210
ABELL_1063S                 4966   0.21   2.06  1.77  0.00  0.00 14.04 12.57 15.87  0.43  0.32  0.55   1.03e-02   1.00e-02   1.05e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.489   94.4   0.98    263
ABELL_1068                  1652   0.03   2.16  0.71  0.00  0.00  5.49  4.91  6.20  0.31  0.22  0.40   5.88e-03   5.55e-03   6.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.233   77.7   0.91    178
ABELL_1201                  4216   0.02   2.32  1.85  0.00  0.00  5.99  5.04  7.38  0.32  0.18  0.47   3.34e-03   3.05e-03   3.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.131   50.1   1.10    125
ABELL_1204                  2205   0.02   1.78  1.44  0.00  0.00  4.72  4.15  5.47  0.24  0.12  0.37   3.66e-03   3.39e-03   3.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.112   92.7   0.92     92
ABELL_1361                  2200   0.03   2.54  2.18  0.00  0.00  7.24  4.46 15.47  0.10  0.00  0.66   4.22e-03   3.46e-03   5.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.180   61.4   0.82     24
ABELL_1423                   538   0.02   2.24  1.60  0.00  0.00  7.93  5.73 12.02  0.35  0.11  0.69   3.10e-03   2.69e-03   3.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.110   84.8   0.91     43
ABELL_1651                  4185   0.05   4.47  2.02  0.00  0.00  7.46  6.65  8.45  0.43  0.32  0.54   1.84e-02   1.77e-02   1.91e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.812   91.8   1.17    208
ABELL_1664                  1648   0.03   2.19  8.47  0.00  0.00  4.91  4.11  5.96  0.26  0.11  0.42   5.34e-03   4.83e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.199   70.5   1.08     71
ABELL_1689                   540   0.03   2.69  1.87  0.00  0.00 12.97 11.92 14.22  0.40  0.32  0.48   1.33e-02   1.30e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.699   94.8   1.04    668
ABELL_1689                  1663   0.03   2.69  1.87  0.00  0.00 12.97 11.92 14.22  0.40  0.32  0.48   1.33e-02   1.30e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.699   94.8   1.04    668
ABELL_1689                  5004   0.03   2.69  1.87  0.00  0.00 12.97 11.92 14.22  0.40  0.32  0.48   1.33e-02   1.30e-02   1.37e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.699   94.8   1.04    668
ABELL_1758                  2213   0.02   1.78  1.09  0.00  0.00  9.90  8.01 11.12  0.50  0.26  0.60   3.43e-03   3.33e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.198   69.1 226.26    235
ABELL_1763                  3591   0.02   2.24  0.82  0.00  0.00 12.56  9.44 19.26  0.17  0.00  0.36   4.50e-03   4.26e-03   4.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.178   89.8   1.02    114
ABELL_1795                  5289   0.07   6.23  1.22  0.00  0.00  6.85  6.47  7.27  0.30  0.25  0.35   4.58e-02   4.48e-02   4.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  1.905   93.2   1.03    317
ABELL_1835                   495   0.02   1.87  2.36  0.00  0.00 11.99 10.55 13.95  0.39  0.29  0.49   1.13e-02   1.10e-02   1.17e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.475   91.3   0.88    224
ABELL_1914                  3593   0.02   2.83  0.97  0.00  0.00 11.97 10.57 13.87  0.34  0.24  0.44   1.59e-02   1.55e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.652   95.3   1.03    256
ABELL_1942                  3290   0.02   1.68  2.75  0.00  0.00  5.94  4.95  8.18  0.35  0.16  0.56   9.86e-04   8.85e-04   1.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.031   77.9   0.87     70
ABELL_1995                   906   0.26   0.97  1.44  0.00  0.00  9.41  8.09 11.28  0.33  0.19  0.47   1.80e-03   1.72e-03   1.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.108   81.0   1.02    133
ABELL_2029                  6101   0.84   5.00  3.26  0.00  0.00  9.90  9.17 10.80  0.39  0.31  0.46   4.92e-02   4.83e-02   5.01e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.481   94.8   1.03    313
ABELL_2034                  2204   0.03   3.47  1.58  0.00  0.00  9.96  9.12 11.05  0.34  0.26  0.41   9.09e-03   8.89e-03   9.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.396   90.3   1.02    311
ABELL_2065                 31821   0.88   4.63  2.96  0.00  0.00  6.39  5.98  6.85  0.24  0.18  0.31   1.43e-02   1.39e-02   1.46e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0730  0.650   89.7   1.01    289
