# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_1664                  1648   0.03   2.19  8.47  0.00  0.00  4.91  4.11  5.96  0.26  0.11  0.42   5.34e-03   4.83e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.199   70.5   1.08     71
ABELL_1682                  3244   0.02   2.19  1.10  0.00  0.00 14.93  8.68 79.90  1.78  0.69 17.87   1.96e-03   9.57e-04   2.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.093   73.2   1.08     24
ABELL_1689                  5004   0.02   2.74  1.87  0.00  0.00 13.73 11.78 16.24  0.41  0.30  0.53   1.47e-02   1.43e-02   1.51e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.608   94.8   1.16    256
ABELL_1758                  2213   0.02   1.78  1.09  0.00  0.00  9.90  8.01 11.12  0.50  0.26  0.60   3.43e-03   3.33e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.198   69.1 226.26    235
ABELL_1763                  3591   0.02   2.24  0.82  0.00  0.00 12.56  9.44 19.26  0.17  0.00  0.36   4.50e-03   4.26e-03   4.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.178   89.8   1.02    114
ABELL_1795                  5289   0.07   6.23  1.22  0.00  0.00  6.85  6.47  7.27  0.30  0.25  0.35   4.58e-02   4.48e-02   4.68e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  1.905   93.2   1.03    317
ABELL_1835                   495   0.02   1.87  2.36  0.00  0.00 11.99 10.55 13.95  0.39  0.29  0.49   1.13e-02   1.10e-02   1.17e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.475   91.3   0.88    224
ABELL_1914                  3593   0.02   2.83  0.97  0.00  0.00 11.97 10.57 13.87  0.34  0.24  0.44   1.59e-02   1.55e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.652   95.3   1.03    256
ABELL_1942                  3290   0.02   1.68  2.75  0.00  0.00  5.94  4.95  8.18  0.35  0.16  0.56   9.86e-04   8.85e-04   1.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.031   77.9   0.87     70
ABELL_1991                  3193   0.07   2.88  2.43  0.00  0.00  2.84  2.65  3.08  0.51  0.35  0.67   4.74e-03   4.41e-03   5.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.154   62.2   0.96    187
ABELL_2029             6101+4977   0.06   5.00  3.26  0.00  0.00  8.82  8.62  9.03  0.45  0.43  0.48   4.94e-02   4.88e-02   5.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  2.481   91.0   1.11    663
ABELL_2034                  2204   0.03   3.47  1.58  0.00  0.00  9.96  9.12 11.05  0.34  0.26  0.41   9.09e-03   8.89e-03   9.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.396   90.3   1.02    311
ABELL_2069                  4965   0.03   3.50  1.97  0.00  0.00  8.29  7.27  9.65  0.25  0.14  0.36   4.57e-03   4.38e-03   4.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1160  0.177   78.0   1.15    255
ABELL_2104                   895   0.02   2.45 14.88  0.00  0.00  8.12  7.46  8.87  0.37  0.30  0.45   7.11e-03   6.90e-03   7.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.309   69.7   1.03    278
ABELL_2111                   544   0.02   2.06  2.20  0.00  0.00  7.18  4.66 13.91  0.07  0.00  0.43   1.55e-03   1.27e-03   1.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.045   74.3   0.97     22
ABELL_2124                  3238   0.07   2.77  1.71  0.00  0.00  6.86  5.38  8.94  0.43  0.19  0.72   2.54e-03   2.31e-03   2.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.126   54.1   1.11    101
ABELL_2125                  2207   0.02   1.13  2.75  0.00  0.00  3.69  2.88  5.68  0.27  0.00  0.65   3.25e-04   2.42e-04   4.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2465  0.007   68.5   1.22     32
ABELL_2147                  3211   0.11   7.77  3.38  0.00  0.00  5.71  5.19  6.33  0.29  0.20  0.39   1.56e-02   1.50e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.626   77.8   1.08    279
ABELL_2163                  1653   0.02   3.21 13.88  0.00  0.00 19.49 17.63 21.52  0.08  0.01  0.15   2.26e-02   2.23e-02   2.29e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  0.860   93.7   1.25    339
ABELL_2199                   497   0.13   2.89  0.88  0.00  0.00  4.78  4.53  5.06  0.34  0.28  0.41   2.37e-02   2.30e-02   2.44e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  1.053   90.6   1.07    258
ABELL_2204              6104+499   0.02   3.02  5.84  0.00  0.00 10.18  9.41 11.13  0.37  0.29  0.45   1.88e-02   1.83e-02   1.92e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.981   86.4   0.97    464
ABELL_2218                  1666   0.02   2.37  3.12  0.00  0.00  9.36  8.29 10.78  0.20  0.11  0.28   5.75e-03   5.56e-03   5.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.222   91.8   0.91    237
ABELL_2219                   896   0.02   2.31  1.76  0.00  0.00 12.54 11.33 14.06  0.32  0.24  0.40   1.20e-02   1.17e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  0.505   81.1   0.98    294
ABELL_2244                  4179   0.04   2.96  2.09  0.00  0.00  5.93  5.67  6.21  0.34  0.30  0.38   1.52e-02   1.49e-02   1.55e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  0.644   79.9   1.08    319
ABELL_2255                   894   0.05   4.45  2.53  0.00  0.00  7.70  7.01  8.49  0.35  0.27  0.44   9.25e-03   8.96e-03   9.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  0.398   81.4   0.84    304
