# Custom: see config file for specs; E/Cts Range = 2.0 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_3376                  3202+3450   0.00   6.36  5.21  0.00  0.00  5.99  5.54  6.50  0.33  0.25  0.42   7.34e-03   7.09e-03   7.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0456  0.326   67.1   1.11    566
ABELL_3391                  4943   0.00   6.36  5.46  0.00  0.00  6.59  5.95  7.34  0.13  0.03  0.22   1.43e-02   1.38e-02   1.49e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0560  0.633   69.9   0.98    274
ABELL_3921                  4973   0.00   3.80  3.07  0.00  0.00  6.75  6.21  7.39  0.35  0.27  0.44   9.03e-03   8.74e-03   9.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0927  0.422   85.8   0.95    264
AC_114                      1562   0.00   1.54  1.44  0.00  0.00 10.00  8.41 12.32  0.37  0.24  0.51   2.00e-03   1.90e-03   2.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.073   64.1   0.99    178
CL_0024+17                   929   0.00   1.10  4.36  0.00  0.00  6.86  4.47 11.46  0.23  0.00  0.73   4.95e-04   4.21e-04   5.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3940  0.025   31.4  49.50     45
CL_1221+4918                1662   0.00   1.00  1.44  0.00  0.00  8.43  5.95 13.46  0.24  0.02  0.54   4.80e-04   3.92e-04   5.96e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.009   73.8   0.59     30
CL_J0030+2618               5762   0.00   1.45  4.10  0.00  0.00  4.41  2.15 16.86  0.00  0.00  0.38   6.39e-04   3.26e-04   1.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5000  0.008   52.6   0.98      6
CL_J0152-1357                913   0.00   0.58  1.45  0.00  0.00  7.31  4.31 15.17  0.00  0.00  0.73   1.58e-04   1.30e-04   1.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8310  0.006   49.2  31.34     10
CL_J0542.8-4100              914   0.00   1.00  3.59  0.00  0.00  6.79  4.66 10.90  0.12  0.00  0.36   5.29e-04   4.19e-04   6.89e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6300  0.010   73.6   0.82     23
CL_J0848+4456                1708+927   0.00   0.55  2.53  0.00  0.00  3.98  3.04  5.78  0.70  0.04  1.83   6.17e-05   4.62e-05   7.91e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5740  0.003   66.7   0.87     17
CL_J1113.1-2615              915   0.00   0.98  5.51  0.00  0.00  4.76  3.73  6.33  0.66  0.29  1.18   2.12e-04   1.83e-04   2.41e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.008   35.2  46.45     43
CL_J1226.9+3332         5014+3180+932   0.00   0.68  1.37  0.00  0.00 11.39  9.67 13.68  0.17  0.00  0.36   1.06e-03   9.98e-04   1.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8900  0.044   92.4   0.89    117
CL_J2302.8+0844              918   0.00   1.16  5.05  0.00  0.00  5.99  3.66 11.87  0.12  0.00  0.45   2.76e-04   1.89e-04   4.23e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7300  0.004   57.2   1.07     32
DLS_J0514-4904              4980   0.00   3.52  2.52  0.00  0.00  5.96  4.84  7.73  0.51  0.18  0.88   1.74e-03   1.56e-03   1.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0912  0.087   65.3   1.09     85
EXO_0422-086                4183   0.00   6.15  6.22  0.00  0.00  3.14  2.94  3.36  0.48  0.36  0.62   2.32e-02   2.20e-02   2.45e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  0.745   86.5   1.05    206
HERCULES_A                  1625   0.00   2.03  6.27  0.00  0.00  4.26  3.71  4.98  0.47  0.32  0.64   4.88e-03   4.45e-03   5.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1541  0.174   73.8   0.86     94
MACS_J0011.7-1523            6105+3261   0.00   1.10  2.08  0.00  0.00  6.84  6.24  7.55  0.26  0.17  0.35   2.60e-03   2.49e-03   2.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3600  0.120   94.2   1.00    204
