# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_0644                  2211   0.00   0.62  6.31  0.00  0.00  7.09  6.84  7.36  0.52  0.45  0.60   3.99e-03   3.92e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0698  0.509   98.9 492.20    431
ABELL_0665                  3586   0.00   0.27  4.24  0.00  0.00  8.50  7.44  9.84  0.18  0.01  0.38   5.26e-04   5.03e-04   5.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1810  0.052   98.2 482.04    431
ABELL_0697                  4217   0.00   0.20  3.34  0.00  0.00 13.54 10.13 18.44  0.00  0.00  0.20   3.18e-04   3.04e-04   3.32e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.028   98.6 426.93    431
ABELL_0773                  5006   0.00   0.24  1.46  0.00  0.00  8.70  7.32 10.69  0.00  0.00  0.07   3.72e-04   3.58e-04   3.87e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.036   98.1 404.65    431
ABELL_0781                   534   0.00   0.19  1.90  0.00  0.00  3.17  2.59  4.13  0.00  0.00  0.20   2.47e-04   2.12e-04   2.67e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2984  0.018   88.1 300.25    431
ABELL_0907                  3185   0.00   0.31  5.69  0.00  0.00  4.29  4.18  4.40  0.75  0.68  0.84   1.82e-03   1.78e-03   1.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1527  0.210   99.4 480.97    431
ABELL_0963                   903   0.00   0.25  1.39  0.00  0.00  6.35  6.03  6.71  0.73  0.60  0.88   8.38e-04   8.10e-04   8.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.139   96.9 436.64    431
ABELL_1063S                 4966   0.00   0.16  1.77  0.00  0.00 13.15 11.41 15.38  0.66  0.44  0.92   8.62e-04   8.24e-04   8.96e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.080   99.5 425.41    431
ABELL_1068                  1652   0.00   0.34  0.71  0.00  0.00  3.14  3.08  3.21  0.64  0.59  0.70   3.67e-03   3.59e-03   3.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.645   98.5 486.46    431
ABELL_1201                  4216   0.00   0.29  1.85  0.00  0.00  4.72  4.39  5.11  0.83  0.61  1.10   4.11e-04   3.85e-04   4.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.068   89.7 418.33    431
ABELL_1204                  2205   0.00   0.29  1.44  0.00  0.00  3.48  3.40  3.57  0.61  0.54  0.68   3.41e-03   3.32e-03   3.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.384   99.8 446.42    431
ABELL_1361                  2200   0.00   0.39  2.18  0.00  0.00  3.12  2.92  3.35  1.03  0.79  1.33   1.84e-03   1.68e-03   2.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.378   96.4 390.58    431
ABELL_1423                   538   0.00   0.24  1.60  0.00  0.00  4.92  4.46  5.50  1.36  0.94  1.93   4.93e-04   4.39e-04   5.50e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.066   98.7 440.77    431
ABELL_1651                  4185   0.00   0.52  2.02  0.00  0.00  6.72  6.28  7.25  0.68  0.52  0.87   2.55e-03   2.46e-03   2.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.346   99.0 478.29    431
ABELL_1664                  1648   0.00   0.37  8.47  0.00  0.00  2.63  2.55  2.73  0.67  0.58  0.77   2.83e-03   2.71e-03   2.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  0.445   97.6 446.84    431
ABELL_1682                  3244   0.00   0.23  1.10  0.00  0.00  6.24  3.59 13.36  0.00  0.00  0.94   1.30e-04   1.03e-04   1.54e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2260  0.011   90.0 195.20    431
ABELL_1758                  2213   0.00   0.20  1.09  0.00  0.00  4.74  3.99  5.85  0.28  0.08  0.62   7.54e-05   6.79e-05   8.26e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.009   77.8 326.68    431
ABELL_1763                  3591   0.00   0.27  0.82  0.00  0.00  6.45  5.59  7.67  0.26  0.07  0.52   3.40e-04   3.18e-04   3.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.036   97.5 451.23    431
ABELL_1795                  5289   0.00   0.69  1.22  0.00  0.00  4.09  4.02  4.16  0.65  0.60  0.70   1.34e-02   1.32e-02   1.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  1.810   99.7 467.99    431
ABELL_1835                   495   0.00   0.21  2.36  0.00  0.00  5.14  5.00  5.30  0.31  0.26  0.35   5.18e-03   5.10e-03   5.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.733   99.7 475.53    431
ABELL_1914                  3593   0.00   0.29  0.97  0.00  0.00 10.77  9.65 12.26  0.65  0.46  0.88   1.24e-03   1.20e-03   1.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.143   99.4 512.72    431
ABELL_1942                  3290   0.00   0.23  2.75  0.00  0.00  7.61  6.31  9.51  0.40  0.14  0.77   1.07e-04   9.91e-05   1.15e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.010   94.8 400.37    431
ABELL_1995                   906   0.00   0.19  1.44  0.00  0.00  7.15  6.27  8.27  0.55  0.41  0.65   1.93e-04   1.82e-04   2.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.027   92.5 427.09    431
ABELL_2029                  6101   0.00   0.57  3.26  0.00  0.00  7.05  6.82  7.28  0.75  0.67  0.83   1.34e-02   1.31e-02   1.36e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  1.802   99.7 446.52    431
