# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 1.0; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
RX_J1525+0958               1664   0.00   0.13  2.96  0.00  0.00  1.57  1.35  2.01  0.00  0.00  0.10   1.69e-04   1.34e-04   1.85e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5160  0.006   89.7 293.36    431
RX_J1532.9+3021             1665   0.17   0.17  2.21  0.00  0.00  4.26  4.11  4.43  0.55  0.47  0.65   2.39e-03   2.30e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.203   99.3 859.67    862
RX_J1532.9+3021             1649   0.17   0.17  2.21  0.00  0.00  4.26  4.11  4.43  0.55  0.47  0.65   2.39e-03   2.30e-03   2.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3450  0.203   99.3 859.67    862
RX_J1716.9+6708              548   0.00   0.11  3.71  0.00  0.00  5.36  4.01  7.75  0.32  0.00  0.72   5.78e-05   4.98e-05   6.66e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8100  0.003   93.0 269.78    431
RX_J1720.1+2638             4361   0.00   0.30  4.02  0.00  0.00  4.67  4.53  4.79  0.56  0.49  0.63   3.94e-03   3.85e-03   4.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.435   99.7 431.48    431
RX_J1720.2+3536             7225   0.16   0.16  3.35  0.00  0.00  4.49  4.28  4.69  0.53  0.44  0.65   7.99e-04   7.26e-04   8.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.063   99.3 1136.01   1293
RX_J1720.2+3536             3280   0.16   0.16  3.35  0.00  0.00  4.49  4.28  4.69  0.53  0.44  0.65   7.99e-04   7.26e-04   8.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.063   99.3 1136.01   1293
RX_J1720.2+3536             6107   0.16   0.16  3.35  0.00  0.00  4.49  4.28  4.69  0.53  0.44  0.65   7.99e-04   7.26e-04   8.78e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3913  0.063   99.3 1136.01   1293
RX_J2011.3-5725             4995   0.00   0.21  4.76  0.00  0.00  3.62  3.36  3.93  0.40  0.24  0.61   5.10e-04   4.71e-04   5.48e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2786  0.042   98.4 374.45    431
RX_J2129.6+0005              552   0.00   0.22  4.30  0.00  0.00  4.40  4.12  4.72  0.42  0.29  0.58   1.86e-03   1.77e-03   1.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2350  0.180   99.6 481.94    431
S0463                       6956   0.48   0.48  1.06  0.00  0.00  5.46  4.43  6.98  0.67  0.16  1.28   5.20e-05   4.48e-05   6.01e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0986  0.007   65.1 711.55    862
S0463                       7250   0.48   0.48  1.06  0.00  0.00  5.46  4.43  6.98  0.67  0.16  1.28   5.20e-05   4.48e-05   6.01e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0986  0.007   65.1 711.55    862
TRIANG_AUSTR                1281   0.00   0.87 13.27  0.00  0.00  7.32  6.89  7.82  0.14  0.08  0.23   4.39e-03   4.29e-03   4.46e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0510  0.551   96.5 577.68    431
V_1121.0+2327               1660   0.00   0.13  1.30  0.00  0.00  1.13  0.87  1.52  0.00  0.00  0.14   4.49e-05   2.84e-05   5.16e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5600  0.001   86.5 176.18    431
ZWCL_1215                   4184   0.00   0.58  1.76  0.00  0.00  6.32  5.64  7.27  0.17  0.00  0.33   9.44e-04   8.98e-04   9.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0750  0.116   96.4 460.16    431
ZWCL_1358+6245               516   0.00   0.17  1.94  0.00  0.00  4.39  4.12  4.68  0.54  0.40  0.70   4.99e-04   4.75e-04   5.25e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3280  0.066   96.6 406.57    431
ZWCL_1953                   1659   0.00   0.16  3.10  0.00  0.00  8.96  6.93 12.84  0.37  0.00  0.78   1.96e-04   1.80e-04   2.13e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3800  0.017   97.5 395.63    431
ZWCL_3146                    909   0.00   0.19  2.70  0.00  0.00  4.33  4.22  4.43  0.51  0.46  0.57   3.11e-03   3.05e-03   3.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2900  0.307   99.8 487.31    431
ZWCL_5247                    539   0.00   0.23  1.70  0.00  0.00 12.29  4.49 79.90  0.00  0.00  6.41   3.35e-05   2.74e-05   4.15e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2290  0.004   82.4 145.21    431
ZWCL_7160                    543   0.00   0.21  3.10  0.00  0.00  4.04  3.84  4.26  0.57  0.45  0.71   2.41e-03   2.30e-03   2.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2578  0.241   99.7 395.05    431
ZWICKY_2701                 3195   0.00   0.25  0.83  0.00  0.00  3.91  3.76  4.07  0.71  0.60  0.84   1.10e-03   1.05e-03   1.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2100  0.173   97.5 408.91    431
ZwCL_1332.8+5043            5772   0.00   0.25  1.10  0.00  0.00  1.68  1.35  2.14  0.00  0.00  0.15   2.53e-04   1.75e-04   3.71e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.6200  0.007   90.4 140.09    431
ZwCl_0848.5+3341            4205   0.00   0.17  1.12  0.00  0.00  4.44  3.39  6.16  0.12  0.00  0.49   1.07e-04   9.11e-05   1.24e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3706  0.011   82.9 204.44    431
MACS_J0035.4-2015           3262   0.00   0.17  1.55  0.00  0.00  8.03  6.75  9.78  0.06  0.00  0.26   3.86e-04   3.64e-04   4.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3644  0.032   98.9 394.70    431
MACS_J0111.5+0855           3256   0.00   0.21  4.18  0.00  0.00  4.82  4.13  5.79  0.44  0.18  0.82   1.89e-04   1.69e-04   2.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2627  0.017   97.1 375.15    431
MACS_J0152.5-2852           3264   0.00   0.18  1.46  0.00  0.00  4.51  3.95  5.43  0.25  0.02  0.55   3.21e-04   2.91e-04   3.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3407  0.026   98.6 342.94    431
MACS_J0159.0-3412           5818   0.00   0.15  1.54  0.00  0.00 79.90 13.31 79.90  0.00  0.00 92.69   6.81e-05   0.00e+00   7.90e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4584  0.004   93.1 167.79    431
MACS_J0455.2+0657           5812   0.00   0.16 10.45  0.00  0.00  6.96  5.51  9.41  0.23  0.00  0.60   3.35e-04   3.02e-04   3.66e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4247  0.024   98.7 316.37    431
MACS_J0520.7-1328           3272   0.00   0.18  8.88  0.00  0.00  8.36  7.31  9.70  1.08  0.76  1.48   4.41e-04   4.08e-04   4.71e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3398  0.042   99.0 428.91    431
MACS_J0553.4-3342           5813   0.00   0.16  2.88  0.00  0.00  7.27  5.21 12.69  0.95  0.16  2.24   1.16e-04   9.09e-05   1.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4067  0.011   97.2 238.19    431
MACS_J1006.9+3200           5819   0.00   0.17  1.83  0.00  0.00 13.62  7.54 32.31  0.00  0.00  0.82   1.06e-04   9.07e-05   1.17e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3587  0.009   95.7 256.56    431
MACS_J1105.7-1014           5817   0.00   0.15  4.58  0.00  0.00 17.50 10.59 57.27  2.32  0.73  8.77   1.15e-04   7.78e-05   1.46e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4664  0.011   97.4 293.49    431
MACS_J1427.2+4407           6112   0.00   0.15  1.41  0.00  0.00  4.91  4.36  5.62  0.55  0.32  0.88   7.81e-04   7.12e-04   8.49e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4771  0.058   99.5 379.25    431
MACS_J1731.6+2252           3281   0.00   0.17  6.48  0.00  0.00  6.80  4.66 12.98  0.44  0.00  1.49   5.29e-05   4.21e-05   6.32e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3661  0.004   92.7 243.48    431
MACS_J2046.0-3430           5816   0.00   0.16  4.98  0.00  0.00  4.35  3.99  4.78  1.00  0.70  1.40   8.61e-04   7.77e-04   9.37e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4133  0.073   99.5 394.53    431
MACS_J2049.9-3217           3283   0.00   0.18  5.99  0.00  0.00 13.89 10.42 19.97  0.00  0.00  0.15   2.27e-04   2.17e-04   2.39e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3254  0.019   97.8 409.58    431
ABELL_1689                   540   0.28   0.28  1.87  0.00  0.00  9.01  8.62  9.44  0.54  0.46  0.61   3.03e-03   2.97e-03   3.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.352   99.7 1374.02   1293
ABELL_1689                  1663   0.28   0.28  1.87  0.00  0.00  9.01  8.62  9.44  0.54  0.46  0.61   3.03e-03   2.97e-03   3.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.352   99.7 1374.02   1293
ABELL_1689                  5004   0.28   0.28  1.87  0.00  0.00  9.01  8.62  9.44  0.54  0.46  0.61   3.03e-03   2.97e-03   3.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.352   99.7 1374.02   1293
MACS_J0011.7-1523           6105   0.16   0.16  2.08  0.00  0.00  4.86  4.59  5.16  0.42  0.32  0.54   5.63e-04   5.43e-04   5.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3600  0.045   99.3 879.23    862
MACS_J0011.7-1523           3261   0.16   0.16  2.08  0.00  0.00  4.86  4.59  5.16  0.42  0.32  0.54   5.63e-04   5.43e-04   5.88e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3600  0.045   99.3 879.23    862
MACS_J0911.2+1746           5012   0.13   0.13  3.55  0.00  0.00 10.91  7.17 18.34  0.00  0.00  0.22   5.66e-05   5.04e-05   6.41e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5409  0.004   95.1 412.80    862
MACS_J0911.2+1746           3587   0.13   0.13  3.55  0.00  0.00 10.91  7.17 18.34  0.00  0.00  0.22   5.66e-05   5.04e-05   6.41e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5409  0.004   95.1 412.80    862
MACS_J1108.8+0906           3252   0.15   0.15  2.52  0.00  0.00  6.35  5.02  8.14  0.00  0.00  0.21   1.34e-04   1.20e-04   1.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4493  0.009   96.5 486.94    862
MACS_J1108.8+0906           5009   0.15   0.15  2.52  0.00  0.00  6.35  5.02  8.14  0.00  0.00  0.21   1.34e-04   1.20e-04   1.52e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4493  0.009   96.5 486.94    862
MACS_J1115.2+5320           3253   0.15   0.15  0.98  0.00  0.00  7.54  5.14 12.07  0.63  0.03  1.91   6.82e-05   5.13e-05   7.98e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4390  0.006   93.8 585.91   1293
MACS_J1115.2+5320           5008   0.15   0.15  0.98  0.00  0.00  7.54  5.14 12.07  0.63  0.03  1.91   6.82e-05   5.13e-05   7.98e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4390  0.006   93.8 585.91   1293
MACS_J1115.2+5320           5350   0.15   0.15  0.98  0.00  0.00  7.54  5.14 12.07  0.63  0.03  1.91   6.82e-05   5.13e-05   7.98e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4390  0.006   93.8 585.91   1293
