# Custom: see config file for specs; E/Cts Range = 0.7 - 7.0 keV
# See config for Nh-fro/free, Fe-fro/free, Confidence Levels = 2.71; Sys err = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src% redstat    dof
ABELL_1651                  4185   0.00   4.47  2.02  0.00  0.00  6.34  6.06  6.63  0.46  0.37  0.55   2.20e-02   2.15e-02   2.24e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  2.781   92.6   1.11    316
ABELL_1664                  1648   0.00   2.19  8.47  0.00  0.00  3.46  3.31  3.61  0.48  0.39  0.57   8.53e-03   8.23e-03   8.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1276  1.270   78.1   1.06    181
ABELL_1689                   540   0.00   2.69  1.87  0.00  0.00  9.54  9.22  9.87  0.39  0.34  0.44   1.86e-02   1.84e-02   1.89e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  2.137   95.5   1.18    961
ABELL_1689                  1663   0.00   2.69  1.87  0.00  0.00  9.54  9.22  9.87  0.39  0.34  0.44   1.86e-02   1.84e-02   1.89e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  2.137   95.5   1.18    961
ABELL_1689                  5004   0.00   2.69  1.87  0.00  0.00  9.54  9.22  9.87  0.39  0.34  0.44   1.86e-02   1.84e-02   1.89e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  2.137   95.5   1.18    961
ABELL_1758                  2213   0.00   1.78  1.09  0.00  0.00  9.64  9.00 10.37  0.45  0.35  0.57   3.80e-03   3.72e-03   3.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.522   68.3   1.03    294
ABELL_1763                  3591   0.00   2.24  0.82  0.00  0.00  7.63  7.02  8.31  0.22  0.11  0.33   5.31e-03   5.17e-03   5.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.564   90.2   1.24    209
ABELL_1795                  5289   0.00   6.23  1.22  0.00  0.00  5.40  5.30  5.50  0.40  0.37  0.43   6.11e-02   6.05e-02   6.16e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0625  7.615   94.7   1.30    412
ABELL_1835                   495   0.00   1.87  2.36  0.00  0.00  7.69  7.40  8.00  0.30  0.25  0.35   1.72e-02   1.70e-02   1.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  2.487   93.5   0.99    334
ABELL_1914                  3593   0.00   2.83  0.97  0.00  0.00  9.80  9.30 10.35  0.34  0.27  0.42   1.78e-02   1.75e-02   1.81e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  1.951   95.6   1.12    350
