#Model: mekal; Energy band: 0.4 keV --> 1.0 keV; Fe-frozen? yes; Tx-frozen? no
#Confidence Level: 1.0; Systematic error: 0.00; Cosmo: 70, 0.3, 0.7
#Name                      ObsID     Tx    Tlo    Thi     Fe   Felo   Fehi       norm     normlo     normhi    Tx2   Tlo2   Thi2      norm2    normlo2    normhi2       area        ctr  chisq    dof
ABELL_1361                  2200   0.20   0.08  79.90   1.00   1.00   1.00   1.40e-06  -1.57e-04   2.34e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.867e+05   5.08e-04  24.42     27
ABELL_1413                  5003   0.08   0.08   0.11   1.00   1.00   1.00  -6.17e-04  -8.37e-04  -1.04e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.686e+05  -7.64e-04   1.15     17
ABELL_1423                   538   1.88   1.32  79.90   1.00   1.00   1.00   9.34e-05   5.96e-05   3.10e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.429e+05   4.59e-03   0.24      3
ABELL_1644                  2206   0.28   0.26   0.31   1.00   1.00   1.00   1.06e-04   9.29e-05   1.20e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.677e+05   2.21e-02   2.05     16
ABELL_1650                  4178   0.57   0.48   0.65   1.00   1.00   1.00   9.15e-06   7.78e-06   1.05e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.493e+05   5.45e-03   1.62      6
ABELL_1651                  4185   0.29   0.20   0.60   1.00   1.00   1.00   2.02e-05   8.06e-06   3.80e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.360e+05   2.92e-03   0.12      1
ABELL_1664                  1648   0.12   0.00   0.00   1.00   1.00   1.00  -4.21e-06   0.00e+00   0.00e+00   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.851e+05   3.89e-05   1.05    125
ABELL_1689                  5004   0.08   0.08   0.16   1.00   1.00   1.00  -5.16e-04  -9.29e-04  -2.20e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.671e+05  -5.28e-04   0.53      3
ABELL_1736                  4186   0.29   0.27   0.31   1.00   1.00   1.00   1.55e-04   1.40e-04   1.71e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.366e+05   2.98e-02   3.59     12
ABELL_1758                  2213   0.56   0.34   0.68   1.00   1.00   1.00   3.53e-06   2.74e-06   4.34e-06   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.394e+05   3.52e-03   1.17     16
ABELL_1763                  3591   0.08   0.08   0.17   1.00   1.00   1.00   9.38e-04   5.27e-04   1.35e-03   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.839e+05   1.55e-03   0.89      4
ABELL_1795                  5289   0.60   0.53   0.67   1.00   1.00   1.00   6.06e-05   5.43e-05   6.69e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.130e+05   2.33e-02   2.34     13
ABELL_1835                   495   0.24   0.21   0.27   1.00   1.00   1.00   1.04e-05   8.13e-06   1.28e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.381e+05   8.35e-03   1.09     12
ABELL_1914                  3593   0.18   0.15   0.23   1.00   1.00   1.00  -3.49e-05  -6.72e-05  -1.69e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.321e+05  -1.89e-03   0.38      2
ABELL_1942                  3290   0.25   0.23   0.29   1.00   1.00   1.00   3.38e-05   2.68e-05   4.15e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.344e+05   5.76e-03   1.59     15
ABELL_1991                  3193   0.60   0.55   0.64   1.00   1.00   1.00   1.34e-05   1.23e-05   1.45e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.179e+05   1.11e-02   2.86     11
ABELL_2029                  4977   0.60   0.58   0.63   1.00   1.00   1.00   3.14e-05   3.02e-05   3.25e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.149e+05   2.29e-02   2.08     38
ABELL_2029                  6101   0.60   0.54   0.66   1.00   1.00   1.00   6.15e-05   5.48e-05   6.83e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.700e+05   1.84e-02   1.01      4
ABELL_2034                  2204   0.08   0.08  79.90   1.00   1.00   1.00  -1.09e-04  -2.44e-04   2.66e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  7.691e+05   2.11e-04   1.93     11
ABELL_2052                   890   0.36   0.35   0.38   1.00   1.00   1.00   4.91e-05   4.67e-05   5.14e-05   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  8.410e+05   4.14e-02   4.14     38
ABELL_2063                  4187   0.47   0.38   0.56   1.00   1.00   1.00   9.31e-05   8.05e-05   1.14e-04   0.00   0.00   0.00   0.00e+00   0.00e+00   0.00e+00  9.302e+05   2.40e-02   0.62      9
