###### Started simulating spectra at Wed Nov  1 18:13:19 2006 ######
# Cluster             ObsID    Tx1    Tx2    Eta    RealCTR    FakeCTR      Norm1      Norm2
ABELL_0399             3230   6.85   0.75   0.50   2.201000   2.276000  1.025e-02  1.484e-02
ABELL_0399             3230   6.85   0.75   0.60   2.201000   2.306000  1.230e-02  1.206e-02
ABELL_0399             3230   6.85   0.75   0.70   2.201000   2.305000  1.435e-02  9.163e-03
ABELL_0399             3230   6.85   0.75   0.80   2.201000   2.311000  1.640e-02  6.328e-03
ABELL_0399             3230   6.85   0.75   0.90   2.201000   2.343000  1.845e-02  3.473e-03
# exited via iteration cut-off
ABELL_0399             3230   6.85   1.00   0.50   2.201000   2.278000  1.025e-02  1.340e-02
ABELL_0399             3230   6.85   1.00   0.60   2.201000   2.291000  1.230e-02  1.085e-02
ABELL_0399             3230   6.85   1.00   0.70   2.201000   2.307000  1.435e-02  8.247e-03
ABELL_0399             3230   6.85   1.00   0.80   2.201000   2.299000  1.640e-02  5.625e-03
ABELL_0399             3230   6.85   1.00   0.90   2.201000   2.298000  1.845e-02  2.899e-03
ABELL_0478             1669   7.17   0.50   0.50   5.574000   5.810000  2.325e-02  3.655e-02
ABELL_0478             1669   7.17   0.50   0.60   5.574000   5.774000  2.790e-02  2.924e-02
ABELL_0478             1669   7.17   0.50   0.70   5.574000   5.846000  3.255e-02  2.284e-02
ABELL_0478             1669   7.17   0.50   0.80   5.574000   5.818000  3.720e-02  1.484e-02
ABELL_0478             1669   7.17   0.50   0.90   5.574000   5.925000  4.185e-02  8.681e-03
# exited via iteration cut-off
ABELL_0478             1669   7.17   0.75   0.50   5.574000   5.760000  2.325e-02  2.679e-02
ABELL_0478             1669   7.17   0.75   0.60   5.574000   5.771000  2.790e-02  2.170e-02
ABELL_0478             1669   7.17   0.75   0.70   5.574000   5.837000  3.255e-02  1.649e-02
ABELL_0478             1669   7.17   0.75   0.80   5.574000   5.846000  3.720e-02  1.128e-02
ABELL_0478             1669   7.17   0.75   0.90   5.574000   5.846000  4.185e-02  5.799e-03
ABELL_0478             1669   7.17   1.00   0.50   5.574000   5.743000  2.325e-02  2.538e-02
ABELL_0478             1669   7.17   1.00   0.60   5.574000   5.793000  2.790e-02  2.056e-02
ABELL_0478             1669   7.17   1.00   0.70   5.574000   5.807000  3.255e-02  1.563e-02
ABELL_0478             1669   7.17   1.00   0.80   5.574000   5.823000  3.720e-02  1.015e-02
ABELL_0478             1669   7.17   1.00   0.90   5.574000   5.917000  4.185e-02  6.104e-03
# exited via iteration cut-off
ABELL_0478             6102   7.47   0.50   0.50   3.793000   3.974000  2.040e-02  5.937e-02
ABELL_0478             6102   7.47   0.50   0.60   3.793000   3.966000  2.448e-02  4.809e-02
ABELL_0478             6102   7.47   0.50   0.70   3.793000   3.931000  2.856e-02  3.665e-02
ABELL_0478             6102   7.47   0.50   0.80   3.793000   3.960000  3.264e-02  2.672e-02
ABELL_0478             6102   7.47   0.50   0.90   3.793000   3.950000  3.672e-02  1.393e-02
# exited via iteration cut-off
ABELL_0478             6102   7.47   0.75   0.50   3.793000   3.930000  2.040e-02  3.655e-02
ABELL_0478             6102   7.47   0.75   0.60   3.793000   3.980000  2.448e-02  3.078e-02
ABELL_0478             6102   7.47   0.75   0.70   3.793000   3.968000  2.856e-02  2.291e-02
ABELL_0478             6102   7.47   0.75   0.80   3.793000   3.977000  3.264e-02  1.670e-02
ABELL_0478             6102   7.47   0.75   0.90   3.793000   3.945000  3.672e-02  9.164e-03
ABELL_0478             6102   7.47   1.00   0.50   3.793000   3.828000  2.040e-02  2.969e-02
ABELL_0478             6102   7.47   1.00   0.60   3.793000   3.934000  2.448e-02  2.538e-02
ABELL_0478             6102   7.47   1.00   0.70   3.793000   3.961000  2.856e-02  1.953e-02
ABELL_0478             6102   7.47   1.00   0.80   3.793000   3.939000  3.264e-02  1.406e-02
ABELL_0478             6102   7.47   1.00   0.90   3.793000   3.960000  3.672e-02  7.813e-03
ABELL_0496             3361   5.43   0.50   0.50   1.387000   1.408000  3.785e-03  1.675e-03
ABELL_0496             3361   5.43   0.50   0.60   1.387000   1.440000  4.542e-03  1.356e-03
ABELL_0496             3361   5.43   0.50   0.70   1.387000   1.456000  5.299e-03  8.814e-04
ABELL_0496             3361   5.43   0.50   0.80   1.387000   1.494000  6.056e-03  5.077e-04
# exited via overflow
ABELL_0496             3361   5.43   0.50   0.90   1.387000   1.543000  6.813e-03  2.724e-04
# exited via overflow
ABELL_0496             3361   5.43   0.75   0.50   1.387000   1.423000  3.785e-03  1.675e-03
ABELL_0496             3361   5.43   0.75   0.60   1.387000   1.437000  4.542e-03  1.285e-03
ABELL_0496             3361   5.43   0.75   0.70   1.387000   1.427000  5.299e-03  8.350e-04
ABELL_0496             3361   5.43   0.75   0.80   1.387000   1.472000  6.056e-03  4.810e-04
# exited via overflow
ABELL_0496             3361   5.43   0.75   0.90   1.387000   1.557000  6.813e-03  2.724e-04
# exited via overflow
ABELL_0496             3361   5.43   1.00   0.50   1.387000   1.428000  3.785e-03  1.924e-03
ABELL_0496             3361   5.43   1.00   0.60   1.387000   1.455000  4.542e-03  1.503e-03
ABELL_0496             3361   5.43   1.00   0.70   1.387000   1.455000  5.299e-03  9.888e-04
ABELL_0496             3361   5.43   1.00   0.80   1.387000   1.482000  6.056e-03  5.411e-04
# exited via overflow
ABELL_0496             3361   5.43   1.00   0.90   1.387000   1.566000  6.813e-03  3.444e-04
# exited via overflow
ABELL_0520             4215   7.05   0.50   0.50   0.766000   0.795600  4.070e-03  1.269e-02
ABELL_0520             4215   7.05   0.50   0.60   0.766000   0.798200  4.884e-03  1.028e-02
ABELL_0520             4215   7.05   0.50   0.70   0.766000   0.786300  5.698e-03  7.422e-03
ABELL_0520             4215   7.05   0.50   0.80   0.766000   0.798100  6.512e-03  5.344e-03
ABELL_0520             4215   7.05   0.50   0.90   0.766000   0.795900  7.326e-03  2.754e-03
# exited via overflow
ABELL_0520             4215   7.05   0.75   0.50   0.766000   0.802100  4.070e-03  8.122e-03
ABELL_0520             4215   7.05   0.75   0.60   0.766000   0.793200  4.884e-03  6.346e-03
ABELL_0520             4215   7.05   0.75   0.70   0.766000   0.801100  5.698e-03  4.883e-03
ABELL_0520             4215   7.05   0.75   0.80   0.766000   0.799700  6.512e-03  3.340e-03
ABELL_0520             4215   7.05   0.75   0.90   0.766000   0.810300  7.326e-03  1.953e-03
# exited via overflow
ABELL_0520             4215   7.05   1.00   0.50   0.766000   0.789300  4.070e-03  6.346e-03
ABELL_0520             4215   7.05   1.00   0.60   0.766000   0.787900  4.884e-03  5.140e-03
ABELL_0520             4215   7.05   1.00   0.70   0.766000   0.800000  5.698e-03  3.906e-03
ABELL_0520             4215   7.05   1.00   0.80   0.766000   0.797900  6.512e-03  2.672e-03
ABELL_0520             4215   7.05   1.00   0.90   0.766000   0.808200  7.326e-03  1.450e-03
# exited via overflow
ABELL_0521              430   6.46   0.50   0.50   0.744000   0.770800  2.915e-03  3.858e-03
ABELL_0521              430   6.46   0.50   0.60   0.744000   0.770300  3.498e-03  2.863e-03
ABELL_0521              430   6.46   0.50   0.70   0.744000   0.779000  4.081e-03  1.959e-03
ABELL_0521              430   6.46   0.50   0.80   0.744000   0.791000  4.664e-03  1.085e-03
# exited via iteration cut-off
# exited via overflow
ABELL_0521              430   6.46   0.50   0.90   0.744000   0.830700  5.247e-03  4.903e-04
# exited via overflow
ABELL_0521              430   6.46   0.75   0.50   0.744000   0.772400  2.915e-03  2.856e-03
ABELL_0521              430   6.46   0.75   0.60   0.744000   0.779900  3.498e-03  2.170e-03
ABELL_0521              430   6.46   0.75   0.70   0.744000   0.771000  4.081e-03  1.410e-03
ABELL_0521              430   6.46   0.75   0.80   0.744000   0.785500  4.664e-03  7.630e-04
# exited via overflow
ABELL_0521              430   6.46   0.75   0.90   0.744000   0.839400  5.247e-03  4.358e-04
# exited via overflow
ABELL_0521              430   6.46   1.00   0.50   0.744000   0.771800  2.915e-03  2.705e-03
ABELL_0521              430   6.46   1.00   0.60   0.744000   0.767900  3.498e-03  1.953e-03
ABELL_0521              430   6.46   1.00   0.70   0.744000   0.768700  4.081e-03  1.269e-03
ABELL_0521              430   6.46   1.00   0.80   0.744000   0.780900  4.664e-03  7.609e-04
ABELL_0521              430   6.46   1.00   0.90   0.744000   0.836600  5.247e-03  3.874e-04
# exited via overflow
ABELL_0576             3289   4.48   0.50   0.50   1.374000   1.423000  4.040e-03  2.056e-03
ABELL_0576             3289   4.48   0.50   0.60   1.374000   1.441000  4.848e-03  1.591e-03
ABELL_0576             3289   4.48   0.50   0.70   1.374000   1.432000  5.656e-03  1.099e-03
ABELL_0576             3289   4.48   0.50   0.80   1.374000   1.459000  6.464e-03  6.425e-04
# exited via overflow
ABELL_0576             3289   4.48   0.50   0.90   1.374000   1.542000  7.272e-03  3.874e-04
# exited via overflow
ABELL_0576             3289   4.48   0.75   0.50   1.374000   1.428000  4.040e-03  1.929e-03
ABELL_0576             3289   4.48   0.75   0.60   1.374000   1.438000  4.848e-03  1.507e-03
ABELL_0576             3289   4.48   0.75   0.70   1.374000   1.436000  5.656e-03  9.793e-04
ABELL_0576             3289   4.48   0.75   0.80   1.374000   1.454000  6.464e-03  5.711e-04
# exited via overflow
ABELL_0576             3289   4.48   0.75   0.90   1.374000   1.539000  7.272e-03  3.444e-04
# exited via overflow
ABELL_0576             3289   4.48   1.00   0.50   1.374000   1.425000  4.040e-03  2.170e-03
ABELL_0576             3289   4.48   1.00   0.60   1.374000   1.432000  4.848e-03  1.645e-03
ABELL_0576             3289   4.48   1.00   0.70   1.374000   1.438000  5.656e-03  1.102e-03
ABELL_0576             3289   4.48   1.00   0.80   1.374000   1.439000  6.464e-03  6.425e-04
# exited via overflow
ABELL_0576             3289   4.48   1.00   0.90   1.374000   1.540000  7.272e-03  3.874e-04
# exited via overflow
ABELL_0586              530   6.64   0.50   0.50   0.513000   0.526000  2.350e-03  4.287e-03
ABELL_0586              530   6.64   0.50   0.60   0.513000   0.529300  2.820e-03  3.472e-03
ABELL_0586              530   6.64   0.50   0.70   0.513000   0.534600  3.290e-03  2.856e-03
ABELL_0586              530   6.64   0.50   0.80   0.513000   0.537400  3.760e-03  1.763e-03
ABELL_0586              530   6.64   0.50   0.90   0.513000   0.546900  4.230e-03  9.646e-04
# exited via overflow
ABELL_0586              530   6.64   0.75   0.50   0.513000   0.530000  2.350e-03  3.014e-03
ABELL_0586              530   6.64   0.75   0.60   0.513000   0.536200  2.820e-03  2.411e-03
ABELL_0586              530   6.64   0.75   0.70   0.513000   0.537900  3.290e-03  1.953e-03
ABELL_0586              530   6.64   0.75   0.80   0.513000   0.530600  3.760e-03  1.266e-03
ABELL_0586              530   6.64   0.75   0.90   0.513000   0.542200  4.230e-03  7.228e-04
# exited via overflow
ABELL_0586              530   6.64   1.00   0.50   0.513000   0.518600  2.350e-03  2.705e-03
ABELL_0586              530   6.64   1.00   0.60   0.513000   0.529300  2.820e-03  2.062e-03
ABELL_0586              530   6.64   1.00   0.70   0.513000   0.519800  3.290e-03  1.563e-03
ABELL_0586              530   6.64   1.00   0.80   0.513000   0.532600  3.760e-03  1.099e-03
ABELL_0586              530   6.64   1.00   0.90   0.513000   0.534800  4.230e-03  6.425e-04
# exited via overflow
ABELL_0611             3194   6.84   0.50   0.50   0.348000   0.363100  1.415e-03  2.164e-03
ABELL_0611             3194   6.84   0.50   0.60   0.348000   0.358900  1.698e-03  1.591e-03
ABELL_0611             3194   6.84   0.50   0.70   0.348000   0.356300  1.981e-03  1.044e-03
ABELL_0611             3194   6.84   0.50   0.80   0.348000   0.369000  2.264e-03  6.029e-04
# exited via overflow
ABELL_0611             3194   6.84   0.50   0.90   0.348000   0.391800  2.547e-03  3.874e-04
# exited via overflow
ABELL_0611             3194   6.84   0.75   0.50   0.348000   0.362200  1.415e-03  1.586e-03
ABELL_0611             3194   6.84   0.75   0.60   0.348000   0.358300  1.698e-03  1.160e-03
