# Model: wabs(mekal) for inner50chi spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk   cash    dof
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.08 11.84 20.54  0.20  0.00  0.57   3.13e-04   2.93e-04   3.32e-04  1.24  0.96  1.71  1.013  0.942  1.080  0.2960  0.028      0 512.03    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.08 11.84 20.54  0.20  0.00  0.57   3.13e-04   2.93e-04   3.32e-04  1.24  0.96  1.71  1.013  0.942  1.080  0.2960  0.028      0 512.03    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.08 11.84 20.54  0.20  0.00  0.57   3.13e-04   2.93e-04   3.32e-04  1.24  0.96  1.71  1.013  0.942  1.080  0.2960  0.028      0 512.03    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.79 12.47 21.47  0.34  0.00  0.74   3.08e-04   2.88e-04   3.31e-04  1.30  1.01  1.79  0.996  0.926  1.076  0.2960  0.028      0 407.23    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.79 12.47 21.47  0.34  0.00  0.74   3.08e-04   2.88e-04   3.31e-04  1.30  1.01  1.79  0.996  0.926  1.076  0.2960  0.028      0 407.23    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 11.84  9.69 15.22  0.49  0.17  0.84   2.95e-04   2.79e-04   3.16e-04  0.97  0.78  1.27  0.956  0.895  1.025  0.2960  0.028      0 454.66    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 11.84  9.69 15.22  0.49  0.17  0.84   2.95e-04   2.79e-04   3.16e-04  0.97  0.78  1.27  0.956  0.895  1.025  0.2960  0.028      0 454.66    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 11.84  9.69 15.22  0.49  0.17  0.84   2.95e-04   2.79e-04   3.16e-04  0.97  0.78  1.27  0.956  0.895  1.025  0.2960  0.028      0 454.66    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 10.79  9.01 13.37  0.49  0.22  0.80   3.00e-04   2.83e-04   3.17e-04  0.89  0.72  1.12  0.971  0.909  1.030  0.2960  0.028      0 529.10    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 12.15 10.12 15.25  0.61  0.31  0.94   2.92e-04   2.75e-04   3.10e-04  1.00  0.81  1.28  0.944  0.883  1.008  0.2960  0.028      0 463.64    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 13.55 10.86 17.38  0.16  0.00  0.48   3.18e-04   2.99e-04   3.34e-04  1.12  0.88  1.45  1.029  0.961  1.087  0.2960  0.029      0 433.87    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 13.55 10.86 17.38  0.16  0.00  0.48   3.18e-04   2.99e-04   3.34e-04  1.12  0.88  1.45  1.029  0.961  1.087  0.2960  0.029      0 433.87    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 13.55 10.86 17.38  0.16  0.00  0.48   3.18e-04   2.99e-04   3.34e-04  1.12  0.88  1.45  1.029  0.961  1.087  0.2960  0.029      0 433.87    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.97 12.73 21.31  0.53  0.16  0.99   3.11e-04   2.89e-04   3.33e-04  1.31  1.03  1.77  1.005  0.930  1.081  0.2960  0.029      0 428.69    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 15.97 12.73 21.31  0.53  0.16  0.99   3.11e-04   2.89e-04   3.33e-04  1.31  1.03  1.77  1.005  0.930  1.081  0.2960  0.029      0 428.69    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 12.75 10.45 16.39  0.19  0.00  0.48   3.18e-04   3.01e-04   3.36e-04  1.05  0.84  1.37  1.030  0.966  1.091  0.2960  0.029      0 400.12    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 12.75 10.45 16.39  0.19  0.00  0.48   3.18e-04   3.01e-04   3.36e-04  1.05  0.84  1.37  1.030  0.966  1.091  0.2960  0.029      0 400.12    431
1E0657_56                   5356   0.00    1.0  6.53  0.00  0.00 12.75 10.45 16.39  0.19  0.00  0.48   3.18e-04   3.01e-04   3.36e-04  1.05  0.84  1.37  1.030  0.966  1.091  0.2960  0.029      0 400.12    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 11.27  9.13 14.30  0.05  0.00  0.32   3.24e-04   3.07e-04   3.38e-04  0.93  0.74  1.20  1.050  0.984  1.101  0.2960  0.028      0 449.84    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 11.44  9.40 14.60  0.74  0.40  1.15   2.86e-04   2.67e-04   3.06e-04  0.94  0.76  1.22  0.926  0.859  0.995  0.2960  0.027      0 447.24    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 13.13 10.35 16.73  0.00  0.00  0.26   3.15e-04   2.99e-04   3.26e-04  1.08  0.84  1.40  1.020  0.960  1.063  0.2960  0.027      0 457.66    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 13.13 10.35 16.73  0.00  0.00  0.26   3.15e-04   2.99e-04   3.26e-04  1.08  0.84  1.40  1.020  0.960  1.063  0.2960  0.027      0 457.66    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 13.13 10.35 16.73  0.00  0.00  0.26   3.15e-04   2.99e-04   3.26e-04  1.08  0.84  1.40  1.020  0.960  1.063  0.2960  0.027      0 457.66    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.89  8.93 13.66  0.03  0.00  0.27   3.20e-04   3.04e-04   3.34e-04  0.90  0.72  1.14  1.037  0.977  1.087  0.2960  0.027      0 439.17    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.89  8.93 13.66  0.03  0.00  0.27   3.20e-04   3.04e-04   3.34e-04  0.90  0.72  1.14  1.037  0.977  1.087  0.2960  0.027      0 439.17    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.89  8.93 13.66  0.03  0.00  0.27   3.20e-04   3.04e-04   3.34e-04  0.90  0.72  1.14  1.037  0.977  1.087  0.2960  0.027      0 439.17    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.41  8.60 12.99  0.33  0.08  0.61   3.14e-04   2.97e-04   3.34e-04  0.86  0.69  1.09  1.016  0.954  1.084  0.2960  0.028      0 418.58    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.41  8.60 12.99  0.33  0.08  0.61   3.14e-04   2.97e-04   3.34e-04  0.86  0.69  1.09  1.016  0.954  1.084  0.2960  0.028      0 418.58    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.61  8.87 13.26  0.59  0.31  0.90   2.95e-04   2.76e-04   3.12e-04  0.87  0.71  1.11  0.954  0.887  1.015  0.2960  0.027      0 422.16    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 11.16  9.18 14.23  0.49  0.20  0.84   2.96e-04   2.78e-04   3.15e-04  0.92  0.74  1.19  0.957  0.894  1.024  0.2960  0.027      0 459.41    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 13.57 11.01 17.74  0.52  0.19  0.94   3.04e-04   2.83e-04   3.23e-04  1.12  0.89  1.48  0.983  0.911  1.049  0.2960  0.028      0 465.79    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 13.57 11.01 17.74  0.52  0.19  0.94   3.04e-04   2.83e-04   3.23e-04  1.12  0.89  1.48  0.983  0.911  1.049  0.2960  0.028      0 465.79    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.28  8.60 12.79  0.62  0.33  0.98   2.86e-04   2.68e-04   3.04e-04  0.85  0.69  1.07  0.924  0.860  0.987  0.2960  0.027      0 463.32    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.28  8.60 12.79  0.62  0.33  0.98   2.86e-04   2.68e-04   3.04e-04  0.85  0.69  1.07  0.924  0.860  0.987  0.2960  0.027      0 463.32    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.28  8.60 12.79  0.62  0.33  0.98   2.86e-04   2.68e-04   3.04e-04  0.85  0.69  1.07  0.924  0.860  0.987  0.2960  0.027      0 463.32    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.01  8.30 12.71  0.18  0.00  0.44   3.08e-04   2.90e-04   3.24e-04  0.82  0.67  1.06  0.995  0.932  1.054  0.2960  0.027      0 414.08    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 10.01  8.30 12.71  0.18  0.00  0.44   3.08e-04   2.90e-04   3.24e-04  0.82  0.67  1.06  0.995  0.932  1.054  0.2960  0.027      0 414.08    431
1E0657_56                   5361   0.00    1.0  6.53  0.00  0.00 11.27  9.13 14.30  0.05  0.00  0.32   3.24e-04   3.07e-04   3.38e-04  0.93  0.74  1.20  1.050  0.984  1.101  0.2960  0.028      0 449.84    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.01  4.64 13.79  0.25  0.00  1.04   2.06e-04   1.67e-04   2.48e-04  1.06  0.58  2.18  1.003  0.763  1.247  0.5700  0.013      0 307.84    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.01  4.64 13.79  0.25  0.00  1.04   2.06e-04   1.67e-04   2.48e-04  1.06  0.58  2.18  1.003  0.763  1.247  0.5700  0.013      0 307.84    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.06  4.72 13.55  0.28  0.00  1.06   2.12e-04   1.74e-04   2.56e-04  1.06  0.59  2.15  1.035  0.791  1.289  0.5700  0.014      0 285.99    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.06  4.72 13.55  0.28  0.00  1.06   2.12e-04   1.74e-04   2.56e-04  1.06  0.59  2.15  1.035  0.791  1.289  0.5700  0.014      0 285.99    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.06  4.72 13.55  0.28  0.00  1.06   2.12e-04   1.74e-04   2.56e-04  1.06  0.59  2.15  1.035  0.791  1.289  0.5700  0.014      0 285.99    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.46  4.88 13.71  0.00  0.00  0.33   2.23e-04   1.91e-04   2.60e-04  1.13  0.61  2.19  1.085  0.860  1.317  0.5700  0.014      0 272.81    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.46  4.88 13.71  0.00  0.00  0.33   2.23e-04   1.91e-04   2.60e-04  1.13  0.61  2.19  1.085  0.860  1.317  0.5700  0.014      0 272.81    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  6.36  4.09 12.19  0.11  0.00  0.92   1.99e-04   1.60e-04   2.42e-04  0.96  0.52  1.94  0.973  0.732  1.217  0.5700  0.012      0 279.63    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  6.36  4.09 12.19  0.11  0.00  0.92   1.99e-04   1.60e-04   2.42e-04  0.96  0.52  1.94  0.973  0.732  1.217  0.5700  0.012      0 279.63    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  6.36  4.09 12.19  0.11  0.00  0.92   1.99e-04   1.60e-04   2.42e-04  0.96  0.52  1.94  0.973  0.732  1.217  0.5700  0.012      0 279.63    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.68  5.39 12.99  1.89  0.68  4.85   1.40e-04   9.29e-05   1.83e-04  1.16  0.67  2.11  0.684  0.431  0.910  0.5700  0.012      0 279.60    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00 11.39  6.28 30.37  0.00  0.00  0.84   2.01e-04   1.75e-04   2.29e-04  1.72  0.80  4.68  0.982  0.786  1.169  0.5700  0.013      0 298.54    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  9.42  5.50 23.07  0.28  0.00  1.62   1.71e-04   1.33e-04   2.09e-04  1.42  0.70  3.58  0.832  0.609  1.051  0.5700  0.012      0 293.15    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  9.42  5.50 23.07  0.28  0.00  1.62   1.71e-04   1.33e-04   2.09e-04  1.42  0.70  3.58  0.832  0.609  1.051  0.5700  0.012      0 293.15    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  9.42  5.50 23.07  0.28  0.00  1.62   1.71e-04   1.33e-04   2.09e-04  1.42  0.70  3.58  0.832  0.609  1.051  0.5700  0.012      0 293.15    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.52  4.96 14.14  0.00  0.00  0.48   2.18e-04   1.86e-04   2.56e-04  1.13  0.63  2.25  1.064  0.839  1.297  0.5700  0.013      0 280.52    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.52  4.96 14.14  0.00  0.00  0.48   2.18e-04   1.86e-04   2.56e-04  1.13  0.63  2.25  1.064  0.839  1.297  0.5700  0.013      0 280.52    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.06  4.38 13.88  0.00  0.00  0.40   1.76e-04   1.48e-04   2.09e-04  1.06  0.55  2.20  0.860  0.670  1.058  0.5700  0.011      0 261.46    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.06  4.38 13.88  0.00  0.00  0.40   1.76e-04   1.48e-04   2.09e-04  1.06  0.55  2.20  0.860  0.670  1.058  0.5700  0.011      0 261.46    431
1RXS_J2129.4-0741           3199   0.00    1.0  4.36  0.00  0.00  7.06  4.38 13.88  0.00  0.00  0.40   1.76e-04   1.48e-04   2.09e-04  1.06  0.55  2.20  0.860  0.670  1.058  0.5700  0.011      0 261.46    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.23  4.49  9.46  0.62  0.15  1.46   2.08e-04   1.72e-04   2.47e-04  0.94  0.56  1.58  1.013  0.782  1.245  0.5700  0.014      0 350.04    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.23  4.49  9.46  0.62  0.15  1.46   2.08e-04   1.72e-04   2.47e-04  0.94  0.56  1.58  1.013  0.782  1.245  0.5700  0.014      0 350.04    431
1RXS_J2129.4-0741           3595   0.00    1.0  4.36  0.00  0.00  6.86  4.77 11.65  0.07  0.00  0.54   2.12e-04   1.79e-04   2.44e-04  1.04  0.60  1.89  1.033  0.809  1.240  0.5700  0.013      0 331.52    431
