# Model: wabs(mekal) for r2500-50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk  chisq    dof
1RXS_J2129.4-0741           3199    0.5   0.95  4.36  0.00  0.00  7.74  6.64  9.19  0.33  0.14  0.53   1.78e-03   1.68e-03   1.88e-03  0.94  0.77  1.16  0.956  0.902  1.067  0.5700  0.122      0   1.18     78
1RXS_J2129.4-0741           3199    0.5   0.96  4.36  0.00  0.00  7.25  6.23  8.51  0.51  0.30  0.74   1.73e-03   1.63e-03   1.83e-03  0.88  0.72  1.08  0.932  0.873  1.065  0.5700  0.120      0   0.86     78
1RXS_J2129.4-0741           3199    0.5   0.97  4.36  0.00  0.00  7.58  6.49  8.95  0.32  0.13  0.52   1.80e-03   1.70e-03   1.90e-03  0.92  0.75  1.13  0.967  0.912  1.070  0.5700  0.123      0   1.17     78
1RXS_J2129.4-0741           3199    0.5   0.98  4.36  0.00  0.00  8.23  7.05  9.77  0.39  0.19  0.61   1.73e-03   1.63e-03   1.84e-03  1.00  0.82  1.24  0.931  0.876  1.066  0.5700  0.121      0   1.11     77
1RXS_J2129.4-0741           3199    0.5   0.99  4.36  0.00  0.00  7.74  6.72  9.05  0.55  0.34  0.79   1.74e-03   1.64e-03   1.84e-03  0.94  0.78  1.15  0.935  0.879  1.066  0.5700  0.124      0   1.06     79
1RXS_J2129.4-0741           3199    0.5    0.9  4.36  0.00  0.00  7.24  6.24  8.58  0.45  0.24  0.67   1.68e-03   1.58e-03   1.78e-03  0.88  0.72  1.09  0.905  0.837  1.062  0.5700  0.117      0   1.11     75
1RXS_J2129.4-0741           3199   0.75   0.95  4.36  0.00  0.00  7.46  6.43  8.81  0.43  0.24  0.63   1.81e-03   1.70e-03   1.90e-03  0.91  0.74  1.12  0.971  0.910  1.069  0.5700  0.124      0   1.04     78
1RXS_J2129.4-0741           3199   0.75   0.96  4.36  0.00  0.00  6.52  5.69  7.55  0.46  0.27  0.67   1.77e-03   1.66e-03   1.87e-03  0.79  0.66  0.96  0.952  0.894  1.068  0.5700  0.122      0   1.34     79
1RXS_J2129.4-0741           3199   0.75   0.97  4.36  0.00  0.00  7.05  6.16  8.16  0.67  0.45  0.92   1.73e-03   1.62e-03   1.84e-03  0.86  0.71  1.04  0.928  0.870  1.067  0.5700  0.126      0   1.20     79
1RXS_J2129.4-0741           3199   0.75   0.98  4.36  0.00  0.00  7.63  6.54  9.09  0.50  0.28  0.74   1.72e-03   1.63e-03   1.84e-03  0.93  0.76  1.15  0.925  0.874  1.069  0.5700  0.122      0   1.06     81
1RXS_J2129.4-0741           3199   0.75   0.99  4.36  0.00  0.00  7.92  6.83  9.28  0.35  0.15  0.56   1.81e-03   1.71e-03   1.91e-03  0.96  0.79  1.18  0.971  0.913  1.072  0.5700  0.125      0   1.08     79
1RXS_J2129.4-0741           3199   0.75    0.9  4.36  0.00  0.00  7.62  6.57  8.96  0.35  0.15  0.55   1.77e-03   1.67e-03   1.87e-03  0.93  0.76  1.14  0.954  0.899  1.067  0.5700  0.122      0   1.13     79
1RXS_J2129.4-0741           3199    1.0   0.95  4.36  0.00  0.00  6.79  5.99  7.80  0.57  0.35  0.79   1.78e-03   1.68e-03   1.89e-03  0.83  0.69  1.00  0.959  0.903  1.070  0.5700  0.126      0   0.99     81
1RXS_J2129.4-0741           3199    1.0   0.96  4.36  0.00  0.00  8.60  7.24 10.47  0.19  0.01  0.38   1.79e-03   1.70e-03   1.89e-03  1.05  0.84  1.32  0.963  0.910  1.069  0.5700  0.121      0   1.16     79
1RXS_J2129.4-0741           3199    1.0   0.97  4.36  0.00  0.00  7.13  6.16  8.42  0.28  0.10  0.46   1.85e-03   1.75e-03   1.96e-03  0.87  0.71  1.07  0.997  0.921  1.077  0.5700  0.122      0   0.84     77
1RXS_J2129.4-0741           3199    1.0   0.98  4.36  0.00  0.00  7.06  6.11  8.28  0.45  0.26  0.66   1.83e-03   1.73e-03   1.94e-03  0.86  0.71  1.05  0.985  0.918  1.075  0.5700  0.126      0   0.79     79
1RXS_J2129.4-0741           3199    1.0   0.99  4.36  0.00  0.00  8.05  6.97  9.52  0.65  0.42  0.91   1.69e-03   1.59e-03   1.79e-03  0.98  0.81  1.21  0.907  0.842  1.064  0.5700  0.124      0   0.98     80
1RXS_J2129.4-0741           3199    1.0    0.9  4.36  0.00  0.00  5.24  4.66  5.94  0.53  0.33  0.76   1.81e-03   1.70e-03   1.93e-03  0.64  0.54  0.76  0.975  0.909  1.076  0.5700  0.120      0   0.98     76
1RXS_J2129.4-0741           3595    0.5   0.97  4.36  0.00  0.00  7.05  5.96  8.57  0.39  0.17  0.63   1.77e-03   1.69e-03   1.93e-03  0.86  0.69  1.08  0.951  0.909  1.086  0.5700  0.121      0   1.16     78
1RXS_J2129.4-0741           3595    0.5   0.98  4.36  0.00  0.00  7.52  6.50  8.84  0.50  0.29  0.72   1.78e-03   1.67e-03   1.88e-03  0.91  0.75  1.12  0.957  0.898  1.068  0.5700  0.121      0   0.74     78
1RXS_J2129.4-0741           3595    0.5   0.99  4.36  0.00  0.00  7.76  6.71  9.15  0.40  0.20  0.60   1.82e-03   1.72e-03   1.92e-03  0.94  0.78  1.16  0.977  0.916  1.073  0.5700  0.122      0   0.87     78
1RXS_J2129.4-0741           3595    0.5    0.9  4.36  0.00  0.00  5.63  4.94  6.50  0.42  0.23  0.60   1.77e-03   1.67e-03   1.88e-03  0.68  0.57  0.83  0.950  0.895  1.071  0.5700  0.112      0   0.93     72
1RXS_J2129.4-0741           3595   0.75   0.95  4.36  0.00  0.00  6.29  5.52  7.24  0.67  0.45  0.91   1.70e-03   1.60e-03   1.81e-03  0.76  0.64  0.92  0.916  0.854  1.066  0.5700  0.118      0   0.96     77
1RXS_J2129.4-0741           3595   0.75   0.96  4.36  0.00  0.00  6.45  5.63  7.50  0.46  0.27  0.66   1.80e-03   1.69e-03   1.91e-03  0.79  0.65  0.96  0.965  0.906  1.072  0.5700  0.120      0   1.21     78
1RXS_J2129.4-0741           3595   0.75   0.97  4.36  0.00  0.00  8.18  6.95  9.73  0.51  0.29  0.75   1.71e-03   1.61e-03   1.81e-03  1.00  0.81  1.23  0.921  0.861  1.064  0.5700  0.119      0   1.31     78
1RXS_J2129.4-0741           3595   0.75   0.98  4.36  0.00  0.00  7.09  6.16  8.31  0.52  0.31  0.74   1.81e-03   1.71e-03   1.91e-03  0.86  0.71  1.06  0.975  0.911  1.070  0.5700  0.125      0   1.26     81
1RXS_J2129.4-0741           3595   0.75   0.99  4.36  0.00  0.00  7.98  6.79  9.65  0.43  0.22  0.65   1.74e-03   1.65e-03   1.84e-03  0.97  0.79  1.22  0.936  0.885  1.066  0.5700  0.118      0   1.09     76
1RXS_J2129.4-0741           3595   0.75    0.9  4.36  0.00  0.00  7.65  6.52  9.12  0.31  0.10  0.52   1.76e-03   1.66e-03   1.87e-03  0.93  0.76  1.15  0.946  0.895  1.068  0.5700  0.116      0   0.95     76
1RXS_J2129.4-0741           3595    1.0   0.95  4.36  0.00  0.00  6.76  5.89  7.88  0.43  0.24  0.63   1.86e-03   1.76e-03   1.96e-03  0.82  0.68  1.00  1.001  0.922  1.077  0.5700  0.123      0   0.91     78
1RXS_J2129.4-0741           3595    1.0   0.96  4.36  0.00  0.00  7.47  6.41  8.82  0.27  0.10  0.45   1.89e-03   1.79e-03   2.00e-03  0.91  0.74  1.12  1.018  0.927  1.084  0.5700  0.123      0   0.89     78
1RXS_J2129.4-0741           3595    1.0   0.97  4.36  0.00  0.00  6.25  5.47  7.21  0.60  0.39  0.82   1.80e-03   1.69e-03   1.91e-03  0.76  0.63  0.92  0.966  0.907  1.073  0.5700  0.123      0   1.13     78
1RXS_J2129.4-0741           3595    1.0   0.98  4.36  0.00  0.00  6.65  5.76  7.75  0.32  0.15  0.49   1.92e-03   1.81e-03   2.03e-03  0.81  0.67  0.99  1.031  0.928  1.094  0.5700  0.122      0   0.96     78
1RXS_J2129.4-0741           3595    1.0   0.99  4.36  0.00  0.00  7.53  6.51  8.83  0.46  0.27  0.68   1.82e-03   1.72e-03   1.93e-03  0.92  0.75  1.12  0.978  0.915  1.073  0.5700  0.124      0   0.85     78
1RXS_J2129.4-0741           3595    1.0    0.9  4.36  0.00  0.00  5.94  5.13  6.95  0.44  0.25  0.64   1.86e-03   1.72e-03   1.96e-03  0.72  0.59  0.88  1.000  0.908  1.074  0.5700  0.120      0   1.29     74
