# Model: wabs(mekal) for r2500-core spectra; Fit Range = 0.6 - 10.0; Count Rates = 0.6 - 10.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 1.00; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
ABELL_2667                  2214  0.795  2.370  1.64  0.00  0.00  7.94  7.38  8.56  0.21  0.11  0.32   4.43e-03   4.33e-03   4.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.0000  0.0000  0.683   66.4   1.11    183
ABELL_2717                  6974  1.788  5.330  1.12  0.00  0.00  3.92  3.76  4.09  0.94  0.81  1.08   2.92e-03   2.81e-03   3.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.0000  0.0000  0.478   66.0   1.78    295
ABELL_2813                  9409  0.746  2.210  1.55  0.00  0.00 11.45 10.28 12.92  0.46  0.30  0.63   2.31e-03   2.24e-03   2.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2924  0.0000  0.0000  0.245   81.7   1.33    165
ABELL_3084                  9413  1.476  4.400  2.13  0.00  0.00 30.31 18.58 55.10  5.17  3.00 11.32   8.65e-04   5.13e-04   1.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0977  0.0000  0.0000  0.181   49.7   1.73    211
ABELL_3088                  9414  0.754  2.250  1.37  0.00  0.00 12.62 11.14 14.47  0.31  0.13  0.48   2.31e-03   2.24e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2534  0.0000  0.0000  0.246   81.0   1.22    166
ABELL_3364                  9419  1.205  3.590  2.06  0.00  0.00 11.07 10.15 12.12  0.36  0.22  0.49   4.12e-03   4.02e-03   4.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1483  0.0000  0.0000  0.494   78.2   1.26    268
ABELL_3822                  8269  2.050  6.110  2.10  0.00  0.00  6.37  6.04  6.75  0.53  0.43  0.65   8.83e-03   8.61e-03   9.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0759  0.0000  0.0000  1.168   74.9   1.24    264
ABELL_3827                  7920  1.952  5.810  2.59  0.00  0.00 12.89 12.46 13.34  0.94  0.86  1.03   9.88e-03   9.76e-03   1.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0984  0.0000  0.0000  1.817   62.2   4.23    639
ABELL_3921                  4973  1.730  5.170  3.07  0.00  0.00  6.47  6.26  6.69  0.38  0.32  0.44   7.00e-03   6.90e-03   7.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0927  0.0000  0.0000  0.861   78.0   1.32    424
ABELL_S0592                 9420  0.935  2.800  6.41  0.00  0.00 11.72 10.81 12.78  0.48  0.35  0.60   4.33e-03   4.24e-03   4.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2216  0.0000  0.0000  0.455   83.5   1.06    233
AC_114                      1562  0.640  1.910  1.44  0.00  0.00  7.63  7.29  7.99  0.30  0.00  0.00   1.78e-03   1.76e-03   1.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.0000  0.0000  0.256   54.3   1.13    401
MACS_J0035.4-2015           3262  0.574  1.720  1.55  0.00  0.00  6.93  6.46  7.45  0.30  0.00  0.00   2.36e-03   2.32e-03   2.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3644  0.0000  0.0000  0.211   85.8   1.00    146
MACS_J0242.5-2132           3266  0.599  1.800  2.71  0.00  0.00  5.38  4.86  6.00  0.30  0.00  0.00   1.42e-03   1.38e-03   1.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3140  0.0000  0.0000  0.129   77.7   0.88     59
MACS_J0257.6-2209           3267  0.640  1.910  2.02  0.00  0.00  7.26  6.60  8.04  0.30  0.00  0.00   1.24e-03   1.21e-03   1.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.0000  0.0000  0.119   73.7   1.22     96
MACS_J0308.9+2645           3268  0.640  1.900 11.88  0.00  0.00 10.82  9.97 11.79  0.30  0.00  0.00   2.86e-03   2.82e-03   2.90e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.0000  0.0000  0.251   86.6   1.08    184
MACS_J0417.5-1154           3270  0.418  1.250  4.00  0.00  0.00 11.41 10.28 12.89  0.30  0.00  0.00   3.07e-03   3.01e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.0000  0.0000  0.257   93.3   0.98    100
MACS_J0429.6-0253           3271  0.508  1.530  5.70  0.00  0.00  6.16  5.58  6.83  0.30  0.00  0.00   1.09e-03   1.05e-03   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3990  0.0000  0.0000  0.089   76.3   0.91     78
MACS_J0520.7-1328           3272  0.566  1.680  8.88  0.00  0.00  6.54  5.98  7.20  0.30  0.00  0.00   1.50e-03   1.46e-03   1.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3398  0.0000  0.0000  0.129   79.6   1.29     89
MACS_J0547.0-3904           3273  0.590  1.760  4.08  0.00  0.00  3.56  3.21  3.98  0.00  0.00  0.11   7.78e-04   7.35e-04   8.10e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2100  0.0000  0.0000  0.067   64.8   1.33     68
MACS_J1131.8-1955           3276  0.705  2.110  4.49  0.00  0.00 10.67  9.57 12.13  0.30  0.00  0.00   2.71e-03   2.66e-03   2.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.0000  0.0000  0.258   83.2   0.81    126
MACS_J1206.2-0847           3277  0.508  1.520  4.15  0.00  0.00 10.83  9.97 11.86  0.30  0.00  0.00   2.65e-03   2.61e-03   2.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.0000  0.0000  0.218   90.2   1.07    157
MACS_J1931.8-2634           3282  0.599  1.790  9.13  0.00  0.00  5.98  5.50  6.56  0.30  0.00  0.00   2.19e-03   2.13e-03   2.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3520  0.0000  0.0000  0.179   82.5   1.47     90
MACS_J2049.9-3217           3283  0.615  1.840  5.99  0.00  0.00  5.95  5.50  6.46  0.30  0.00  0.00   1.47e-03   1.44e-03   1.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3254  0.0000  0.0000  0.128   75.9   0.92    116
MACS_J2211.7-0349           3284  0.894  2.660  5.86  0.00  0.00 13.56 11.79 15.58  0.10  0.00  0.29   2.37e-03   2.29e-03   2.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.0000  0.0000  0.227   77.1   1.20    154
MACS_J2228+2036             3285  0.558  1.650  4.52  0.00  0.00  7.67  7.00  8.46  0.30  0.00  0.00   1.76e-03   1.72e-03   1.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4120  0.0000  0.0000  0.144   81.7   0.73    106
MACS_J2229.7-2755           3286  0.549  1.640  1.34  0.00  0.00  5.54  5.02  6.14  0.30  0.00  0.00   1.17e-03   1.13e-03   1.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.0000  0.0000  0.105   77.2   0.73     66
MACS_J2245.0+2637           3287  0.558  1.670  5.50  0.00  0.00  6.34  5.77  7.01  0.30  0.00  0.00   1.50e-03   1.46e-03   1.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.0000  0.0000  0.137   80.7   1.00     80
MKW3S                        900  2.140  6.380  3.05  0.00  0.00  3.24  3.21  3.27  0.20  0.19  0.22   1.31e-02   1.30e-02   1.32e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.0000  0.0000  1.529   76.0   2.87    570
MS_0016.9+1609               520  0.476  1.430  4.06  0.00  0.00  8.57  8.12  9.07  0.30  0.00  0.00   1.91e-03   1.89e-03   1.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.0000  0.0000  0.141   83.7   0.93    224
MS_0451.6-0305               902  0.451  1.340  5.68  0.00  0.00  9.02  8.43  9.70  0.30  0.00  0.00   1.76e-03   1.74e-03   1.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5386  0.0000  0.0000  0.185   60.8   1.09    215
MS_0735.6+7421              4197  0.779  2.330  3.40  0.00  0.00  5.44  5.26  5.63  0.31  0.25  0.36   2.76e-03   2.72e-03   2.81e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2160  0.0000  0.0000  0.384   49.9   1.22    342
