# Model: wabs(mekal) for inner50 spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
 # Nh frozen = yes; Fe frozen = yes; Confidence Levels = 1.00; Systematic error = 0.00
 # Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr   Src%   cash    dof
ABELL_2537                  4962   0.00   0.19  4.26  0.00  0.00  7.17  6.39  8.22  0.26  0.26  0.26   3.62e-04   3.55e-04   3.76e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2950  0.043   92.2  58.53     52
ABELL_2550                  2225   0.00   0.31  2.03  0.00  0.00  1.77  1.73  1.81  0.30  0.30  0.30   5.72e-04   5.64e-04   5.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.073   92.9 156.40     83
ABELL_2554                  1696   0.00   0.42  2.04  0.00  0.00  6.27  5.51  7.26  0.44  0.44  0.44   3.89e-04   3.80e-04   4.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.061   83.8  34.93     43
ABELL_2556                  2226   0.00   0.52  2.02  0.00  0.00  2.84  2.77  2.92  0.34  0.34  0.34   3.36e-03   3.32e-03   3.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.484   96.7 147.84    147
ABELL_2589                  3210   0.00   1.02  3.98  0.00  0.00  3.35  3.08  3.67  0.30  0.30  0.30   3.56e-03   3.44e-03   3.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.584   87.8  62.60     40
ABELL_2597                   922   0.00   0.52  2.51  0.00  0.00  3.09  3.04  3.14  0.37  0.37  0.37   9.59e-03   9.53e-03   9.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  1.653   98.9 311.75    222
ABELL_2626                  3192   0.00   0.75  4.30  0.00  0.00  2.68  2.62  2.74  0.30  0.30  0.30   3.51e-03   3.48e-03   3.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.540   92.2 233.16    169
ABELL_2634                  4816   0.00   1.33  5.07  0.00  0.00  3.33  3.21  3.46  0.43  0.43  0.43   9.91e-04   9.81e-04   1.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.168   48.1 226.15    173
ABELL_2667                  2214   0.00   0.23  1.64  0.00  0.00  4.04  3.83  4.28  0.31  0.31  0.31   2.40e-03   2.35e-03   2.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  0.324   98.9 103.91     89
ABELL_2670                  4959   0.00   0.57  2.88  0.00  0.00  3.98  3.81  4.19  0.25  0.25  0.25   1.02e-03   9.96e-04   1.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.117   95.7 148.25    124
ABELL_2744                  2212   0.00   0.18  1.82  0.00  0.00 79.90 13.17 79.90  0.19  0.19  0.19   7.41e-05   5.26e-05   8.08e-05  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.005   76.7   1.72      5
