#Cluster                   Sequence Instr     nh20    Tx   Tlo   Thi    Fe  Felo  Fehi       z     fx       Lbol  chisq    dof
ABELL_2670                 82049000 G2G3S0S1  2.89  3.98  3.81  4.15  0.25  0.18  0.33  0.0765   7.11e-12  44.75   1.08    633
ABELL_2744                 82000000 G2G3S0S1  1.60  9.61  9.05 10.25  0.19  0.12  0.26  0.3080   4.04e-12  45.95   1.02   1002
ABELL_3112                 81003000 G2G3S0S1  2.60  4.28  4.20  4.37  0.51  0.47  0.56  0.0750   2.32e-11  45.26   1.12   1273
ABELL_3158                 84020000 G2G3S0S1  1.36  5.49  5.36  5.61  0.36  0.32  0.40  0.0597   2.58e-11  45.16   1.17   1529
ABELL_3266                 83023000 G2G3S0S1  1.59  8.35  8.15  8.56  0.32  0.29  0.36  0.0589   4.09e-11  45.44   1.06   1789
ABELL_3558                 Combined G2G3S0S1  3.88  5.51  5.41  5.60  0.33  0.30  0.36  0.0480   4.51e-11  45.21   1.09   1702
ABELL_3562                 84041000 G2G3S0S1  3.85  4.74  4.57  4.92  0.44  0.37  0.52  0.0490   1.41e-11  44.69   1.04    842
ABELL_3571                 82047000 G2G3S0S1  3.70  6.97  6.85  7.10  0.36  0.33  0.39  0.0391   7.89e-11  45.33   0.99   1933
ABELL_3667                 83054000 G2G3S0S1  4.72  6.72  6.53  6.91  0.29  0.25  0.33  0.0556   4.98e-11  45.43   0.96   1407
ABELL_4038                 83004000 G2G3S0S1  1.56  3.06  3.03  3.10  0.43  0.40  0.46  0.0300   3.68e-11  44.59   1.10   1597
CYGNUS_A                   Combined G2G3S0S1 34.75 10.44 10.25 10.66  0.72  0.70  0.75  0.0561   5.37e-11  45.58   2.42   2287
HERCULES_A                 86038000 G2G3S0S1  6.40  4.15  3.90  4.42  0.45  0.35  0.56  0.1540   3.05e-12  45.02   1.06    484
HYDRA_A                    80015000 G2G3S0S1  4.94  3.54  3.48  3.61  0.35  0.32  0.38  0.0522   3.39e-11  45.07   1.14   1196
MKW_04                     Combined G2G3S0S1  1.89  1.83  1.80  1.85  0.55  0.52  0.60  0.0198   1.20e-11  43.66   1.45   1261
MS_0302.7+1658             84028000 G2G3S0S1 10.90  5.28  4.03  7.26  0.28  0.00  0.72  0.4245   3.83e-13  45.11   0.99    138
MS_0451.6-0305             81025000 G2S0S1    5.03  8.62  7.41 10.16  0.28  0.10  0.45  0.5391   1.31e-12  45.97   0.97    217
MS_0735.6+7421             83035000 G2G3S0S1  3.49  5.45  5.00  5.98  0.37  0.24  0.51  0.2160   3.11e-12  45.39   0.92    253
MS_0839.8+2938             82011000 G2G3S0S1  4.09  3.80  3.57  4.05  0.59  0.45  0.75  0.1930   1.85e-12  44.99   1.23    362
MS_1006.0+1202             86057000 G2G3S0S1  3.77  7.03  6.19  7.89  0.37  0.22  0.55  0.2604   2.19e-12  45.46   0.86    270
MS_1008.1-1224             82056000 G2G3S0S1  6.97  7.47  6.26  9.03  0.72  0.46  1.02  0.3063   1.13e-12  45.35   0.99    164
MS_1455.0+2232             Combined G2G3S0S1  3.16  4.51  4.31  4.73  0.35  0.28  0.42  0.2568   3.88e-12  45.61   1.02    641
MS_1621.5+2640             85051000 G2G3S0S1  3.56  6.54  5.52  7.87  0.49  0.27  0.73  0.4275   6.12e-13  45.37   0.99    209
MS_2053.7-0449             85052000 G2G3S0S1  4.96 10.03  6.48 18.76  0.00  0.00  0.31  0.5830   1.33e-13  45.08   0.83     75
MS_2137.3-2353             81022000 G2G3S0S1  3.55  4.57  4.22  4.98  0.53  0.39  0.68  0.3130   2.74e-12  45.65   0.77    267
OPHIUCHUS                  80027000 G2G3S0S1 20.20 11.79 11.49 12.10  0.35  0.32  0.39  0.0280   2.49e-10  45.66   1.07   2057
PKS_0745-191               81016000 G2G3S0S1 42.40  6.25  6.12  6.38  0.35  0.32  0.37  0.1028   4.73e-11  45.93   1.11   1677
RX_J1347.5-1145            83050000 G2G3S0S1  4.85 10.88 10.22 11.61  0.37  0.29  0.45  0.4510   5.15e-12  46.45   1.08    887
RX_J1532.9+3021            86067000 G2G3S0S1  2.16  5.44  5.14  5.77  0.34  0.26  0.41  0.3615   3.46e-12  45.92   0.98    621
RX_J2129.6+0005            85029000 G2G3S0S1  4.28  6.10  5.76  6.46  0.40  0.32  0.48  0.2350   5.05e-12  45.70   0.93    722
