# Cluster                  ObsID BgdCCD     ObsCts    DeepCts    Obs/Qui   Deep/Qui   Obs/Deep
MS_1137+6625                 536      6     0.0820     0.1123     0.1895     0.2594     0.8306
MS_1455.0+2232              4192      6     0.0770     0.0701     0.2779     0.2529     1.0987
MS_1621.5+2640               546      6     0.1319     0.1194     0.3747     0.3393     1.1044
MS_2053.7-0449              1667      6     0.0797     0.0701     0.2874     0.2529     1.1366
MS_2137.3-2353              4974      2     0.0698     0.0653     0.0648     0.0606     1.0691
OPHIUCHUS                   3200      2     0.1105     0.1139     0.0839     0.0865     0.9699
PKS_0745-191                 508      2     0.1048     0.1057     0.0822     0.0829     0.9911
PKS_0745-191                6103      6     0.0942     0.0701     0.3398     0.2529     1.3436
RBS_0797                    2202      6     0.1257     0.1186     0.3571     0.3371     1.0593
RDCS_1252-29                4198      6     0.0764     0.0701     0.2755     0.2529     1.0895
RX_J0439+0520                527      6     0.0734     0.1186     0.2086     0.3371     0.9817
RX_J0439.0+0715             1449      7     0.7705     0.7335     1.7803     1.6949     1.0504
RX_J0647.7+7015             3584      6     0.0785     0.0701     0.2833     0.2529     1.1204
RX_J0819.6+6336             2199      2     0.1143     0.1057     0.0897     0.0829     1.0812
RX_J0820.9+0752             1647      2     0.1016     0.1057     0.0797     0.0829     0.9607
RX_J0910+5422               2227      6     0.0692     0.0701     0.2498     0.2529     0.9878
RX_J1053+5735               4936      2     0.1243     0.1139     0.0943     0.0865     1.0908
RX_J1347.5-1145             3592      6     0.0777     0.0701     0.2803     0.2529     1.1085
RX_J1347.5-1145              507      2     0.1155     0.1057     0.0906     0.0829     1.0921
RX_J1350+6007               2229      6     0.0774     0.0701     0.2793     0.2529     1.1043
RX_J1416+4446                541      6     0.0807     0.1123     0.1865     0.2594     0.8188
RX_J1423.8+2404             1657      6     0.0722     0.0701     0.2606     0.2529     1.0306
RX_J1423.8+2404             4195      2     0.0663     0.0653     0.0616     0.0606     1.0158
RX_J1504.1-0248             5793      6     0.1017     0.0701     0.3667     0.2529     1.4502
RX_J1525+0958               1664      6     0.0746     0.0701     0.2691     0.2529     1.0641
RX_J1532.9+3021             1649      3     0.0723     0.0696     0.0671     0.0647     1.0385
RX_J1532.9+3021             1665      6     0.0767     0.0701     0.2768     0.2529     1.0944
RX_J1716.9+6708              548      6     0.1395     0.1194     0.3964     0.3393     1.1684
RX_J1720.1+2638             4361      6     0.0849     0.0701     0.3061     0.2529     1.2104
RX_J1720.2+3536             3280      6     0.0793     0.0701     0.2861     0.2529     1.1313
RX_J2129.6+0005              552      6     0.1228     0.1186     0.3490     0.3371     1.0352
SERSIC_159-03               1668      3     0.0741     0.0696     0.0688     0.0647     1.0642
V_1121.0+2327               1660      6     0.0761     0.0701     0.2744     0.2529     1.0849
ZWCL_1215                   4184      6     0.0784     0.0701     0.2829     0.2529     1.1185
ZWCL_1358+6245               516      2     0.1007     0.1057     0.0790     0.0829     0.9521
ZWCL_1953                   1659      6     0.1282     0.1194     0.3643     0.3393     1.0736
ZWCL_3146                    909      6     0.1272     0.1194     0.3614     0.3393     1.0652
ZWCL_5247                    539      6     0.1330     0.1186     0.3781     0.3371     1.1214
ZWCL_7160                    543      6     0.1288     0.1194     0.3660     0.3393     1.0787
ZWICKY_2701                 3195      3     0.0720     0.0696     0.0668     0.0647     1.0336
1RXS_J2129.4-0741           3199      6     0.0933     0.0701     0.3367     0.2529     1.3316
MACS_J0011.7-1523           3261      6     0.0704     0.0701     0.2540     0.2529     1.0045
MACS_J0025.4-1222           3251      6     0.0775     0.0701     0.2795     0.2529     1.1053
MACS_J0025.4-1222           5010      6     0.0894     0.0701     0.3224     0.2529     1.2748
MACS_J0035.4-2015           3262      6     0.0753     0.0701     0.2716     0.2529     1.0739
MACS_J0047.3-0810           3263      6     0.0802     0.0701     0.2894     0.2529     1.1442
MACS_J0111.5+0855           3256      6     0.0725     0.0701     0.2615     0.2529     1.0342
MACS_J0140.0-0555           5013      6     0.0945     0.0701     0.3408     0.2529     1.3476
MACS_J0152.5-2852           3264      6     0.0756     0.0701     0.2726     0.2529     1.0778
MACS_J0159.0-3412           5818      6     0.1021     0.0701     0.3685     0.2529     1.4569
MACS_J0159.8-0849           3265      6     0.0781     0.0701     0.2817     0.2529     1.1140
MACS_J0257.1-2325           1654      6     0.1175     0.1194     0.3338     0.3393     0.9837
MACS_J0257.1-2325           3581      6     0.0815     0.0701     0.2940     0.2529     1.1627
MACS_J0257.6-2209           3267      6     0.0788     0.0701     0.2841     0.2529     1.1234
MACS_J0308.9+2645           3268      6     0.0856     0.0701     0.3090     0.2529     1.2217
MACS_J0326.8-0043           5810      6     0.1027     0.0701     0.3706     0.2529     1.4654
MACS_J0329.6-0211           3257      6     0.1129     0.0701     0.4072     0.2529     1.6101
MACS_J0329.7-0212           6108      6     0.1123     0.0701     0.4053     0.2529     1.6026
MACS_J0404.6+1109           3269      6     0.0794     0.0701     0.2866     0.2529     1.1332
MACS_J0417.5-1154           3270      6     0.0827     0.0701     0.2985     0.2529     1.1801
MACS_J0451.9+0006           5815      6     0.0832     0.0701     0.3003     0.2529     1.1873
MACS_J0455.2+0657           5812      6     0.0841     0.0701     0.3034     0.2529     1.1997
MACS_J0520.7-1328           3272      6     0.0791     0.0701     0.2854     0.2529     1.1285
MACS_J0553.460042           5813      6     0.0798     0.0701     0.2880     0.2529     1.1386
