# Model: wabs(mekal) for total spectra; Fit Range = 2.0 - 7.0; Count Rates = 2.0 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
ABELL_2744                  2212   0.28   0.00  1.82  0.00  0.00  5.94  5.33  6.74  0.12  0.05  0.18   1.05e-02   9.89e-03   1.12e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  0.275   1.22    205
ABELL_3112                  2516   1.13   0.00  2.50  0.00  0.00  4.49  4.11  4.93  0.47  0.36  0.58   1.23e-02   1.17e-02   1.30e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.471   1.15    189
ABELL_3158                  3201   1.40   0.00  1.60  0.00  0.00  5.11  4.79  5.48  0.33  0.26  0.39   1.58e-02   1.53e-02   1.64e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  0.553   1.02    268
ABELL_3266                   899   1.38   0.00  1.72  0.00  0.00 12.77 11.50 14.39  0.44  0.34  0.55   1.44e-02   1.41e-02   1.48e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  0.579   1.13    281
ABELL_3558                  1646   1.69   0.00  3.84  0.00  0.00  6.11  5.40  7.03  0.27  0.17  0.38   1.15e-02   1.09e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  0.492   0.85    169
ABELL_3562                  4167   1.66   0.00  3.90  0.00  0.00  4.78  4.33  5.33  0.21  0.11  0.31   8.74e-03   8.26e-03   9.27e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  0.286   0.89    176
ABELL_3571                  4203   2.07   0.00  4.66  0.00  0.00  7.46  6.10  9.38  0.29  0.11  0.49   1.77e-03   1.65e-03   1.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  0.082   1.13     78
ABELL_4038                  4992   2.70   0.00  1.57  0.00  0.00  2.93  2.77  3.10  0.32  0.23  0.43   9.16e-03   8.67e-03   9.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.238   1.07    210
AC_114                      1562   0.28   0.00  1.44  0.00  0.00  6.63  5.80  7.72  0.13  0.06  0.21   4.76e-03   4.47e-03   5.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.133   1.06    295
CL_1221+4918                1662   0.14   0.00  1.44  0.00  0.00  4.51  3.47  6.08  0.18  0.03  0.35   9.92e-04   7.65e-04   1.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.010   1.32     57
CL_1416+4446                 541   0.22   0.00  1.24  0.00  0.00 79.90 42.56 79.90  6.35  2.24 15.11   7.68e-04   4.85e-04   1.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.035   3.23     32
CYGNUS_A                     360   1.45   0.00 35.23  0.00  0.00  6.73  6.18  7.38  0.27  0.20  0.34   9.57e-03   9.26e-03   9.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0561  0.396   1.34    257
ESO_3060170                 3189   2.26   0.00  3.43  0.00  0.00  3.05  2.52  3.77  0.00  0.00  0.28   3.61e-03   3.03e-03   4.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0358  0.083   1.05     54
ESO_5520200                 3206   2.57   0.00  4.29  0.00  0.00  2.43  1.89  3.24  0.13  0.00  0.87   1.53e-03   1.05e-03   2.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.031   1.82     49
EXO_0422-086                4183   2.04   0.00  6.22  0.00  0.00  3.11  2.69  3.64  0.07  0.00  0.26   7.35e-03   6.47e-03   8.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  0.181   0.95     74
HERCULES_A                  1625   0.54   0.00  6.27  0.00  0.00  3.50  2.97  4.26  0.46  0.25  0.73   4.29e-03   3.76e-03   4.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1541  0.123   1.11     62
IRAS_09104+4109              509   0.21   0.00  1.36  0.00  0.00 79.90 73.37 79.90  0.75  0.05  1.58   1.92e-02   1.75e-02   2.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  0.627   2.68     95
MS_0016.9+1609               520   0.17   0.00  4.06  0.00  0.00  6.86  6.12  7.73  0.27  0.20  0.35   3.84e-03   3.58e-03   4.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.074   1.16    193
MS_0302.7+1658               525   0.21   0.00 10.95  0.00  0.00  2.25  1.19  5.67  0.00  0.00  1.19   1.31e-03   0.00e+00   4.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.008   1.08      5
MS_0440.5+0204              4196   0.44   0.00  9.10  0.00  0.00 79.90 62.51 79.90 10.51  5.00 21.42   3.27e-03   2.11e-03   4.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.254   1.79     81
MS_0451.6-0305               902   0.17   0.00  5.68  0.00  0.00  7.96  6.48  9.95  0.24  0.12  0.37   3.74e-03   3.39e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5386  0.084   1.11    142
MS_0735.6+7421              4197   0.39   0.00  3.40  0.00  0.00  4.31  3.91  4.80  0.17  0.10  0.24   5.40e-03   5.05e-03   5.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2160  0.142   1.07    206
MS_0839.8+2938              2224   0.43   0.00  3.92  0.00  0.00  4.03  3.28  5.16  0.27  0.09  0.47   3.00e-03   2.59e-03   3.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1940  0.083   0.76    108
MS_1006.0+1202               925   0.39   0.00  3.63  0.00  0.00 75.36 34.33 79.90  1.10  0.39  1.98   4.63e-03   4.13e-03   5.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2210  0.158   2.03    134
MS_1008.1-1224               926   0.29   0.00  6.71  0.00  0.00 79.90 66.94 79.90  2.09  1.30  3.12   3.75e-03   3.42e-03   4.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3010  0.130   2.43    151
MS_1054.5-0321               512   0.12   0.00  3.69  0.00  0.00 15.10  9.09 34.55  0.00  0.00  0.33   1.48e-03   1.31e-03   1.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8300  0.030   1.24    117
MS_1137.5+6625               536   0.12   0.00  1.18  0.00  0.00 79.90 54.96 79.90  0.00  0.00  0.37   1.06e-03   1.00e-03   1.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.020   2.56     68
MS_1455.0+2232              4192   0.33   0.00  3.35  0.00  0.00  4.62  4.29  5.01  0.23  0.17  0.29   4.67e-03   4.43e-03   4.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.101   1.34    277
MS_1621.5+2640               546   0.21   0.00  3.59  0.00  0.00  5.96  4.43  8.43  0.34  0.16  0.56   1.73e-03   1.45e-03   2.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.039   1.11     74
MS_2053.7-0449              1667   0.16   0.00  5.16  0.00  0.00  2.75  1.65  5.63  0.35  0.00  1.63   5.87e-04   0.00e+00   1.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.004   0.94     41
MS_2137.3-2353               928   0.28   0.00  3.40  0.00  0.00  5.80  4.87  6.98  0.27  0.16  0.39   3.14e-03   2.86e-03   3.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3130  0.088   1.02    128
OPHIUCHUS                   3200   2.89   0.00 19.84  0.00  0.00  8.43  7.76  9.22  0.32  0.24  0.40   6.46e-03   6.29e-03   6.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.296   1.25    260
PKS_0745-191                 508   0.80   0.00 40.82  0.00  0.00 79.90 75.29 79.90  6.46  5.04  8.21   4.71e-02   4.24e-02   5.18e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  2.906   2.47    285
PKS_0745-191                6103   0.80   0.00 40.80  0.00  0.00  8.09  7.42  8.89  0.27  0.20  0.33   3.51e-02   3.41e-02   3.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  1.259   1.05    264
RBS_0797                    2202   0.25   0.00  2.22  0.00  0.00  5.60  4.52  7.06  0.26  0.12  0.40   5.78e-03   5.06e-03   6.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.127   0.94     75
