#ResultsfromquerytoNASA/IPACExtragalacticDatabase(NED),
#whichisoperatedbytheJetPropulsionLaboratory,CaliforniaInstituteof
#Technology,undercontractwiththeNationalAeronauticsandSpaceAdministration.
#queryDateTime:2009-12-03T16:26:02PST
#PhotometricDataforUGC08058
#No.	ObservedPassband	PhotometryMeasurement	Uncertainty	Units	Frequency	NEDPhotometryMeasurement	NEDUncertainty	NEDUnits	Refcode	Significance	Publishedfrequency	FrequencyMode	CoordinatesTargeted	SpatialMode	Qualifiers	Comments
31	J(ESO/SPM)	48.8	3.25	milliJy	2.50E+14	4.88E-02	3.25E-03	Jy	1995ApJ453616S	rmsuncertainty	1.198microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	15"aperture	Fromnewrawdata
32	J(KPNO)	0.038	0.001	Jy	2.44E+14	3.80E-02	1.00E-03	Jy	1979ApJ234471M	uncertainty	1.23microns	Broad-bandmeasurement		Fluxinfixedaperture	10"aperture	Fromnewrawdata
33	J(KPNO)	0.042	0.001	Jy	2.44E+14	4.20E-02	1.00E-03	Jy	1979ApJ234471M	uncertainty	1.23microns	Broad-bandmeasurement		Fluxinfixedaperture	15"aperture	Fromnewrawdata
34	F_J(total)	1.69	1.10	logmilliJy	2.41E+14	4.90E-02	1.27E-02	Jy	1995ApJ453616S	1sigma	1.244microns	Broad-bandmeasurement		Correctedtototalfluxfromsingleaperturemeasurement		Homogenizedfromnewandpreviouslypublisheddata
35	J_20(2MASSLGA)	11.080	0.016	mag	2.40E+14	5.89E-02	8.74E-04	Jy	2003AJ.125525J	1sigmauncert.	1.25microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxintegratedfrommap	36.4x30.2arcsecintegrationarea.	Fromnewrawdata
36	J_Kron(2MASSLGA)	11.231	0.015	mag	2.40E+14	5.12E-02	7.13E-04	Jy	2003AJ.125525J	1sigmauncert.	1.25microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxintegratedfrommap	17.2x14.3arcsecintegrationarea.	Fromnewrawdata
37	J_tot(2MASSLGA)	11.024	0.020	mag	2.40E+14	6.20E-02	1.15E-03	Jy	2003AJ.125525J	1sigmauncert.	1.25microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Totalflux		Fromnewrawdata
38	J_14arcsec(2MASS)	11.255	0.015	mag	2.40E+14	5.01E-02	6.97E-04	Jy	20032MASX.C.:	1sigmauncert.	1.25microns	Broad-bandmeasurement	125614.33+565224.4(J2000)	Fluxinfixedaperture	14.0x14.0arcsecaperture	Fromnewrawdata
39	1.25microns	0.043		Jy	2.40E+14	4.30E-02		Jy	1976ApJ210L5R	nouncertaintyreported	1.25microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
40	1.25microns	0.049	0.003	Jy	2.40E+14	4.90E-02	3.00E-03	Jy	1976PASP88870J	uncertainty	1.25microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
41	1.25microns	0.043	10%	Jy	2.40E+14	4.30E-02	4.30E-03	Jy	1978ApJ226550R	uncertainty	1.25microns	Broad-bandmeasurement		Fluxinfixedaperture	8.5"aperture	Fromnewrawdata
42	1.25microns	0.042	0.002	Jy	2.40E+14	4.20E-02	2.00E-03	Jy	1975PASP87683J	uncertainty	1.25microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
43	J(Johnson)	11.20	0.11	mag	2.38E+14	5.31E-02	5.66E-03	Jy	1976ApJ207367A	uncertainty	1.26microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
44	H(ESO/SPM)	107.2	7.14	milliJy	1.90E+14	1.07E-01	7.14E-03	Jy	1995ApJ453616S	rmsuncertainty	1.580microns	Broad-bandmeasurement	125405.8+570830(B1950)	Fluxinfixedaperture	15"aperture	Fromnewrawdata
45	1.6microns	0.077		Jy	1.87E+14	7.70E-02		Jy	1976ApJ210L5R	nouncertaintyreported	1.6microns	Broad-bandmeasurement		Fluxinfixedaperture	Lowqualitydata	Fromnewrawdata
46	H(Johnson)	10.11	0.03	mag	1.87E+14	9.71E-02	2.72E-03	Jy	1976ApJ207367A	uncertainty	1.6microns	Broad-bandmeasurement		Fluxinfixedaperture		Fromnewrawdata
47	F160W(HST/NICMOS2)	11.14		mag	1.87E+14	3.79E-02		Jy	2006ApJ643707V	nouncertaintyreported	1.606microns	Broad-bandmeasurement		Modelleddatum	Sersiccomponent;n=11.5;r_{1/2}=1.38	Fromnewrawdata
48	F160W(HST/NICMOS2)	12.05		mag	1.87E+14	1.64E-02		Jy	2006ApJ643707V	nouncertaintyreported	1.606microns	Broad-bandmeasurement		Modelleddatum	Sersiccomponent;n=1.0;r_{1/2}=1.69	Fromnewrawdata
49	F160W(HST/NICMOS2)	11.57		mag	1.87E+14	2.55E-02		Jy	2006ApJ643707V	nouncertaintyreported	1.606microns	Broad-bandmeasurement		Modelleddatum	Sersiccomponent;n=4.0;r_{1/2}=1.31	Fromnewrawdata
50	F160W(HST/NICMOS2)	10.57		mag	1.87E+14	6.41E-02		Jy	2006ApJ643707V	nouncertaintyreported	1.606microns	Broad-bandmeasurement		Modelleddatum	PSFcomponent;n=11.5;r_{1/2}=1.38	Fromnewrawdata
51	F160W(HST/NICMOS2)	10.43		mag	1.87E+14	7.29E-02		Jy	2006ApJ643707V	nouncertaintyreported	1.606microns	Broad-bandmeasurement		Modelleddatum	PSFcomponent;n=1.0;r_{1/2}=1.69	Fromnewrawdata
