#ID                                  Freq            Flux            Ferr       Type       Line
#--                                    Hz              Jy              Jy         --         --
IRAS25microns                  1.2000e+13      8.6600e+00      9.3600e-02       cont       none
IRAS25microns                  1.2000e+13      8.8000e+00      3.5000e-02       cont       none
# [OIV]line(IRS)                 1.1600e+13      5.7800e-04      5.7800e-04       cont       none
# H_2S(0)line(IRS)               1.0600e+13      6.3700e-02      6.3700e-02       cont       none
30microns(Spitzer)             9.9900e+12      1.4400e+01      0.0000e+00       cont       none
# [SIII]line(IRS)                8.9500e+12      3.0700e-03      3.0700e-03       cont       none
# [SIII]33.48                    8.9500e+12      2.5700e-03      2.5700e-03       cont       none
IRAS60microns                  5.0000e+12      3.0800e+01      4.2000e-02       cont       none
IRAS60microns                  5.0000e+12      3.2000e+01      1.6000e+00       cont       none
IRAS60microns                  5.0000e+12      3.5400e+01      3.9000e-02       cont       none
60microns(ISO)                 4.9300e+12      3.1700e+01      9.5000e+00       cont       none
90microns(ISO)                 3.1500e+12      2.7300e+01      8.2000e+00       cont       none
IRAS100microns                 3.0000e+12      2.9700e+01      1.0800e-01       cont       none
IRAS100microns                 3.0000e+12      3.2300e+01      1.2200e-01       cont       none
IRAS100microns                 3.0000e+12      3.0300e+01      1.2100e+00       cont       none
# 11cm(NRAO)                     2.7000e+12      2.5600e-01      3.8000e-02       cont       none
120microns(ISO)                2.5200e+12      2.4300e+01      7.3000e+00       cont       none
150microns(ISO)                1.8600e+12      1.4700e+01      4.4200e+00       cont       none
170microns(ISO)                1.7600e+12      2.0800e+01      3.1200e+00       cont       none
180microns(ISO)                1.6200e+12      9.7500e+00      2.9200e+00       cont       none
200microns(ISO)                1.4700e+12      6.8800e+00      2.0600e+00       cont       none
350microns(CSO)                8.5700e+11      1.7300e+00      7.0000e-02       cont       none
350microns                     8.5700e+11      2.4900e+00      4.2000e-01       cont       none
350microns                     8.5700e+11      1.0500e+00      2.5000e-01       cont       none
# CO(6-5)(JCMT)                  6.9100e+11      4.5000e-03      1.5400e-03       cont       none
450microns                     6.6600e+11      5.1300e-01      1.3400e-01       cont       none
# CO(4-3)(JCMT)                  4.6100e+11      3.0100e-03      7.0600e-04       cont       none
800microns                     3.7500e+11      9.6000e-02      1.8000e-02       cont       none
# HCN(4-3)(JCMT)                 3.5500e+11      1.9900e-04      3.9900e-05       cont       none
# CO(3-2)(JCMT)                  3.4600e+11      1.7400e-03      2.4600e-04       cont       none
1100microns                    2.7300e+11      4.6900e-02      1.1600e-02       cont       none
1.25mm                         2.4000e+11      2.9000e-02      8.0000e-03       cont       none
3.2mm                          9.3000e+10      4.0000e-02      4.0000e-02       cont       none
3.3mm                          9.0800e+10      2.0000e-02      6.0000e-02       cont       none
# NRAO9.5mm                      3.1600e+10     -4.0000e-02      1.4000e-01       cont       none
# 20.0GHz(OVRO)                  2.0000e+10      1.2300e-01      1.1000e-02       cont       none
# 8.4GHz                         8.4000e+09      2.5500e-01      0.0000e+00       cont       none
# 8.1GHz                         8.1000e+09      8.6000e-02      5.0000e-03       cont       none
