# Model: wabs(mekal) for total spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = no; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
ABELL_1942                  3290   0.38   4.32  8.57  6.18 11.13  3.31  3.00  3.67  0.18  0.08  0.28   2.39e-03   2.23e-03   2.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.170   1.28    256
ABELL_1991                  3193   1.44   2.88  0.89  0.00  1.81  2.52  2.39  2.67  0.30  0.24  0.37   2.99e-03   2.83e-03   3.15e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0565  0.509   1.27    226
ABELL_2029                  4977   1.07   3.00  3.41  3.23  3.58  8.11  7.96  8.26  0.33  0.31  0.36   3.21e-02   3.19e-02   3.23e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  5.278   2.03    440
ABELL_2029                  6101   1.07   4.10  4.01  3.21  4.82  8.82  8.28  9.44  0.26  0.19  0.33   3.69e-02   3.63e-02   3.76e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0765  4.205   1.03    369
ABELL_2034                  2204   0.73   4.10  2.25  1.67  2.85  7.19  6.89  7.52  0.22  0.17  0.27   1.09e-02   1.07e-02   1.11e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  1.238   1.07    416
ABELL_2104                   895   0.53   2.45 15.47 14.83 16.12  7.93  7.50  8.40  0.30  0.23  0.37   6.95e-03   6.82e-03   7.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1554  0.952   1.25    369
ABELL_2124                  3238   1.24   2.77  1.66  0.29  3.10  3.94  3.51  4.43  0.17  0.05  0.30   2.41e-03   2.26e-03   2.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0658  0.411   1.05    171
ABELL_2147                  3211   2.27   4.10  1.66  0.26  3.10  4.14  3.85  4.47  0.24  0.15  0.33   5.53e-03   5.27e-03   5.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0356  0.655   1.03    221
ABELL_2163                  1653   0.49   4.10 16.71 16.19 17.23 15.62 14.87 16.44  0.06  0.01  0.11   2.72e-02   2.69e-02   2.74e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1695  2.256   1.26    440
ABELL_2199                   497   2.70   2.89  1.48  0.53  2.43  4.85  4.47  5.31  0.35  0.23  0.49   2.99e-03   2.84e-03   3.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.635   1.18    176
ABELL_2204                   499   0.55   2.89  4.98  4.30  5.67  9.58  8.77 10.53  0.19  0.09  0.29   1.74e-02   1.70e-02   1.78e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  2.763   1.19    295
ABELL_2204                  6104   0.55   4.10  6.61  5.31  7.94  9.39  8.54 10.43  0.28  0.18  0.39   1.85e-02   1.80e-02   1.90e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  1.885   1.00    297
ABELL_2218                  1666   0.49   6.38  5.96  4.77  7.18  6.33  5.86  6.88  0.15  0.08  0.23   9.32e-03   9.06e-03   9.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1713  0.884   1.19    380
ABELL_2219                   896   0.38   2.99  2.17  1.81  2.54 11.77 11.12 12.51  0.24  0.18  0.30   1.45e-02   1.43e-02   1.47e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2256  2.250   1.16    407
ABELL_2244                  4179   0.85   2.96  2.87  2.54  3.20  5.26  5.12  5.40  0.23  0.20  0.27   1.31e-02   1.30e-02   1.33e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0967  2.074   1.48    407
ABELL_2255                   894   1.02   4.10  0.00  0.00  0.18 11.34 10.77 11.97  0.85  0.74  0.96   8.80e-03   8.66e-03   8.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0805  1.203   1.35    380
ABELL_2259                  3245   0.51   4.10  1.25  0.00  3.48  5.56  4.92  6.35  0.20  0.07  0.34   6.15e-03   5.83e-03   6.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.619   1.02    175
ABELL_2261                  5007   0.38   4.10  4.62  3.38  5.91  7.18  6.64  7.80  0.24  0.17  0.32   9.40e-03   9.15e-03   9.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.848   1.06    318
ABELL_2319                  3231   1.44   4.10 10.51  9.79 11.25  9.42  8.93  9.97  0.30  0.23  0.36   3.54e-02   3.49e-02   3.60e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0562  3.945   1.10    403
ABELL_2384                  4202   0.87   4.10  4.35  3.16  5.57  4.64  4.35  4.96  0.09  0.03  0.16   6.04e-03   5.86e-03   6.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0945  0.613   0.89    307
ABELL_2390                  4193   0.37   2.87  9.12  8.80  9.44  9.82  9.47 10.19  0.25  0.22  0.29   1.38e-02   1.37e-02   1.39e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2301  1.699   1.41    436
ABELL_2409                  3247   0.57   3.85  8.10  6.13 10.17  5.69  5.19  6.29  0.30  0.19  0.41   9.07e-03   8.67e-03   9.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1479  0.871   1.25    205
ABELL_2550                  2225   0.54   3.94  4.68  2.30  7.03  1.34  1.22  1.48  0.09  0.05  0.14   1.65e-03   1.40e-03   1.94e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1543  0.145   1.89    244
ABELL_2554                  1696   0.75   3.69  2.58  1.36  3.83  4.92  4.39  5.58  0.16  0.03  0.30   3.66e-03   3.46e-03   3.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1103  0.588   1.01    218
ABELL_2556                  2226   0.95   3.90  0.73  0.00  1.64  3.43  3.19  3.68  0.26  0.18  0.34   5.22e-03   4.97e-03   5.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0862  0.896   1.06    249
ABELL_2589                  3210   1.95   2.38  3.67  0.84  6.87 15.66  9.71 79.66  3.45  0.00 18.96   2.08e-03   9.37e-04   3.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0415  0.504   1.35     44
ABELL_2597                   922   0.96   1.13  0.68  0.00  2.06  4.17  3.74  4.66  0.24  0.09  0.40   1.30e-03   1.22e-03   1.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0854  0.249   0.77    120
ABELL_2626                  3192   1.42   3.10  6.59  5.67  7.53  2.87  2.72  3.03  0.35  0.28  0.42   5.30e-03   5.04e-03   5.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0573  0.824   1.13    233
ABELL_2667                  2214   0.37   3.01  2.49  1.49  3.51  6.06  5.52  6.70  0.16  0.07  0.25   9.70e-03   9.36e-03   1.00e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2300  1.392   1.27    207
ABELL_2670                  4959   1.07   4.10  6.76  5.66  7.85  3.93  3.75  4.13  0.27  0.21  0.34   6.32e-03   6.11e-03   6.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0763  0.650   1.17    331
ABELL_2744                  2212   0.28   3.77  1.53  0.77  2.32  7.57  6.94  8.27  0.14  0.07  0.22   9.20e-03   8.95e-03   9.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3080  1.177   1.26    306
ABELL_3112                  2516   1.13   3.00  0.72  0.14  1.32  5.31  5.05  5.60  0.44  0.36  0.54   1.12e-02   1.09e-02   1.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  2.145   1.20    290
ABELL_3158                  3201   1.40   4.10  2.87  2.19  3.57  4.95  4.78  5.13  0.35  0.30  0.41   1.59e-02   1.56e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  1.904   1.02    369
ABELL_3266                   899   1.38   3.80  0.29  0.00  0.92 13.03 12.12 14.08  0.47  0.37  0.57   1.43e-02   1.40e-02   1.45e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  1.695   1.11    382
ABELL_3558                  1646   1.69   3.03  3.11  2.44  3.80  6.40  5.97  6.86  0.33  0.23  0.43   1.11e-02   1.08e-02   1.14e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  2.082   0.95    270
ABELL_3562                  4167   1.66   4.10  4.50  3.31  5.73  4.75  4.48  5.05  0.30  0.22  0.38   8.43e-03   8.15e-03   8.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  0.957   0.98    277
ABELL_3571                  4203   2.07   2.17  3.79  2.65  4.97  7.74  6.87  8.84  0.42  0.24  0.62   1.69e-03   1.62e-03   1.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  0.303   1.17    179
ABELL_4038                  4992   2.70   4.10  3.74  2.90  4.60  3.09  2.99  3.20  0.38  0.33  0.43   8.46e-03   8.20e-03   8.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.973   1.17    311
AC_114                      1562   0.28   3.62  1.58  0.91  2.26  7.03  6.53  7.63  0.17  0.09  0.24   4.57e-03   4.46e-03   4.68e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.612   1.05    396
CL_1221+4918                1662   0.14   1.86  5.88  1.69 10.53  5.33  4.30  6.13  0.27  0.09  0.47   7.59e-04   6.79e-04   8.60e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7000  0.039   1.39    126
CL_1416+4446                 541   0.22   2.15  0.00  0.00  0.34 18.18 12.94 28.39  2.07  1.23  3.28   8.42e-04   7.62e-04   9.42e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4000  0.102   2.83     80
CYGNUS_A                     360   1.45   2.39 29.34 28.49 30.21  8.04  7.57  8.58  0.26  0.18  0.34   8.96e-03   8.79e-03   9.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0561  1.139   1.23    358
ESO_3060170                 3189   2.26   4.10  6.16  3.62  8.76  2.57  2.34  2.83  0.28  0.19  0.41   3.72e-03   3.38e-03   4.09e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0358  0.380   1.07    142
ESO_5520200                 3206   2.57   4.10  6.75  3.18 10.86  2.34  2.03  2.69  0.54  0.35  0.82   1.21e-03   1.04e-03   1.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.142   1.46    119
EXO_0422-086                4183   2.04   4.10 11.67  9.55 13.91  3.00  2.77  3.25  0.24  0.15  0.34   7.01e-03   6.54e-03   7.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  0.681   0.96    165
HERCULES_A                  1625   0.54   2.32  1.58  0.31  2.89  4.92  4.42  5.50  0.32  0.17  0.49   3.51e-03   3.31e-03   3.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1541  0.589   1.01    162
IRAS_09104+4109              509   0.21   2.69 19.47 16.78 22.55 79.90 76.91 79.90  3.15  1.67  5.05   1.05e-02   8.96e-03   1.21e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4420  1.199   4.88    162
MS_0016.9+1609               520   0.17   2.70  6.28  4.96  7.65  6.88  6.35  7.47  0.30  0.23  0.37   3.75e-03   3.62e-03   3.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.248   1.09    294
MS_0302.7+1658               525   0.21   2.02  9.33  0.14 29.48  3.28  1.96  4.77  0.00  0.00  0.64   8.03e-04   6.06e-04   1.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4240  0.043   0.79     19
MS_0440.5+0204              4196   0.44   3.02 20.24 16.99 23.79 79.90 71.18 79.90 14.97  7.80 74.39   2.09e-03   0.00e+00   2.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.491   2.60    140
MS_0451.6-0305               902   0.17   2.53  5.38  4.22  6.59  7.91  7.02  8.98  0.27  0.16  0.38   3.65e-03   3.50e-03   3.80e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5386  0.360   1.10    243
MS_0735.6+7421              4197   0.39   2.81  4.40  3.64  5.16  4.70  4.44  4.98  0.20  0.14  0.26   4.90e-03   4.77e-03   5.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2160  0.630   1.11    307
MS_0839.8+2938              2224   0.43   3.07  3.97  2.62  5.36  5.21  4.64  5.91  0.44  0.28  0.62   2.34e-03   2.21e-03   2.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1940  0.368   0.98    209
MS_1006.0+1202               925   0.39   4.10  0.00  0.00  0.25 38.41 28.60 51.02  0.97  0.56  1.42   4.17e-03   3.90e-03   4.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2210  0.414   1.79    235
MS_1008.1-1224               926   0.29   3.96  0.00  0.00  0.11 49.64 39.06 65.99  1.58  1.04  2.18   3.57e-03   3.44e-03   3.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3010  0.336   2.34    252
MS_1054.5-0321               512   0.12   2.20  3.60  1.67  5.75 13.49  9.91 18.65  0.05  0.00  0.31   1.51e-03   1.42e-03   1.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.8300  0.124   1.34    217
MS_1137.5+6625               536   0.12   1.59  0.00  0.00  0.27 79.90 65.12 79.90  0.00  0.00  0.77   9.87e-04   9.11e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.7820  0.054   2.06    153
MS_1455.0+2232              4192   0.33   3.54  2.70  1.71  3.69  4.67  4.46  4.91  0.25  0.20  0.30   4.53e-03   4.41e-03   4.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.363   1.44    378
MS_1621.5+2640               546   0.21   2.92  0.00  0.00  2.14  7.82  6.51  9.44  0.46  0.21  0.72   1.41e-03   1.35e-03   1.50e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4260  0.128   1.03    161
MS_2053.7-0449              1667   0.16   2.55  9.43  0.03 20.09  3.03  1.98  4.71  0.11  0.00  0.68   5.18e-04   3.65e-04   8.06e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5830  0.021   1.08     80
MS_2137.3-2353               928   0.28   2.62  3.88  2.94  4.85  5.43  4.96  5.96  0.33  0.23  0.43   3.09e-03   2.97e-03   3.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3130  0.445   1.15    229
OPHIUCHUS                   3200   2.89   3.00 33.26 32.29 34.25  9.30  8.71  9.99  0.33  0.24  0.41   6.38e-03   6.26e-03   6.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.753   1.22    361
PKS_0745-191                 508   0.80   2.98 36.01 34.89 37.16 79.90 78.47 79.90  8.57  6.62 10.74   3.65e-02   3.26e-02   4.10e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  5.718   3.39    386
PKS_0745-191                6103   0.80   4.10 43.02 41.24 44.84  8.69  8.07  9.41  0.28  0.21  0.35   3.42e-02   3.34e-02   3.50e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1028  2.659   1.04    359
RBS_0797                    2202   0.25   4.10  9.76  7.12 12.61  5.71  4.99  6.60  0.30  0.16  0.44   5.56e-03   5.22e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.431   0.99    164
RX_J0647.7+7015             3584   0.16   4.10 20.41 15.61 25.73  6.58  5.40  8.21  0.26  0.18  0.44   3.25e-03   2.95e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5840  0.160   1.17    146
RX_J0819.6+6336             2199   0.70   2.98  6.96  4.98  9.02  3.48  3.01  4.08  0.11  0.00  0.26   2.70e-03   2.47e-03   2.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1190  0.396   1.10    143
