# Name                             Obsid        type           z        flux         err     intrlum  intrlumerr    source
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s    ------
RX_J0647.7+7015                     3196          NF      0.5840      0.0025      0.0003     39.0699      3.9070      NVSS
RX_J0647.7+7015                     3584          NF      0.5840      0.0025      0.0003     39.0699      3.9070      NVSS
RX_J1347.5-1145                     3592           F      0.4510      0.0459      0.0015    383.5676     12.5349      NVSS
RX_J1347.5-1145                      507           F      0.4510      0.0459      0.0015    383.5676     12.5349      NVSS
RX_J1423.8+2404                     1657           F      0.5450      0.0080      0.0011    105.6333     14.5246      NVSS
RX_J1423.8+2404                     4195           F      0.5450      0.0080      0.0011    105.6333     14.5246      NVSS
RX_J1532.9+3021                     1665           F      0.3450      0.0228      0.0008    100.8713      3.5393      NVSS
RX_J1532.9+3021                     1649           F      0.3450      0.0228      0.0008    100.8713      3.5393      NVSS
RX_J1720.2+3536                     7225           F      0.3913      0.0180      0.0010    107.1933      5.9552      NVSS
RX_J1720.2+3536                     3280           F      0.3913      0.0180      0.0010    107.1933      5.9552      NVSS
RX_J1720.2+3536                     6107           F      0.3913      0.0180      0.0010    107.1933      5.9552      NVSS
S0463                               6956           F      0.0986     30.4000      4.0000      3.3871      0.4457      NVSS
S0463                               7250           F      0.0986     30.4000      4.0000      3.3871      0.4457      NVSS
1RXS_J2129.4-0741                   3199          NF      0.5700      0.0025      0.0003     36.8221      3.6822      NVSS
1RXS_J2129.4-0741                   3595          NF      0.5700      0.0025      0.0003     36.8221      3.6822      NVSS
CL_J0848+4456                       1708          NF      0.5740      0.0025      0.0003     37.4560      3.7456      NVSS
CL_J0848+4456                        927          NF      0.5740      0.0025      0.0003     37.4560      3.7456      NVSS
LYNX_E                             17081          NF      0.5740      0.0025      0.0003     37.4560      3.7456      NVSS
LYNX_E                              9271          NF      1.2600      0.0025      0.0003    263.6781     26.3678      NVSS
MACS_J0025.4-1222                   3251          NF      0.5843      0.0025      0.0003     39.1190      3.9119      NVSS
MACS_J0025.4-1222                   5010          NF      0.5843      0.0025      0.0003     39.1190      3.9119      NVSS
MS_2053.7-0449                      1667          NF      0.5830      0.0025      0.0003     38.9066      3.8907      NVSS
MS_2053.7-0449                       551          NF      0.5830      0.0025      0.0003     38.9066      3.8907      NVSS
ABELL_1423                           538          NF      0.2130      0.0025      0.0003      4.5950      0.4300      NVSS
ABELL_1664                          7901           F      0.1276      0.0364      0.0012     17.1166      0.5643      NVSS
ABELL_1664                          1648           F      0.1276      0.0364      0.0012     17.1166      0.5643      NVSS
ABELL_1942                          3290           F      0.2240      0.7433      0.0239   1215.3407     39.0780      NVSS
ABELL_2111                           544          NF      0.2300      0.0025      0.0003      4.3399      0.4340      NVSS
ABELL_2125                          2207          NF      0.2465      0.0025      0.0003      4.5258      0.2516      NVSS
ABELL_2259                          3245          NF      0.1640      0.0025      0.0003      2.0363      0.2036      NVSS
ABELL_2294                          3246          NF      0.1780      0.0025      0.0003      2.4414      0.2441      NVSS
ABELL_2550                          2225           F      0.1543      0.0043      0.0005      3.0621      0.3561      NVSS
ABELL_3526                          4190          NF      0.0114      0.0025      0.0003      0.0058      0.0006      NVSS
ABELL_3526                          4191          NF      0.0114      0.0025      0.0003      0.0058      0.0006      NVSS
ABELL_4059                          5785           F      0.0475      1.2847      0.0433    159.1115      5.3628      NVSS
CL_0024+17                           929           F      0.3940      0.0026      0.0004     15.7382      2.4213      NVSS
CL_J2302.8+0844                      918           F      0.7300      0.0252      0.0009    681.8106     24.3504      NVSS
IRAS_09104+4109                      509           F      0.4420      0.0159      0.0009    126.6012      7.1661      NVSS
MACS_J0242.5-2132                   3266           F      0.3140      1.2549      0.0377   4454.9464    133.8365      NVSS
MACS_J0257.6-2209                   3267          NF      0.3224      0.0025      0.0003      9.4385      0.9438      NVSS
MACS_J0417.5-1154                   3270           F      0.4400      0.0298      0.0017    234.7141     13.3897      NVSS
MACS_J0429.6-0253                   3271           F      0.3990      0.1388      0.0042    865.7203     26.1961      NVSS
MACS_J0547.0-3904                   3273           F      0.2100      0.0314      0.0010     44.3815      1.4134      NVSS
MACS_J1115.8+0129                   3275           F      0.1200      0.0162      0.0010      6.6691      0.4117      NVSS
MACS_J1131.8-1955                   3276          NF      0.3070      0.0025      0.0003      8.4216      0.8422      NVSS
MACS_J1931.8-2634                   3282          NF      0.3520      0.0025      0.0003     11.5949      1.1595      NVSS
MACS_J2228+2036                     3285          NF      0.4120      0.0025      0.0003     16.8289      1.6829      NVSS
MACS_J2229.7-2755                   3286           F      0.3240      0.0073      0.0005     27.8807      1.9096      NVSS
MACS_J2245.0+2637                   3287           F      0.3040      0.0058      0.0005     19.0974      1.6463      NVSS
MS_0451.6-0305                       902          NF      0.5386      0.0025      0.0003     32.0756      3.2076      NVSS
RBS_0533                            3186           F      0.0123      0.0166      0.0016      0.0614      0.0059      NVSS
RBS_0533                            3187           F      0.0123      0.0166      0.0016      0.0614      0.0059      NVSS
RBS_0533                            5800           F      0.0123      0.0166      0.0016      0.0614      0.0059      NVSS
RBS_0533                            5801           F      0.0123      0.0166      0.0016      0.0614      0.0059      NVSS
RBS_0797                            2202           F      0.3540      0.0217      0.0008    101.9940      3.7601      NVSS
RBS_0797                            7902           F      0.3540      0.0217      0.0008    101.9940      3.7601      NVSS
RX_J2129.6+0005                      552           F      0.2350      0.0254      0.0012     46.2995      2.1874      NVSS
ZWCL_1953                           1659          NF      0.3800      0.0025      0.0003     10.7814      1.6669      NVSS
ZWCL_7160                            543           F      0.2578      0.0165      0.0013     37.1493      2.9269      NVSS
2A_0335+096                          919           F      0.0347      0.0367      0.0018      1.1181      0.0548      NVSS
2PIGG_J0011.5-2850                  5797           F      0.0753      0.0110      0.0006      1.6756      0.0914      NVSS
2PIGG_J0311.8-2655                  5799          NF      0.0618      0.0025      0.0003      0.2515      0.0252      NVSS
