#Cluster                Obsid             RA            Dec      Sep    Maj    Min  Theta       Flux      Flerr    Found        z   type  notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s        "      "      "   deg.        mJy        mJy      ---      ---    ---    ---
CL_J1226.9+3332          3180    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.8900     na     na
CL_J1226.9+3332          5014    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.8900     na     na
CL_J1226.9+3332           932    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.8900     na     na
COMA                      556    12:59:35.47    +27:57:36.5   28.100   22.1   16.0   43.1     205.90       7.10        F   0.0231     na     na
CYGNUS_A                  360    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0561     na     na
ESO_3060170              3188    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0358     na     na
ESO_3060170              3189    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0    -444.00    -555.00       OA   0.0358     na     na
ESO_5520200              3206    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.0314     na     na
EXO_0422-086             3970    04:25:51.30    -08:33:36.8    0.600   18.1   16.4    0.0     112.40       3.40        F   0.0397     na     na
EXO_0422-086             4183    04:25:51.30    -08:33:36.8    0.560   18.1   16.4    0.0     112.40       3.40        F   0.0397     na     na
HCG_0062                  921     12:53:5.65    -09:12:21.1    5.650   72.2   38.1    0.0       4.90       0.50        F   0.0146     na     na
HCG_42                   3215    10:00:14.75    -19:38:11.9    7.360   62.7   55.9    0.0       2.50       0.50        F   0.0133     na     na
HERCULES_A               1625    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1541     na     na
HERCULES_A               5796    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1541     na     na
HERCULES_A               6257    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.1541     na     na
HYDRA_A                  4970     09:18:5.78    -12:05:41.3    4.040   62.4   19.5   29.3   40849.90    1278.80        F   0.0549     na     na
HYDRA_A                   576     09:18:5.78    -12:05:41.3    4.550   62.4   19.5   29.3   40849.90    1278.80        F   0.0549     na     na
MACS_J0011.7-1523        3261    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3600     na     na
MACS_J0011.7-1523        6105    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3600     na     na
MACS_J0035.4-2015        3262    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3644     na     na
MACS_J0159.8-0849        3265    01:59:49.38    -08:49:58.5    2.660   22.2   19.6    0.0      36.70       1.20        F   0.4050     na     na
MACS_J0159.8-0849        6106    01:59:49.38    -08:49:58.5    2.050   22.2   19.6    0.0      36.70       1.20        F   0.4050     na     na
MACS_J0242.5-2132        3266    02:42:35.92    -21:32:25.8    0.510   18.2   16.1    0.0    1254.90      37.70        F   0.3140     na     na
MACS_J0257.1-2325        1654    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5053     na     na
MACS_J0257.1-2325        3581    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5053     na     na
MACS_J0257.6-2209        3267    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3224     na     na
MACS_J0308.9+2645        3268    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3240     na     na
MACS_J0329.6-0211        3257    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4500     na     na
MACS_J0329.6-0211        3582    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4500     na     na
MACS_J0329.6-0211        6108    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4500     na     na
MACS_J0417.5-1154        3270    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4400     na     na
MACS_J0429.6-0253        3271    04:29:36.01     -02:53:6.4    2.850   15.8   14.8    0.0     138.80       4.20        F   0.3990     na     na
MACS_J0520.7-1328        3272    05:20:42.06    -13:28:47.2    2.190   18.3   16.5    0.0      93.00       2.80        F   0.3398     na     na
MACS_J0547.0-3904        3273     05:47:1.51    -39:04:26.2    2.260   19.6   15.9    0.0      31.40       1.00        F   0.2100     na     na
MACS_J0717.5+3745        1655    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5480     na     na
MACS_J0717.5+3745        4200    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5480     na     na
MACS_J0744.8+3927        3197    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.6860     na     na
MACS_J0744.8+3927        3585    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.6860     na     na
MACS_J0744.8+3927        6111    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.6860     na     na
MACS_J1115.2+5320        3253    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4390     na     na
MACS_J1115.2+5320        5008    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4390     na     na
MACS_J1115.2+5320        5350    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4390     na     na
MACS_J1115.8+0129        3275    11:15:51.81    +01:29:55.5    3.760   22.8   28.4    7.5      16.20       1.00        F   0.1200     na     na
MACS_J1131.8-1955        3276    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3070     na     na
MACS_J1149.5+2223        1656    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5440     na     na
MACS_J1149.5+2223        3589    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5440     na     na
MACS_J1206.2-0847        3277    12:06:12.11     -08:48:2.5    2.440   21.0   15.9  -29.1     160.90       6.30        F   0.4400     na     na
MACS_J1311.0-0310        3258    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4940     na     na
MACS_J1311.0-0310        6110    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4940     na     na
MACS_J1621.3+3810        3254    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4610     na     na
MACS_J1621.3+3810        3594    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4610     na     na
MACS_J1621.3+3810        6109    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4610     na     na
MACS_J1621.3+3810        6172    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.4610     na     na
MACS_J1931.8-2634        3282    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3520     na     na
MACS_J2049.9-3217        3283    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.3254     na     na
MACS_J2211.7-0349        3284    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.2700     na     na
MACS_J2214.9-1359        3259    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5026     na     na
MACS_J2214.9-1359        5011    00:00:00.00     00:00:00.0    0.000    0.0    0.0    0.0       2.50       0.25       NF   0.5026     na     na
