#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
ABELL_3128                           893          OA      0.0624     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3158                          3201          OA      0.0580     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3158                          3712          OA      0.0586     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3164                          6955          OA      0.0570     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3266                           899          OA      0.0590     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3376                          3202          NF      0.0456      0.0025      0.0003      0.0157      0.0016
ABELL_3376                          3450          NF      0.0456      0.0025      0.0003      0.0157      0.0016
ABELL_3391                          4943          OA      0.0560     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3558                          1646           F      0.0480      0.0040      0.0006      0.0279      0.0042
ABELL_3562                          4167          NF      0.0490      0.0025      0.0003      0.0182      0.0018
ABELL_3571                          4203          NF      0.0391      0.0025      0.0003      0.0114      0.0011
ABELL_3667                          5751          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3667                          5752          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3667                          5753          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3667                           889          OA      0.0566     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3921                          4973          NF      0.0927      0.0025      0.0003      0.0695      0.0069
ABELL_4038                          4992           F      0.0300      0.0275      0.0013      0.0730      0.0035
AC_114                              1562          NF      0.3120      0.0025      0.0003      1.0266      0.1027
AWM7                                 908          NF      0.0172      0.0025      0.0003      0.0021      0.0002
CENTAURUS                           4954          OA      0.0109     -0.4440     -0.5550     -0.0000     -0.0000
CL_0024+17                           929           F      0.3940      0.0026      0.0004      1.8478      0.2843
CL_J0030+2618                       1190          NF      0.5000      0.0025      0.0003      3.1447      0.3145
CL_J0030+2618                       1226          NF      0.5000      0.0025      0.0003      3.1447      0.3145
CL_J0030+2618                       5762          NF      0.5000      0.0025      0.0003      3.1447      0.3145
CL_J0848+4456                       1708          NF      0.5740      0.0025      0.0003      4.3977      0.4398
CL_J0848+4456                        927          NF      0.5740      0.0025      0.0003      4.3977      0.4398
