#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
MS_1621.5+2640                       546           F      0.4260      0.0098      0.0005     71.4433      3.6451
MS_2053.7-0449                      1667          NF      0.5830      0.0025      0.0003     38.9066      3.8907
MS_2053.7-0449                       551          NF      0.5830      0.0025      0.0003     38.9066      3.8907
MS_2137.3-2353                      4974           F      0.3130      0.0038      0.0005     13.3903      1.7619
MS_J1157.3+5531                     4964          NF      0.0810      0.0025      0.0003      0.4443      0.0444
NGC_6338                            4194           F      0.0280      0.0570      0.0018      1.1193      0.0353
OPHIUCHUS                           3200           F      0.0280      0.0288      0.0010      0.5655      0.0196
PKS_0745-191                        2427           F      0.1028      2.3720      0.0837    699.9968     24.7006
PKS_0745-191                         508           F      0.1028      2.3720      0.0837    699.9968     24.7006
PKS_0745-191                        6103           F      0.1028      2.3720      0.0837    699.9968     24.7006
RBS_0797                            2202           F      0.3540      0.0217      0.0008    101.9940      3.7601
RX_J0232.2-4420                     4993          OA      0.2836     -0.4440     -0.5550     -0.0000     -0.0000
RX_J0340-4542                       6954          OA      0.0818     -0.4440     -0.5550     -0.0000     -0.0000
RX_J0439+0520                        527           F      0.2080      0.0815      0.0029    112.7399      4.0116
RX_J0439.0+0715                     1449          NF      0.2300      0.0025      0.0003      4.3399      0.4340
RX_J0439.0+0715                     3583          NF      0.2300      0.0025      0.0003      4.3399      0.4340
RX_J0528.9-3927                     4994           F      0.2632      0.0047      0.0006     11.0968      1.4166
RX_J0647.7+7015                     3196          NF      0.5840      0.0025      0.0003     39.0699      3.9070
RX_J0647.7+7015                     3584          NF      0.5840      0.0025      0.0003     39.0699      3.9070
RX_J0819.6+6336                     2199           F      0.1190      0.0344      0.0014     13.9077      0.5660
RX_J1347.5-1145                     3592           F      0.4510      0.0459      0.0015    383.5676     12.5349
RX_J1347.5-1145                      507           F      0.4510      0.0459      0.0015    383.5676     12.5349
RX_J1423.8+2404                     1657           F      0.5450      0.0080      0.0011    105.6333     14.5246
RX_J1423.8+2404                     4195           F      0.5450      0.0080      0.0011    105.6333     14.5246
RX_J1504.1-0248                     5793           F      0.2150      0.0605      0.0025     90.1683      3.7260
RX_J1532.9+3021                     1649           F      0.3450      0.0228      0.0008    100.8713      3.5393
RX_J1532.9+3021                     1665           F      0.3450      0.0228      0.0008    100.8713      3.5393
RX_J1720.1+2638                     4361           F      0.1640      0.0877      0.0033     71.4319      2.6879
RX_J1720.2+3536                     3280           F      0.3913      0.0180      0.0010    107.1933      5.9552
RX_J1720.2+3536                     6107           F      0.3913      0.0180      0.0010    107.1933      5.9552
RX_J1720.2+3536                     7225           F      0.3913      0.0180      0.0010    107.1933      5.9552
RX_J2011.3-5725                     4995          OA      0.2786     -0.4440     -0.5550     -0.0000     -0.0000
RX_J2129.6+0005                      552           F      0.2350      0.0254      0.0012     46.2995      2.1874
S0463                               6956          OA      0.0986     -0.4440     -0.5550     -0.0000     -0.0000
S0463                               7250          OA      0.0986     -0.4440     -0.5550     -0.0000     -0.0000
SERSIC_159-03                       1668          OA      0.0580     -0.4440     -0.5550     -0.0000     -0.0000
TRIANG_AUSTR                        1281          OA      0.0510     -0.4440     -0.5550     -0.0000     -0.0000
ZWCL_1215                           4184          NF      0.0750      0.0025      0.0003      0.3776      0.0378
ZWCL_1358+6245                       516          NF      0.3280      0.0025      0.0003      9.8258      0.9826
ZWCL_1953                           1659           F      0.3800      0.0194      0.0012    107.7814      6.6669
ZWCL_3146                            909           F      0.2900      0.0071      0.0005     20.9582      1.4759
ZWCL_5247                            539          NF      0.2290      0.0025      0.0003      4.2972      0.4297
ZWCL_7160                            543           F      0.2578      0.0165      0.0013     37.1493      2.9269
ZWICKY_2701                         3195           F      0.2100      0.0145      0.0006     20.4946      0.8481
ZwCl_0848.5+3341                    4205          NF      0.3706      0.0025      0.0003     13.0908      1.3091
