# Model: proj(wabs(mekal2t)) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; calcerror = yes
# Cluster           ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2   Norm2    Normlo2    Normhi2          z     Cr  chisq    dof
ABELL_1651           4185   2.67   3.91  2.02  0.00  0.00  6.10  5.21  7.23  0.30  0.19  0.42   5.95e-03   5.69e-03   6.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.374   1.09    898
ABELL_1651           4185   3.91   7.28  2.02  0.00  0.00  5.53  4.98  6.22  0.30  0.19  0.42   8.79e-03   8.49e-03   9.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.446   1.09    898
ABELL_1689           5004   0.00   0.23  1.87  0.00  0.00  9.11  7.01 12.74  0.60  0.41  0.81   1.11e-03   1.05e-03   1.19e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.158   1.08   1304
ABELL_1689           5004   0.23   0.38  1.87  0.00  0.00  7.08  5.69  9.16  0.60  0.41  0.81   1.70e-03   1.58e-03   1.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.157   1.08   1304
ABELL_1689           5004   0.38   0.54  1.87  0.00  0.00 17.74 11.94 33.13  0.60  0.41  0.81   2.16e-03   2.01e-03   2.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.146   1.08   1304
ABELL_1689           5004   0.54   0.75  1.87  0.00  0.00  9.29  6.62 15.02  0.26  0.11  0.42   1.87e-03   1.73e-03   2.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.152   1.08   1304
ABELL_1689           5004   0.75   0.98  1.87  0.00  0.00  9.55  7.00 14.31  0.26  0.11  0.42   2.43e-03   2.28e-03   2.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.151   1.08   1304
ABELL_1689           5004   0.98   1.31  1.87  0.00  0.00 11.11  8.24 16.47  0.26  0.11  0.42   2.80e-03   2.65e-03   2.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.158   1.08   1304
ABELL_1689           5004   1.31   1.80  1.87  0.00  0.00  7.75  6.20  9.82  0.34  0.22  0.47   2.86e-03   2.72e-03   3.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.158   1.08   1304
ABELL_1689           5004   1.80   2.71  1.87  0.00  0.00 10.52  8.69 13.55  0.34  0.22  0.47   3.63e-03   3.49e-03   3.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.174   1.08   1304
ABELL_1689           5004   2.71   4.98  1.87  0.00  0.00  7.88  6.70  9.47  0.34  0.22  0.47   3.35e-03   3.23e-03   3.48e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1843  0.148   1.08   1304
ABELL_2142           1228   0.00   0.65  4.31  0.00  0.00 22.65  8.30 79.90  0.31  0.00  0.93   3.93e-03   3.27e-03   5.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0898  1.097   1.03    374
ABELL_2142           1228   0.65   1.02  4.31  0.00  0.00  6.04  4.33 10.45  0.31  0.00  0.93   6.87e-03   5.92e-03   7.77e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0898  1.080   1.03    374
ABELL_2142           1228   1.02   1.47  4.31  0.00  0.00 15.25  9.28 32.01  2.53  1.53  3.85   6.29e-03   5.41e-03   7.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0898  1.042   1.03    374
ABELL_2142           1228   1.47   1.98  4.31  0.00  0.00  7.54  5.72 18.36  2.53  1.53  3.85   4.65e-03   3.70e-03   5.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0898  1.021   1.03    374
ABELL_2142           1228   1.98   2.62  4.31  0.00  0.00 79.90 41.37 79.90  2.53  1.53  3.85   2.18e-02   1.82e-02   2.38e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0898  1.057   1.03    374
ABELL_2199            497   0.00   0.38  0.88  0.00  0.00  2.24  2.02  2.39  0.94  0.83  1.06   1.87e-03   1.76e-03   1.98e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.745   1.07   1958
ABELL_2199            497   0.38   0.63  0.88  0.00  0.00  2.49  2.25  3.73  0.94  0.83  1.06   1.99e-03   1.85e-03   2.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.686   1.07   1958
ABELL_2199            497   0.63   0.86  0.88  0.00  0.00  5.80  2.38  7.51  0.20  0.00  1.23   2.52e-03   1.78e-03   2.74e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.691   1.07   1958
ABELL_2199            497   0.86   1.07  0.88  0.00  0.00  3.27  2.89  6.20  0.94  0.83  1.06   3.01e-03   2.82e-03   3.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.678   1.07   1958
ABELL_2199            497   1.07   1.30  0.88  0.00  0.00  4.73  4.31  5.96  0.94  0.83  1.06   3.35e-03   3.15e-03   3.54e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.702   1.07   1958
ABELL_2199            497   1.30   1.53  0.88  0.00  0.00  4.42  3.62  5.82  0.37  0.24  0.50   4.16e-03   3.92e-03   4.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.679   1.07   1958
ABELL_2199            497   1.53   1.78  0.88  0.00  0.00  3.89  3.19  4.78  0.37  0.24  0.50   4.32e-03   4.05e-03   4.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.690   1.07   1958
ABELL_2199            497   1.78   2.06  0.88  0.00  0.00  4.66  3.85  5.92  0.45  0.40  0.50   4.77e-03   4.55e-03   5.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.712   1.07   1958
ABELL_2199            497   2.06   2.36  0.88  0.00  0.00  3.88  3.08  5.05  0.45  0.40  0.50   3.50e-03   3.28e-03   3.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.729   1.07   1958
ABELL_2199            497   2.36   2.89  0.88  0.00  0.00  4.88  4.69  5.09  0.45  0.40  0.50   1.91e-02   1.88e-02   1.94e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  1.171   1.07   1958
ABELL_2204            499   0.00   0.09  5.84  0.00  0.00  2.90  2.62  3.23  0.90  0.76  1.06   1.53e-03   1.43e-03   1.65e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.367   1.04   1322
ABELL_2204            499   0.09   0.15  5.84  0.00  0.00  3.22  2.80  3.75  0.90  0.76  1.06   1.74e-03   1.60e-03   1.89e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.318   1.04   1322
ABELL_2204            499   0.15   0.22  5.84  0.00  0.00  4.55  3.93  5.38  0.90  0.76  1.06   2.45e-03   2.29e-03   2.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.328   1.04   1322
ABELL_2204            499   0.22   0.31  5.84  0.00  0.00  4.47  3.84  5.36  0.90  0.76  1.06   2.27e-03   2.10e-03   2.43e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.308   1.04   1322
ABELL_2204            499   0.31   0.42  5.84  0.00  0.00 10.77  7.41 17.52  0.39  0.17  0.62   2.51e-03   2.33e-03   2.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.286   1.04   1322
ABELL_2204            499   0.42   0.57  5.84  0.00  0.00  8.27  6.15 12.42  0.39  0.17  0.62   2.73e-03   2.53e-03   2.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.308   1.04   1322
ABELL_2204            499   0.57   0.77  5.84  0.00  0.00 11.37  7.59 19.24  0.39  0.17  0.62   2.82e-03   2.61e-03   3.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.319   1.04   1322
ABELL_2204            499   0.77   1.02  5.84  0.00  0.00  8.20  6.13 12.20  0.16  0.02  0.29   3.27e-03   3.07e-03   3.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.321   1.04   1322
ABELL_2204            499   1.02   1.38  5.84  0.00  0.00 14.56  9.73 23.45  0.16  0.02  0.29   3.90e-03   3.66e-03   4.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.331   1.04   1322
ABELL_2204            499   1.38   2.03  5.84  0.00  0.00  8.93  6.99 11.97  0.16  0.02  0.29   4.32e-03   4.11e-03   4.53e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.404   1.04   1322
ABELL_2204            499   2.03   2.89  5.84  0.00  0.00 10.93  9.04 13.92  0.16  0.02  0.29   5.70e-03   5.49e-03   5.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.306   1.04   1322
ABELL_2204           6104   0.00   0.14  5.84  0.00  0.00  3.09  2.86  3.35  0.83  0.66  1.02   3.25e-03   3.02e-03   3.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.381   1.01   1029
ABELL_2204           6104   0.14   0.27  5.84  0.00  0.00  5.39  4.79  6.11  0.83  0.66  1.02   3.80e-03   3.58e-03   4.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.312   1.01   1029
ABELL_2204           6104   0.27   0.48  5.84  0.00  0.00  7.65  6.36  9.58  0.39  0.19  0.59   4.36e-03   4.13e-03   4.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.321   1.01   1029
ABELL_2204           6104   0.48   0.80  5.84  0.00  0.00 10.08  7.86 13.76  0.39  0.19  0.59   4.36e-03   4.12e-03   4.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.319   1.01   1029
ABELL_2204           6104   0.80   1.25  5.84  0.00  0.00  9.81  8.11 12.33  0.33  0.21  0.46   5.73e-03   5.50e-03   5.96e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.320   1.01   1029
ABELL_2204           6104   1.25   2.27  5.84  0.00  0.00 11.50  9.59 14.40  0.33  0.21  0.46   6.28e-03   6.06e-03   6.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.324   1.01   1029
ABELL_2204           6104   2.27   6.78  5.84  0.00  0.00  6.73  5.96  7.70  0.33  0.21  0.46   8.45e-03   8.17e-03   8.76e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1524  0.455   1.01   1029
