# Model: wabs(mekal) for inner100 spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
ABELL_0697                  4217  0.000  0.390  3.34  0.00  0.00 10.09  8.10 13.11  0.52  0.19  0.88   1.02e-03   9.48e-04   1.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2820  0.0000  0.0000  0.103   98.3   1.06     63
ABELL_0744                  6947  0.000  1.200  3.66  0.00  0.00  2.92  2.70  3.14  0.60  0.43  0.82   8.02e-04   7.37e-04   8.73e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0729  0.0000  0.0000  0.100   80.0   0.99    113
ABELL_0754                   577  0.000  1.570  4.60  0.00  0.00  7.78  7.41  8.18  0.45  0.34  0.56   6.10e-03   5.97e-03   6.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0543  0.0000  0.0000  0.908   92.6   1.21    355
ABELL_0773                  5006  0.000  0.480  1.46  0.00  0.00  9.07  7.56 11.48  0.16  0.00  0.40   1.23e-03   1.16e-03   1.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2170  0.0000  0.0000  0.127   97.8   0.89     75
ABELL_0963                   903  0.000  0.490  1.39  0.00  0.00  6.86  6.45  7.30  0.57  0.44  0.71   2.07e-03   2.01e-03   2.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2056  0.0000  0.0000  0.387   94.7   1.07    196
ABELL_1060                  2220  0.000  6.520  4.96  0.00  0.00  3.35  3.30  3.40  0.45  0.42  0.48   2.99e-02   2.95e-02   3.03e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0125  0.0000  0.0000  3.763   91.9   1.30    422
ABELL_1063S                 4966  0.000  0.340  1.77  0.00  0.00 12.90 11.26 14.94  0.41  0.21  0.60   2.72e-03   2.62e-03   2.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3540  0.0000  0.0000  0.257   99.4   1.06    172
ABELL_1068                  1652  0.000  0.680  0.71  0.00  0.00  3.49  3.40  3.59  0.62  0.56  0.68   5.91e-03   5.78e-03   6.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1375  0.0000  0.0000  1.222   96.7   1.31    241
ABELL_1201                  4216  0.000  0.570  1.85  0.00  0.00  5.17  4.67  5.74  0.67  0.44  0.94   8.76e-04   8.18e-04   9.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1688  0.0000  0.0000  0.158   82.2   0.81    108
ABELL_1204                  2205  0.000  0.570  1.44  0.00  0.00  3.41  3.30  3.53  0.49  0.41  0.58   5.53e-03   5.35e-03   5.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1706  0.0000  0.0000  0.627   99.4   1.34    207
ABELL_1240                  4961  0.000  0.610  2.04  0.00  0.00  4.18  3.12  5.84  0.05  0.00  0.83   9.45e-05   7.39e-05   1.07e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1590  0.0000  0.0000  0.010   69.7   0.77     18
ABELL_1361                  2200  0.000  0.790  2.18  0.00  0.00  3.29  2.98  3.63  0.53  0.32  0.79   3.51e-03   3.20e-03   3.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1171  0.0000  0.0000  0.713   91.6   0.86     66
ABELL_1413                  5003  0.000  0.660  2.19  0.00  0.00  6.68  6.41  6.95  0.50  0.43  0.58   4.08e-03   4.00e-03   4.14e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1426  0.0000  0.0000  0.441   98.9   1.06    339
ABELL_1423                   538  0.000  0.480  1.60  0.00  0.00  4.90  4.26  5.74  0.77  0.38  1.23   1.21e-03   1.07e-03   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2130  0.0000  0.0000  0.150   97.5   1.48     46
ABELL_1446                  4975  0.000  0.880  1.36  0.00  0.00  4.44  4.12  4.79  0.54  0.37  0.72   6.72e-04   6.38e-04   7.05e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1035  0.0000  0.0000  0.129   62.9   0.99    161
ABELL_1569                  6100  0.000  1.190  2.22  0.00  0.00  2.81  2.56  3.10  0.07  0.00  0.19   7.47e-04   6.94e-04   8.04e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0735  0.0000  0.0000  0.073   83.0   1.03     89
ABELL_1576                  7938  0.000  0.390  0.95  0.00  0.00  9.79  7.35 13.91  0.03  0.00  0.49   7.21e-04   6.55e-04   7.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2790  0.0000  0.0000  0.070   96.1   0.89     36
ABELL_1650                  4178  0.000  1.050  1.62  0.00  0.00  6.01  5.81  6.22  0.61  0.53  0.69   7.46e-03   7.32e-03   7.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.0000  0.0000  1.492   94.2   1.05    315
ABELL_1651                  4185  0.000  1.060  2.02  0.00  0.00  6.64  6.15  7.20  0.45  0.31  0.59   6.76e-03   6.54e-03   6.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.0000  0.0000  0.917   98.5   1.12    188
ABELL_1736                  4186  0.000  2.470  5.13  0.00  0.00  3.39  3.15  3.66  0.19  0.08  0.31   3.14e-03   2.97e-03   3.32e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0338  0.0000  0.0000  0.374   79.3   1.02    147
ABELL_1758                  2213  0.000  0.390  1.09  0.00  0.00  7.64  6.47  9.19  0.25  0.00  0.54   3.28e-04   3.06e-04   3.48e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2792  0.0000  0.0000  0.051   78.0   0.94     73
ABELL_1763                  3591  0.000  0.530  0.82  0.00  0.00  8.12  6.89  9.82  0.28  0.02  0.55   1.14e-03   1.07e-03   1.20e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1866  0.0000  0.0000  0.129   97.3   1.23     74
ABELL_1835                   495  0.000  0.420  2.36  0.00  0.00  6.16  5.91  6.43  0.31  0.25  0.37   8.56e-03   8.43e-03   8.71e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2532  0.0000  0.0000  1.453   99.2   1.04    260
ABELL_1914                  3593  0.000  0.570  0.97  0.00  0.00  8.94  8.17  9.85  0.59  0.42  0.76   3.91e-03   3.78e-03   4.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1712  0.0000  0.0000  0.469   99.2   1.11    193
ABELL_1942                  3290  0.000  0.460  2.75  0.00  0.00  6.41  5.40  7.83  0.41  0.14  0.73   2.83e-04   2.59e-04   3.03e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2240  0.0000  0.0000  0.030   91.5   0.60     54
ABELL_1991                  3193  0.000  1.470  2.43  0.00  0.00  2.15  2.11  2.18  0.69  0.65  0.72   6.14e-03   6.04e-03   6.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0587  0.0000  0.0000  1.372   88.7   2.51    266
ABELL_1995                  7021  0.000  0.350  1.44  0.00  0.00 10.12  8.34 12.83  0.39  0.09  0.69   5.26e-04   4.93e-04   5.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3186  0.0000  0.0000  0.052   96.9   1.04     76
ABELL_2034                  2204  0.000  0.810  1.58  0.00  0.00  7.41  6.87  8.03  0.41  0.28  0.55   1.61e-03   1.57e-03   1.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1130  0.0000  0.0000  0.219   96.6   1.26    223
