#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
ABELL_2218                          1666  0.1713    3.50E-05    3.70E-05    6.41E-07     154.816       3.043       0.633       0.005    0.00E+00    0.00E+00      22.392       0.000       0.433       0.000    336.54   66    0.00E+00
ABELL_2219                           896  0.2256    1.04E-04    8.86E-05   -0.00E+00       0.000      -0.000       0.568      -0.000    8.38E-05    9.61E-07     235.499       4.858       0.674       0.009    142.87   31    2.22E-16
ABELL_2244                          4179  0.0967    3.01E-04    1.65E-04    3.52E-06      88.960       2.101       0.602       0.006    1.38E-04    7.13E-06      28.787       1.705       1.000       0.000     78.02   31    6.28E-06
ABELL_2255                           894  0.0805    7.90E-06    6.31E-06    1.31E-06     494.446     143.656       0.906       0.344    3.05E-06    2.13E-06      23.572      37.704       0.386       0.447    123.30   91    1.37E-02
ABELL_2256                     1386_2419  0.0579    2.55E-05    2.68E-05    1.63E-07     325.066       1.121       1.000       0.000    3.56E-05    0.00E+00       0.000       0.000       0.403       0.000   2528.14   77    0.00E+00
ABELL_2261                          5007  0.2240    2.40E-04    7.25E-05    2.28E-05     110.137      19.420       0.644       0.057    1.82E-04    2.04E-05      28.011       5.295       0.483       0.014    130.42   53    1.81E-08
ABELL_2319                          3231  0.0562    5.28E-05    3.51E-05    4.34E-07     187.895       4.641       0.575       0.008    3.14E-05    5.56E-06      19.973       2.811       1.000       0.000    487.62   89    0.00E+00
ABELL_2384                          4202  0.0945    1.04E-04    1.06E-04    6.46E-06      26.386       2.152       0.466       0.016    8.85E-07    3.88E-03       0.247    9824.051       0.185       0.076    214.13   70    1.11E-16
ABELL_2390                          4193  0.2301    6.54E-04    3.53E-05    9.80E-07     392.212       3.110       1.000       0.000    5.89E-04    1.01E-05      35.811       1.065       0.564       0.010    327.62   29    0.00E+00
ABELL_2409                          3247  0.1479    7.70E-05    6.72E-05    1.21E-05      17.121       4.576       0.426       0.021    2.52E-05    1.40E-06     260.099       7.682       1.000       0.000     48.29   41    2.02E-01
ABELL_2537                          4962  0.2950    1.01E-04    1.09E-04   -0.00E+00       0.000      -0.000       0.594      -0.000    8.39E-05    2.76E-06      82.669       2.849       0.552       0.006     55.24   31    4.71E-03
ABELL_2556                          2226  0.0862    6.36E-04    1.21E-04    2.80E-05      55.495       8.776       0.613       0.061    6.01E-04    3.84E-05       8.804       0.765       0.480       0.036     56.56   42    6.61E-02
ABELL_2597                           922  0.0854    1.52E-03    1.07E-03    5.01E-05      37.284       1.769       0.668       0.015    5.66E-04    5.46E-05      13.911       1.757       1.000       0.000     60.15    8    4.35E-10
ABELL_2626                          3192  0.0573    2.99E-04    2.17E-04    1.10E-05      16.466       0.858       0.422       0.003    3.18E-01    2.26E+02       0.517      76.299       1.000       0.000    115.34   30    6.10E-12
ABELL_2631                          3248  0.2779    2.99E-05    1.48E-05    1.52E-05      22.382      57.929       0.486       1.024    1.69E-05    6.42E-06     317.356     116.468       0.803       0.266     38.80   44    6.94E-01
ABELL_2634                          4816  0.0314    7.37E-05    5.48E-06    2.58E-07      48.964      23.100       0.290       0.060    8.12E-05    1.51E-05       5.120       0.425       1.000       0.000     14.59   21    8.43E-01
ABELL_2667                          2214  0.2300    1.14E-03    3.99E-04    2.72E-05      84.385       4.269       0.605       0.008    9.03E-04    5.60E-05      31.266       2.097       1.000       0.000     22.80   31    8.56E-01
ABELL_2670                          4959  0.0763    3.09E-05    3.22E-05   -0.00E+00       0.000      -0.000       0.599      -0.000    2.57E-05    5.12E-07      82.357       1.835       0.559       0.004    162.66   82    2.90E-07
ABELL_2717                          6974  0.0475    4.63E-05    2.62E-05    9.87E-07      38.179       1.599       0.505       0.006    0.00E+00    0.00E+00      10.789       0.000       0.230       0.000    202.23   67    1.67E-15
ABELL_2744                          2212  0.3080    3.87E-05    3.14E-05    7.29E-07     276.446      10.017       0.590       0.011    3.94E-05    0.00E+00       0.000       0.000       0.589       0.000    238.71   40    0.00E+00
ABELL_3112                          2516  0.0720    1.84E-03    1.39E-04    1.17E-04      64.287      29.328       0.601       0.195    1.81E-03    1.53E-04       9.739       1.617       0.489       0.090     88.76   31    1.78E-07
ABELL_3128                           893  0.0624    2.04E-05    2.39E-06    2.50E-07     289.975      25.910       1.000       0.000    1.48E-05    2.24E-06      16.424       4.579       0.392       0.034     70.20   55    8.13E-02
ABELL_3158                     3201_3712  0.0580    2.79E-05    1.32E-05    2.63E-07     343.270       2.679       1.000       0.000    1.35E-05    3.61E-07     109.529       3.850       1.000       0.000    319.31   81    0.00E+00
ABELL_3266                           899  0.0590    4.45E-05    1.18E-05    8.33E-06      81.346      57.379       0.402       0.257    3.74E-05    1.18E-05       3.284       2.248       0.261       0.038     36.61   41    6.66E-01
ABELL_3376                     3202_3450  0.0456    6.54E-06    3.80E-06    5.39E-08     168.109       5.097       0.501       0.008    5.45E-06    8.04E-06       3.779       4.277       1.000       0.000    942.48  109    0.00E+00
ABELL_3391                          4943  0.0560    1.03E-05    6.38E-06    3.19E-07     286.337      31.897       0.741       0.068    7.88E-06    7.35E-07      66.267       6.835       1.000       0.000     74.85   81    6.71E-01
ABELL_3395                          4944  0.0510    5.99E-06    8.03E-06    4.53E-07      39.432       3.623       0.355       0.006    1.06E-22    0.00E+00       6.391       0.000       0.307       0.000    106.33   71    4.22E-03
ABELL_3526                     4190_4191  0.0114    1.26E-03    8.95E-04    8.34E-06       5.066       0.043       0.462       0.001    2.04E-03    0.00E+00       0.000       0.000       0.169       0.000   1961.14   73    0.00E+00
ABELL_3558                          1646  0.0480    1.15E-04    4.13E-05    1.05E-05      97.502      47.470       0.908       0.575    8.33E-05    2.52E-05       4.065       4.300       0.253       0.012     37.80   31    1.86E-01
ABELL_3562                          4167  0.0490    3.26E-05    1.29E-05    5.99E-07     118.855       9.489       0.537       0.021    2.10E-05    1.91E-06      31.595       2.831       1.000       0.000     89.74   60    7.71E-03
ABELL_3571                          4203  0.0391    1.92E-04    7.88E-05    1.60E-05     175.992       6.387       1.000       0.000    1.06E-04    1.91E-05      18.591       6.139       0.470       0.180     34.89   21    2.90E-02
ABELL_3581                          1650  0.0218    2.05E-04    1.92E-04    3.47E-05      17.437       2.119       0.549       0.011    1.19E-04    2.87E-05      10.401       2.652       1.000       0.000     59.51   44    5.93E-02
ABELL_3667            5751_889_5752_5753  0.0556    1.90E-05    1.05E-05    1.33E-07     386.440       2.180       1.000       0.000    8.31E-06    1.24E-07     131.682       2.672       1.000       0.000   1351.17   69    0.00E+00
ABELL_3921                          4973  0.0927    3.49E-05    5.30E-06    8.04E-07     457.220       9.768       1.000       0.000    2.05E-05    1.37E-06     116.739      21.811       0.806       0.193    154.42   85    6.22E-06
ABELL_4038                          4992  0.0300    1.06E-04    7.21E-05    8.24E-07      37.013       0.484       0.509       0.002    8.47E-22    0.00E+00       1.514       0.000       0.388       0.000    928.33   92    0.00E+00
ABELL_4059                      5785_897  0.0475    3.84E-04    7.11E-05    5.63E-06     112.118       7.215       0.889       0.054    1.99E-04    1.04E-05      12.883       1.578       0.552       0.069   1357.44   60    0.00E+00
AWM7                                 908  0.0172    2.22E-04    1.45E-05    9.65E-07     106.185       3.608       1.000       0.000    2.04E-04    1.23E-05       2.013       0.211       0.323       0.006     85.45   45    2.59E-04
CENTAURUS                           4954  0.0109    1.78E-03    6.38E-04    9.14E-06       4.639       0.070       0.422       0.001    1.47E-03    2.30E-05       1.903       0.031       1.000       0.000   2217.48   33    0.00E+00
