#Name                             Obsid  type       z          flux           err         power           err           lum           err      surv
# --                                 --    --      --            Jy            Jy      10^40e/s      10^40e/s      10^40e/s      10^40e/s        --
MACS_J0111.5+0855                  3256    NF  0.2627       0.00250       0.00025       0.75041       0.07504       4.66350       0.46635      NVSS
MACS_J0152.5-2852                  3264    NF  0.3407       0.00250       0.00025       1.37135       0.13713       8.52237       0.85224      NVSS
MACS_J0159.0-3412                  5818    NF  0.4584       0.00250       0.00025       2.77391       0.27739      17.23877       1.72388      NVSS
MACS_J0159.8-0849                  3265     F  0.4050       0.03670       0.00120      30.28438       0.99022     188.20552       6.15386      NVSS
MACS_J0159.8-0849                  6106     F  0.4050       0.03670       0.00120      30.28438       0.99022     188.20552       6.15386      NVSS
MACS_J0242.5-2132                  3266     F  0.3140       1.25490       0.03770     568.84716      17.08944    3535.16218     106.20417      NVSS
MACS_J0257.1-2325                  1654    NF  0.5053       0.00250       0.00025       3.50834       0.35083      21.80295       2.18029      NVSS
MACS_J0257.1-2325                  3581    NF  0.5053       0.00250       0.00025       3.50834       0.35083      21.80295       2.18029      NVSS
MACS_J0257.6-2209                  3267    NF  0.3224       0.00250       0.00025       1.20519       0.12052       7.48978       0.74898      NVSS
MACS_J0308.9+2645                  3268    NF  0.3240       0.00250       0.00025       1.21920       0.12192       7.57683       0.75768      NVSS
MACS_J0329.6-0211                  3257     F  0.4500       0.00690       0.00060       7.32350       0.63683      45.51267       3.95762      NVSS
MACS_J0329.6-0211                  3582     F  0.4500       0.00690       0.00060       7.32350       0.63683      45.51267       3.95762      NVSS
MACS_J0329.6-0211                  6108     F  0.4500       0.00690       0.00060       7.32350       0.63683      45.51267       3.95762      NVSS
MACS_J0417.5-1154                  3270     F  0.4400       0.02980       0.00170      29.97038       1.70972     186.25418      10.62524      NVSS
MACS_J0429.6-0253                  3271     F  0.3990       0.13880       0.00420     110.54286       3.34496     686.98057      20.78759      NVSS
MACS_J0455.2+0657                  5812    NF  0.4247       0.00250       0.00025       2.31025       0.23102      14.35728       1.43573      NVSS
MACS_J0520.7-1328                  3272     F  0.3398       0.09300       0.00280      50.69863       1.52641     315.07214       9.48604      NVSS
MACS_J0547.0-3904                  3273     F  0.2100       0.03140       0.00100       5.66702       0.18048      35.21831       1.12160      NVSS
MACS_J0553.4-3342                  5813    NF  0.4067       0.00250       0.00025       2.08363       0.20836      12.94895       1.29490      NVSS
MACS_J0717.5+3745                  1655    NF  0.5480       0.00250       0.00025       4.27174       0.42717      26.54720       2.65472      NVSS
MACS_J0717.5+3745                  4200    NF  0.5480       0.00250       0.00025       4.27174       0.42717      26.54720       2.65472      NVSS
MACS_J0744.8+3927                  3197    NF  0.6860       0.00250       0.00025       7.40739       0.74074      46.03402       4.60340      NVSS
MACS_J0744.8+3927                  3585    NF  0.6860       0.00250       0.00025       7.40739       0.74074      46.03402       4.60340      NVSS
MACS_J0744.8+3927                  6111    NF  0.6860       0.00250       0.00025       7.40739       0.74074      46.03402       4.60340      NVSS
MACS_J0911.2+1746                  5012    NF  0.5409       0.00250       0.00025       4.13835       0.41384      25.71824       2.57182      NVSS
MACS_J1006.9+3200                  5819    NF  0.3587       0.00250       0.00025       1.54772       0.15477       9.61845       0.96184      NVSS
MACS_J1105.7-1014                  5817    NF  0.4664       0.00250       0.00025       2.89172       0.28917      17.97091       1.79709      NVSS
