#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s
ABELL_3128                           893          OA      0.0624      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3158                          3201          OA      0.0580      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3158                          3712          OA      0.0580      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3266                           899          OA      0.0590      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3376                          3202          OA      0.0456      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3376                          3450          OA      0.0456      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3391                          4943          OA      0.0560      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3395                          4944          OA      0.0510      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3526                          4190          OA      0.0114      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3526                          4191          OA      0.0114      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3558                          1646          OA      0.0480      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3562                          4167          OA      0.0490      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3571                          4203          OA      0.0391      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3581                          1650          OA      0.0218      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3667                          5751          OA      0.0556      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3667                          5752          OA      0.0556      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3667                          5753          OA      0.0556      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3667                           889          OA      0.0556      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3921                          4973          OA      0.0927      0.0000     -0.0010     -0.0000     -0.0000
ABELL_4038                          4992          OA      0.0300      0.0000     -0.0010     -0.0000     -0.0000
ABELL_4059                          5785          OA      0.0475      0.0000     -0.0010     -0.0000     -0.0000
ABELL_4059                           897          OA      0.0475      0.0000     -0.0010     -0.0000     -0.0000
AWM7                                 908          OA      0.0172      0.0000     -0.0010     -0.0000     -0.0000
CENTAURUS                           4954          OA      0.0109      0.0000     -0.0010     -0.0000     -0.0000
CID_0072                            2018           F      0.0344      0.0097      0.0001      0.2304      0.0033
CID_0072                            6949           F      0.0344      0.0097      0.0001      0.2304      0.0033
CID_0072                            7321           F      0.0344      0.0097      0.0001      0.2304      0.0033
CID_0072                            7322           F      0.0344      0.0097      0.0001      0.2304      0.0033
CL_J0030+2618                       1190          OA      0.5000      0.0000     -0.0010     -0.0000     -0.0000
CL_J0030+2618                       1226          OA      0.5000      0.0000     -0.0010     -0.0000     -0.0000
CL_J0030+2618                       5762          OA      0.5000      0.0000     -0.0010     -0.0000     -0.0000
CL_J1226.9+3332                     3180           F      0.8900      0.0036      0.0001    126.7868      4.6711
CL_J1226.9+3332                     5014           F      0.8900      0.0036      0.0001    126.7868      4.6711
CL_J1226.9+3332                      932           F      0.8900      0.0036      0.0001    126.7868      4.6711
COMA                                 556          NF      0.0231      0.0007      0.0002      0.0074      0.0018
CYGNUS_A                             360          OA      0.0561      0.0000     -0.0010     -0.0000     -0.0000
ESO_3060170                         3188          OA      0.0358      0.0000     -0.0010     -0.0000     -0.0000
ESO_3060170                         3189          OA      0.0358      0.0000     -0.0010     -0.0000     -0.0000
ESO_5520200                         3206          OA      0.0314      0.0000     -0.0010     -0.0000     -0.0000
EXO_0422-086                        3970          OA      0.0397      0.0000     -0.0010     -0.0000     -0.0000
EXO_0422-086                        4183          OA      0.0397      0.0000     -0.0010     -0.0000     -0.0000
HCG_0062                             921          OA      0.0146      0.0000     -0.0010     -0.0000     -0.0000
HCG_42                              3215          OA      0.0133      0.0000     -0.0010     -0.0000     -0.0000
HERCULES_A                          1625          OA      0.1541      0.0000     -0.0010     -0.0000     -0.0000
HERCULES_A                          5796          OA      0.1541      0.0000     -0.0010     -0.0000     -0.0000
HERCULES_A                          6257          OA      0.1541      0.0000     -0.0010     -0.0000     -0.0000
HYDRA_A                             4970          OA      0.0549      0.0000     -0.0010     -0.0000     -0.0000
HYDRA_A                              576          OA      0.0549      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0011.7-1523                   3261          OA      0.3600      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0011.7-1523                   6105          OA      0.3600      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0035.4-2015                   3262          OA      0.3644      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0159.8-0849                   3265           F      0.4050      0.0314      0.0001    161.1798      0.7385
MACS_J0159.8-0849                   6106           F      0.4050      0.0314      0.0001    161.1798      0.7385
MACS_J0242.5-2132                   3266          OA      0.3140      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0257.1-2325                   1654          OA      0.5053      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0257.1-2325                   3581          OA      0.5053      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0257.6-2209                   3267          OA      0.3224      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0308.9+2645                   3268          OA      0.3240      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0329.6-0211                   3257          OA      0.4500      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0329.6-0211                   3582          OA      0.4500      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0329.6-0211                   6108          OA      0.4500      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0417.5-1154                   3270          OA      0.4400      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0429.6-0253                   3271          OA      0.3990      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0520.7-1328                   3272          OA      0.3398      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0547.0-3904                   3273          OA      0.2100      0.0000     -0.0010     -0.0000     -0.0000
MACS_J0717.5+3745                   1655          NF      0.5480      0.0007      0.0001      7.4332      1.5291
MACS_J0717.5+3745                   4200          NF      0.5480      0.0007      0.0001      7.4332      1.5291
MACS_J0744.8+3927                   3197          NF      0.6860      0.0007      0.0002     12.8895      2.7989
MACS_J0744.8+3927                   3585          NF      0.6860      0.0007      0.0002     12.8895      2.7989
MACS_J0744.8+3927                   6111          NF      0.6860      0.0007      0.0002     12.8895      2.7989
