#Cluster                   Obsid     IDOF_K0   ICHISQ_K0    IPVAL_K0   IDOF_PLAW ICHISQ_PLAW  IPVAL_PLAW     FDOF_K0   FCHISQ_K0    FPVAL_K0   FDOF_PLAW FCHISQ_PLAW  FPVAL_PLAW
ABELL_0133                  2203          17      44.378  3.0120E-04          18     504.687  1.0791E-95          17      54.255  9.0183E-06          18     812.017 8.7919E-161
ABELL_0160                  3219          25       0.333  1.0000E+00          26       3.658  1.0000E+00          25       0.333  1.0000E+00          26       3.658  1.0000E+00
ABELL_0193                  6931          23       0.024  1.0000E+00          24       2.920  1.0000E+00          23       0.024  1.0000E+00          24       2.920  1.0000E+00
ABELL_0222                  4967          34       4.817  1.0000E+00          35      26.215  8.5811E-01          34       4.944  1.0000E+00          35      27.156  8.2565E-01
ABELL_0223                 49671          27       1.345  1.0000E+00          28       6.555  9.9999E-01          27       1.345  1.0000E+00          28       6.555  9.9999E-01
ABELL_0368                  9412          25       6.135  9.9996E-01          26      24.088  5.7095E-01          25       6.175  9.9995E-01          26      26.035  4.6121E-01
ABELL_0370                   515          17       2.409  9.9999E-01          18       6.016  9.9613E-01          17       2.409  9.9999E-01          18       6.016  9.9613E-01
ABELL_0383                  2321          10       4.755  9.0693E-01          11      40.903  2.5042E-05          10       6.305  7.8906E-01          11      58.476  1.7771E-08
ABELL_0399                  3230          28       4.145  1.0000E+00          29      21.402  8.4409E-01          28       4.188  1.0000E+00          29      22.237  8.1026E-01
ABELL_0400                  4181          70       0.706  1.0000E+00          71      57.226  8.8169E-01          70       0.706  1.0000E+00          71      57.226  8.8169E-01
ABELL_0496                  3361          23       7.049  9.9942E-01          24      36.088  5.3820E-02          23       6.946  9.9949E-01          24     132.183  6.2358E-17
ABELL_0520                  4215          30       2.858  1.0000E+00          31      14.091  9.9604E-01          30       2.858  1.0000E+00          31      14.091  9.9604E-01
ABELL_0521                   430           5       0.233  9.9871E-01           6       9.700  1.3787E-01           5       0.324  9.9716E-01           6      11.508  7.3895E-02
ABELL_0562                  6936          24       1.664  1.0000E+00          25       2.409  1.0000E+00          24       1.664  1.0000E+00          25       2.409  1.0000E+00
ABELL_0576                  3289          18       3.808  9.9983E-01          19      10.596  9.3669E-01          18       4.708  9.9925E-01          19      15.489  6.9105E-01
ABELL_0586                   530          14       3.473  9.9789E-01          15      10.342  7.9770E-01          14       3.473  9.9789E-01          15      10.342  7.9770E-01
ABELL_0611                  3194          16       1.976  9.9999E-01          17      14.904  6.0238E-01          16       1.976  9.9999E-01          17      14.904  6.0238E-01
ABELL_0644                  2211          50      15.093  1.0000E+00          51      90.425  5.5885E-04          50      15.093  1.0000E+00          51      90.425  5.5885E-04
ABELL_0665                  3586          43       3.789  1.0000E+00          44      19.707  9.9942E-01          43       3.789  1.0000E+00          44      19.707  9.9942E-01
ABELL_0697                  4217          27       4.011  1.0000E+00          28      19.494  8.8221E-01          27       4.281  1.0000E+00          28      20.278  8.5410E-01
ABELL_0744                  6947          15       1.196  1.0000E+00          16      13.361  6.4618E-01          15       1.267  1.0000E+00          16      12.557  7.0484E-01
ABELL_0754                   577          55      13.348  1.0000E+00          56      35.360  9.8591E-01          55      13.348  1.0000E+00          56      35.360  9.8591E-01
ABELL_0773                  5006          32       3.283  1.0000E+00          33      19.393  9.7118E-01          32       3.283  1.0000E+00          33      19.393  9.7118E-01
ABELL_0963                   903          21       2.750  1.0000E+00          22       4.295  9.9998E-01          21       3.373  1.0000E+00          22      13.857  9.0649E-01
ABELL_1060                  2220          22       1.550  1.0000E+00          23       7.678  9.9883E-01          22       2.606  1.0000E+00          23      13.853  9.3101E-01
ABELL_1063S                 4966          21       2.975  1.0000E+00          22      34.397  4.4739E-02          21       2.975  1.0000E+00          22      34.397  4.4739E-02
ABELL_1068                  1652          14       3.455  9.9795E-01          15      53.280  3.4644E-06          14       3.444  9.9799E-01          15      54.192  2.4399E-06
ABELL_1201                  4216          11       1.604  9.9947E-01          12       6.573  8.8452E-01          11       2.192  9.9770E-01          12       8.394  7.5363E-01
ABELL_1204                  2205           8       1.624  9.9046E-01           9      54.349  1.6199E-08           8       1.908  9.8369E-01           9      65.623  1.0912E-10
ABELL_1240                  4961          34       0.057  1.0000E+00          35       4.778  1.0000E+00          34       0.035  1.0000E+00          35       4.759  1.0000E+00
ABELL_1361                  2200          11       3.466  9.8302E-01          12      12.036  4.4275E-01          11       4.077  9.6760E-01          12      13.171  3.5674E-01
ABELL_1413                  5003           7       5.972  5.4305E-01           8      11.450  1.7748E-01           7       6.179  5.1905E-01           8      25.440  1.3089E-03
ABELL_1423                   538          20       1.745  1.0000E+00          21      15.660  7.8842E-01          20       1.673  1.0000E+00          21      17.390  6.8723E-01
ABELL_1446                  4975          31       6.866  1.0000E+00          32       9.711  9.9995E-01          31       6.866  1.0000E+00          32       9.711  9.9995E-01
ABELL_1569                  6100          26       7.388  9.9987E-01          27       9.589  9.9918E-01          26       7.388  9.9987E-01          27       9.589  9.9918E-01
ABELL_1650                  4178          12       1.852  9.9960E-01          13       6.093  9.4271E-01          12       1.996  9.9941E-01          13       7.851  8.5315E-01
ABELL_1651                  4185          24      13.052  9.6526E-01          25      28.850  2.7021E-01          24      13.257  9.6169E-01          25      29.415  2.4693E-01
ABELL_1736                  4186          12       0.102  1.0000E+00          13       1.581  9.9994E-01          12       0.102  1.0000E+00          13       1.581  9.9994E-01
ABELL_1758                  2213          17       0.613  1.0000E+00          18       4.611  9.9935E-01          17       1.980  1.0000E+00          18       9.945  9.3369E-01
ABELL_1763                  3591          36       2.874  1.0000E+00          37      18.209  9.9593E-01          36       2.874  1.0000E+00          37      18.209  9.9593E-01
