#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
ABELL_0611                                         3194    flat    0.00    0.40    19        3.67771        0.61457       11.35554        1.47754        1.46145        0.17715        0.15408    9.99277E-01
ABELL_0644                                         2211    flat    0.00    0.35    53        4.05494        0.32544        4.43033        0.45636        1.79541        0.10676        0.14058    1.00000E+00
ABELL_0665                                         3586    flat    0.00    0.70    46        4.32334        0.89443        5.78812        1.04552        1.31134        0.11456        0.12525    1.00000E+00
ABELL_0697                                         4217    flat    0.00    0.60    30        4.27263        0.57246        4.57819        0.83421        1.36962        0.14457        0.33534    9.97478E-01
ABELL_0744                                         6947    flat    0.00    0.12    18        2.77039        0.38714       22.69962        2.03549        1.03877        0.11665        0.09453    9.99904E-01
ABELL_0754                                          577    flat    0.00    0.30    58        8.80390        1.43103        7.82566        1.70982        1.26577        0.19751        0.24483    1.00000E+00
ABELL_0773                                         5006    flat    0.00    0.60    35        7.29586        1.18752        2.48754        0.88513        1.88857        0.24275        0.12456    1.00000E+00
ABELL_0963                                          903    flat    0.00    0.40    24        1.70291        0.32026        7.70821        0.68878        1.28569        0.09937        0.17228    9.99886E-01
ABELL_1060                                         2220    flat    0.00    0.03    25        3.48774        0.31246       12.56473        7.43306        1.33463        0.50347        0.04953    1.00000E+00
ABELL_1063S                                        4966    flat    0.00    0.60    24        2.77585        0.38130        1.96686        0.46490        1.81165        0.17568        0.05566    1.00000E+00
ABELL_1068                                         1652    flat    0.00    0.20    17        0.17029        0.01899        5.29948        0.14949        1.60582        0.05033        0.56328    7.23490E-01
ABELL_1201                                         4216    flat    0.00    0.20    14        2.25067        0.80734       13.64272        1.68221        1.28647        0.22630        0.16480    9.86223E-01
ABELL_1204                                         2205    flat    0.00    0.15    11        0.34975        0.02760        4.68803        0.22130        1.83318        0.09659        0.27179    8.24532E-01
ABELL_1240                                         4961    flat    0.00    0.50    37       49.65595        6.01954        1.06583        2.52896        2.45924        1.60685        0.00021    1.00000E+00
ABELL_1361                                         2200    flat    0.00    0.15    14        0.60926        0.13210        9.01083        0.99570        1.40745        0.16334        0.43459    7.80764E-01
ABELL_1413                                         5003    flat    0.00    0.12    10        1.72802        0.20279        5.47652        0.47542        1.41053        0.24439        0.75539    2.59029E-01
ABELL_1423                                          538    flat    0.00    0.40    23        2.19365        0.38355        7.35909        0.91615        1.52237        0.15075        0.10771    9.99994E-01
ABELL_1446                                         4975    flat    0.00    0.32    34        5.98681        1.79257       12.41316        2.31768        0.96695        0.17096        0.12889    1.00000E+00
ABELL_1569                                         6100    flat    0.00    0.20    29        6.97006        1.30021       17.21851        1.79845        0.75581        0.17143        0.35360    9.95262E-01
ABELL_1650                                         4178    flat    0.00    0.12    15        0.86358        0.23150        7.71679        0.49483        1.02865        0.14057        0.15696    9.93178E-01
ABELL_1651                                         4185    flat    0.00    0.20    27        2.22464        0.27428        6.70935        0.48477        1.13578        0.13181        0.99951    2.93629E-01
ABELL_1736                                         4186    flat    0.00    0.10    15        9.91102        3.26349       16.08377        4.16899        1.14389        0.76666        0.00713    1.00000E+00
ABELL_1758                                         2213    flat    0.00    0.40    20        7.65180        2.19869       11.44615        3.12323        0.91901        0.24369        0.08297    9.99991E-01
ABELL_1763                                         3591    flat    0.00    0.60    39        7.12074        1.51972        4.36303        1.37533        1.62315        0.20895        0.11090    1.00000E+00
ABELL_1835                                          495    flat    0.00    0.30    16        0.27624        0.03553        3.02557        0.19074        1.70343        0.08642        0.71962    4.98773E-01
ABELL_1914                                         3593    flat    0.00    0.40    29        2.90585        0.37130        4.52195        0.76815        1.42207        0.16692        0.22731    9.99872E-01
ABELL_1942                                         3290    flat    0.00    0.22    12        4.11783        2.12557       12.43402        2.91211        0.99597        0.33361        0.21284    9.27295E-01
