#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
RX_J1504.1-0248                     5793           F      0.2150      0.0605      0.0025     90.1683      3.7260
RX_J1525+0958                       1664           F      0.5160      0.0827      0.0036    956.2096     41.6246
RX_J1532.9+3021                     1649           F      0.3450      0.0044      0.0004     19.4664      1.7697
RX_J1532.9+3021                     1665           F      0.3450      0.0044      0.0004     19.4664      1.7697
RX_J1716.9+6708                      548           F      0.8100      0.0046      0.0005    161.0595     17.5065
RX_J1720.1+2638                     4361           F      0.1640      0.0041      0.0005      3.3395      0.4073
RX_J1720.2+3536                     3280           F      0.3913      0.0180      0.0010    107.1933      5.9552
RX_J1720.2+3536                     6107           F      0.3913      0.0180      0.0010    107.1933      5.9552
RX_J1720.2+3536                     7225           F      0.3913      0.0180      0.0010    107.1933      5.9552
RX_J2011.3-5725                     4995          OA      0.2786     -0.4440     -0.5550     -0.0000     -0.0000
RX_J2129.6+0005                      552           F      0.2350      0.0022      0.0004      4.0102      0.7291
S0463                               6956          OA      0.0986     -0.4440     -0.5550     -0.0000     -0.0000
S0463                               7250          OA      0.0986     -0.4440     -0.5550     -0.0000     -0.0000
SERSIC_159-03                       1668          OA      0.0580     -0.4440     -0.5550     -0.0000     -0.0000
TRIANG_AUSTR                        1281          OA      0.0510     -0.4440     -0.5550     -0.0000     -0.0000
V_1121.0+2327                       1660          NF      0.5600      0.0025      0.0003     35.2666      3.5267
ZWCL_1215                           4184           F      0.0750      1.1163      0.0425    168.6192      6.4197
ZWCL_1358+6245                       516          NF      0.3280      0.0025      0.0003      9.8258      0.9826
ZWCL_1953                           1659           F      0.3800      0.0194      0.0012    107.7814      6.6669
ZWCL_1953                           1659           F      0.3800      0.0208      0.0010    115.5594      5.5557
ZWCL_3146                            909           F      0.2900      0.0071      0.0005     20.9582      1.4759
ZWCL_5247                            539           F      0.2290      0.0038      0.0007      6.5318      1.2032
ZWCL_7160                            543           F      0.2578      0.0165      0.0013     37.1493      2.9269
ZWICKY_2701                         3195           F      0.2100      0.0145      0.0006     20.4946      0.8481
ZwCL_1332.8+5043                    5772           F      0.6200      0.0049      0.0004     88.6553      7.2372
ZwCl_0848.5+3341                    4205          NF      0.3706      0.0025      0.0003     13.0908      1.3091
