#Cluster                Obsid             RA            Dec    Maj    Min  Theta       Flux      Flerr    Found	         z	type	notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s      "      "   deg.        mJy        mJy      ---        ---	----	----
ABELL_2261               5007    17:22:27.66    +32:07:57.8   77.0   42.9    0.0       5.30       0.50        F	    0.2240	relic	faint diff
ABELL_2294               3246    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1780	na	na
ABELL_2319               3231     19:21:8.05    +43:55:17.9  125.5   75.3  -33.1      32.60       3.20        F	    0.0562	relic	kemp&sar
ABELL_2384               4202    21:52:12.47    -19:34:29.5   81.2   47.4    0.0       9.10       1.00        F	    0.0945	relic	offset in merger sys
ABELL_2390               4193    21:53:32.35    +17:42:19.8  110.4   22.2   42.4      33.10       2.60        F	    0.2301	relic	offset from bcg
ABELL_2390               4193    21:53:36.81    +17:41:44.8   17.9   18.8  -78.3     235.30       8.30        F	    0.2301	bcg	psxrp
ABELL_2409               3247    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1479	na	na
ABELL_2537               4962    23:08:24.44     -02:12:1.3   84.4   29.8  -32.9      13.90       1.40        F	    0.2950	relic	elong. near bcg, lobe?
ABELL_2550               2225    23:11:36.11    -21:44:40.0   44.8   39.2    0.0       4.30       0.50        F	    0.1543	bcg	faint blob, possibly relic?
ABELL_2554               1696    23:12:20.03    -21:29:49.7   32.9   20.4  -26.5      21.20       1.20        F	    0.1103	bcg	psxrp
ABELL_2554               1696    23:12:25.69    -21:29:23.0   66.1   34.1   79.1      16.60       1.40        F	    0.1103	none	relic or lobe?
ABELL_2556               2226     23:13:3.86    -21:37:34.4   33.2   27.6  -50.2      17.60       1.10        F	    0.0862	relic	no ctprt within range
ABELL_2589               3210    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.0415	na	na
ABELL_2597                922    23:25:19.82    -12:07:28.6   16.9   16.0    0.0    1874.60      56.20        F	    0.0854	bcg	psxrp
ABELL_2626               3192    23:36:24.38    +21:09:13.1   66.2   37.6    0.0       4.70       0.50        F	    0.0573	none	possible relic
ABELL_2626               3192    23:36:30.42    +21:08:45.1   54.5   39.6  -38.9      54.50       2.40        F	    0.0573	bcg	psxrp
ABELL_2631               3248    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.2779     na     na
ABELL_2634               4816    23:38:22.42    +27:02:33.8   75.9   38.9   83.4    5681.30     190.20        F	    0.0314	bcg	huge rd src plus lobes
ABELL_2667               2214    23:51:37.43    -26:06:15.2   55.2   47.1    0.0       3.60       0.50        F	    0.2300	none	possible relic?
ABELL_2667               2214    23:51:39.37     -26:05:2.7   20.5   23.9   58.0      19.40       1.00        F	    0.2300	bcg	psxrp
ABELL_2670               4959     23:54:3.77    -10:25:40.3   98.8   92.6    0.0       2.90       0.60        F	    0.0763	relic	large diffuse src
ABELL_2717               6974    00:03:12.88    -35:56:12.9   55.9   30.9   60.1     515.50      17.30        F   0.0475     na     na
ABELL_2744               2212    00:14:17.46    -30:22:52.5  220.0   51.5    0.0      10.10       1.70        F	    0.3080	relic	large diffuse amorphous
ABELL_3112               2516    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.0720	na	na
ABELL_3128                893    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0624     na     na
ABELL_3158               3201    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.0580	na	na
ABELL_3164               6955    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0570     na     na
ABELL_3266                899    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.0590	na	na
ABELL_3376               3202    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0456     na     na
ABELL_3376               3450    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0456     na     na
ABELL_3558               1646    13:27:57.07    -31:29:45.3   68.1   42.6    0.0       4.00       0.60        F	    0.0480	relic	peculiar one, maybe nothing but pt srcs
ABELL_3562               4167    13:33:32.04    -31:41:16.8   46.3   20.4  -23.1       2.50       0.25        F	    0.0490	relic	defin relic, pt src contam, no idea on flux
ABELL_3571               4203    13:47:24.99    -32:52:14.2   36.1   21.6   71.5      30.20       1.40        F	    0.0391	bcg	offset from huge core
ABELL_3667               5751    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.0556	na	na
ABELL_3921               4973    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0927     na     na
ABELL_4038               4992    23:47:40.46     -28:09:0.8   90.9   29.0    4.9      52.90       2.60        F	    0.0300	bcg	psxrp
AC_114                   1562    22:58:49.76     -34:48:6.7   50.0   24.5   65.6      15.50       1.20        F	    0.3120	bcg	psxrp
CL_0024+17                929    00:26:35.46    +17:09:31.7   69.7   52.4    0.0       2.60       0.40        F	    0.3940	bcg	psxrp
