#Name                      Obsid   Mdot   M500  tcool    ref
MACS_J0949+1708             3274     -1   8.43  -1.00      m
MACS_J1115.8+0129           3275     -1  -1.00  -1.00      z
MACS_J1311.0-0311           6110     -1   2.86  -1.00      m
MACS_J1319+7003             3278     -1  -1.00  -1.00      z
MACS_J1427.6-2521           3279     -1  -1.00  -1.00      z
MACS_J1621.3+3810      6109+3594     -1   3.71  -1.00      m
MACS_J1931.8-2634           3282     -1   5.36  -1.00      m
MACS_J2228+2036             3285     -1   9.45  -1.00      m
MACS_J2229.7-2755           3286     -1   3.46  -1.00      m
MACS_J2311+0338             3288     -1  -1.00  -1.00      z
MKW_04                      3234     16   0.69   1.30      c
MS_0016.9+1609               520     -1  13.56  -1.00      m
MS_0302.7+1658               525     -1   1.00  -1.00      m
MS_0440.5+0204              4196     -1  -1.00  -1.00      z
MS_0451.6-0305               902     -1   8.01  -1.00      m
MS_0735.6+7421              4197     -1  -1.00  -1.00      z
MS_0839.8+2938              2224     -1  -1.00  -1.00      z
MS_0906.5+1110               924     -1   2.52  -1.00      m
MS_1006.0+1202               925     -1   3.34  -1.00      m
MS_1008.1-1224               926     -1   2.60  -1.00      m
MS_1054.5-0321               512     -1  -1.00  -1.00      z
MS_1455.0+2232              4192     -1   2.62  -1.00      m
MS_1621.5+2640               546     -1   3.71  -1.00      m
MS_2053.7-0449              1667     -1   1.12  -1.00      m
MS_2137.3-2353              4974     -1  -1.00  -1.00      z
OPHIUCHUS                   3200      0  38.76  17.20      c
PKS_0745-191            6103+508   1424   7.11   1.60      c
RBS_0797                    2202     -1   5.00  -1.00      m
RDCS_1252-29                4198     -1   0.83  -1.00      m
RX_J0439+0520                527     -1   1.32   0.50      m
RX_J0439.0+0715             1449     -1   4.02   6.10      m
RX_J0647.7+7015             3584     -1  -1.00  -1.00      z
RX_J0819.6+6336             2199     -1  -1.00  -1.00      z
RX_J0820.9+0752             1647     -1  -1.00  -1.00      z
RX_J0910+5422               2227     -1   0.58  -1.00      m
RX_J1053+5735               4936     -1  -1.00  -1.00      z
RX_J1347.5-1145         507+3592     -1  22.76  -1.00      m
RX_J1350+6007               2229     -1   1.22  -1.00      m
RX_J1423.8+2404        4195+1657     -1  -1.00  -1.00      z
RX_J1504.1-0248             5793     -1   9.02  -1.00      m
RX_J1525+0958               1664     -1  -1.00  -1.00      z
RX_J1532.9+3021        1665+1649     -1   4.63  -1.00      m
RX_J1716.9+6708              548     -1   2.21  -1.00      m
RX_J1720.1+2638             4361     -1   5.35   1.90      m
RX_J1720.2+3536             3280     -1  -1.00  -1.00      z
RX_J2129.6+0005              552     -1   5.63   0.70      m
SERSIC_159-03               1668     -1  -1.00  -1.00      z
V_1121.0+2327               1660     -1   1.17  -1.00      m
ZWCL_1215                   4184      0   9.46  30.00      c
ZWCL_1358+6245               516     -1  -1.00  -1.00      z
ZWCL_1953                   1659     -1   4.53  28.80      m
ZWCL_3146                    909     -1   8.41   0.60      m
ZWCL_5247                    539     -1  -1.00 169.00      b
ZWCL_7160                    543     -1  -1.00   0.70      b
ZWICKY_2701                 3195     -1  -1.00   1.20      b
