#Name                              Obsid          ne      nerrlo      nerrhi     tcool      tclo      tchi
#Name                              Obsid      cm**-3          --          --       Gyr        --        --
MACS_J1206.2-0847                   3277    3.36E-03    1.74E-04    1.75E-04    33.053     2.326     2.586
MACS_J1226.8+2153                   3590    1.33E-03    1.08E-04    1.24E-04    53.409     6.665     8.399
MACS_J1311.0-0310                   3258    2.72E-03    1.58E-04    1.53E-04    30.608     2.097     2.142
MACS_J1319+7003                     3278    1.75E-03    1.06E-04    1.03E-04    56.036     6.044     7.998
MACS_J1427.2+4407                   6112    2.40E-03    1.54E-04    1.41E-04    45.279     6.523     9.326
MACS_J1427.6-2521                   3279    1.15E-03    7.56E-05    7.56E-05    65.282     6.624     7.919
MACS_J1621.3+3810                   6109    1.53E-03    8.08E-05    8.26E-05    60.458     3.950     4.296
MACS_J1731.6+2252                   3281    1.88E-03    1.03E-04    1.05E-04    50.406     4.344     5.282
MACS_J1931.8-2634                   3282    2.38E-03    1.25E-04    1.27E-04    38.526     2.636     2.856
MACS_J2046.0-3430                   5816    2.77E-03    1.83E-04    2.04E-04    27.032     2.986     3.975
MACS_J2049.9-3217                   3283    1.72E-03    9.34E-05    9.34E-05    52.847     3.921     4.337
MACS_J2211.7-0349                   3284    1.81E-03    9.39E-05    9.42E-05    64.680     4.745     5.372
MACS_J2214.9-1359                   3259    2.71E-03    1.46E-04    1.46E-04    40.123     3.109     3.561
MACS_J2228+2036                     3285    2.33E-03    1.26E-04    1.26E-04    41.850     3.201     3.659
MACS_J2229.7-2755                   3286    1.90E-03    1.09E-04    1.09E-04    40.973     2.931     3.112
MACS_J2243.3-0935                   3260    5.74E-04    3.34E-05    3.11E-05   122.441     9.807    10.119
MACS_J2245.0+2637                   3287    2.35E-03    1.32E-04    1.32E-04    36.419     2.615     2.790
MACS_J2311+0338                     3288    3.54E-03    1.97E-04    1.97E-04    27.971     2.530     2.939
MKW3S                                900    1.35E-03    6.81E-05    6.86E-05    50.773     2.583     2.602
MS_0016.9+1609                       520    2.09E-03    1.07E-04    1.07E-04    49.642     3.070     3.216
MS_0451.6-0305                       902    2.34E-03    1.20E-04    1.20E-04    44.281     2.899     3.109
MS_0735.6+7421                      4197    1.75E-03    8.88E-05    8.88E-05    46.885     2.560     2.592
MS_0839.8+2938                      2224    1.52E-03    8.03E-05    8.13E-05    49.541     3.039     3.151
MS_0906.5+1110                       924    1.03E-03    5.33E-05    5.36E-05    77.869     4.529     4.686
MS_1006.0+1202                       925    1.16E-03    6.13E-05    6.20E-05    70.791     4.616     4.960
MS_1008.1-1224                       926    1.50E-03    7.83E-05    8.03E-05    54.963     3.547     3.783
MS_1054.5-0321                       512    1.55E-03    8.27E-05    8.27E-05    68.561     6.111     7.272
MS_1455.0+2232                      4192    2.42E-03    1.23E-04    1.23E-04    31.312     1.643     1.643
MS_1621.5+2640                       546    1.23E-03    7.26E-05    6.98E-05    69.613     5.959     6.695
MS_2053.7-0449                      1667    8.17E-04    8.00E-05    5.98E-05    81.392    10.399    10.801
MS_2137.3-2353                      4974    1.85E-03    9.75E-05    9.94E-05    45.966     2.991     3.167
PKS_0745-191                        6103    1.92E-03    9.69E-05    9.69E-05    51.664     2.827     2.864
RBS_0797                            2202    2.60E-03    1.39E-04    1.38E-04    36.977     2.704     2.956
RDCS_1252-29                        4198    3.03E-03    3.59E-04    4.13E-04    23.675     4.242     6.011
RX_J0232.2-4420                     4993    2.06E-03    1.07E-04    1.07E-04    47.267     3.202     3.391
RX_J0340-4542                       6954    5.68E-04    4.20E-05    4.20E-05   108.819    10.054    10.372
RX_J0439+0520                        527    1.49E-03    8.61E-05    1.12E-04    50.106     4.329     5.148
RX_J0439.0+0715                     3583    1.61E-03    8.33E-05    8.37E-05    51.260     3.029     3.130
RX_J0528.9-3927                     4994    1.47E-03    7.70E-05    7.81E-05    66.520     4.740     5.376
RX_J0647.7+7015                     3196    2.89E-03    1.58E-04    1.58E-04    40.338     3.403     3.975
RX_J0910+5422                       2452    2.85E-03    3.93E-04    5.60E-04    25.934     6.039    10.034
RX_J1347.5-1145                      507    2.95E-03    1.50E-04    1.54E-04    44.957     2.587     2.781
RX_J1350+6007                       2229    2.21E-03    2.75E-04    2.58E-04    33.274     6.912     9.448
RX_J1423.8+2404                     4195    2.25E-03    1.14E-04    1.16E-04    39.714     2.258     2.335
RX_J1504.1-0248                     5793    2.36E-03    1.19E-04    1.19E-04    41.648     2.186     2.209
RX_J1525+0958                       1664    1.79E-03    1.25E-04    1.29E-04    37.555     3.470     4.168
RX_J1532.9+3021                     1665    2.77E-03    1.47E-04    1.47E-04    30.807     1.901     1.955
RX_J1716.9+6708                      548    1.13E-03    7.98E-05    8.32E-05    73.501     8.573    10.900
RX_J1720.1+2638                     4361    2.04E-03    1.04E-04    1.04E-04    42.984     2.352     2.378
RX_J1720.2+3536                     7225    2.65E-03    1.77E-04    1.77E-04    35.154     2.602     2.680
RX_J2011.3-5725                     4995    1.72E-03    1.10E-04    1.06E-04    40.089     3.174     3.367
RX_J2129.6+0005                      552    1.30E-03    6.98E-05    6.98E-05    65.202     4.366     4.606
S0463                               6956    4.62E-03    2.32E-03         Inf    13.244     6.676       Inf
V_1121.0+2327                       1660    1.17E-03    8.29E-05    8.38E-05    56.224     5.358     6.292
ZWCL_1215                           4184    1.74E-03    8.85E-05    8.85E-05    51.471     2.974     3.031
ZWCL_1358+6245                       516    1.48E-03    7.78E-05    7.89E-05    76.771     5.737     6.722
ZWCL_1953                           1659    1.19E-03    6.31E-05    6.31E-05    79.252     5.935     6.822
ZWCL_3146                            909    1.67E-03    8.45E-05    8.44E-05    56.802     3.087     3.111
ZWCL_5247                            539    1.03E-03    6.05E-05    6.25E-05    75.991     6.565     7.877
ZWCL_7160                            543    1.39E-03    7.73E-05    7.79E-05    53.282     3.613     3.807
ZWICKY_2701                         3195    1.63E-03    8.59E-05    8.59E-05    48.739     2.931     3.025
ZwCL_1332.8+5043                    5772    1.10E-03    5.54E-04    4.34E-04    60.004    31.750    37.148
ZwCl_0848.5+3341                    4205    1.27E-03    9.57E-05    9.57E-05    71.527     8.807    12.624
