#---                                  keV        keV        keV                            ---
#Name                                  Tx         lo         hi                      reference
MACS_J0429.6-0253                    6.10       0.58       0.58            2008MNRAS.383..879A
MACS_J0520.7-1328                  -99.00     -99.00     -99.00                             NA
MACS_J0547.0-3904                  -99.00     -99.00     -99.00                             NA
MACS_J0717.5+3745                   11.60       0.50       0.50            2007ApJ...661L..33E 
MACS_J0744.8+3927                    8.10       0.60       0.60            2007ApJ...661L..33E 
MACS_J1115.2+5320                  -99.00     -99.00     -99.00                             NA
MACS_J1115.8+0129                  -99.00     -99.00     -99.00                             NA
MACS_J1131.8-1955                  -99.00     -99.00     -99.00                             NA
MACS_J1149.5+2223                    9.10       0.70       0.70            2007ApJ...661L..33E 
MACS_J1206.2-0847                  -99.00     -99.00     -99.00                             NA
MACS_J1311.0-0310                    8.00       0.90       0.90            2007A&A...462..429B
MACS_J1621.3+3810                    8.80       0.70       0.70            2007ApJ...661L..33E 
MACS_J1931.8-2634                  -99.00     -99.00     -99.00                             NA
MACS_J2049.9-3217                  -99.00     -99.00     -99.00                             NA
MACS_J2211.7-0349                  -99.00     -99.00     -99.00                             NA
MACS_J2214.9-1359                    9.80       0.70       0.80            2006ApJ...647...25B
MACS_J2228+2036                    -99.00     -99.00     -99.00                             NA
MACS_J2229.7-2755                  -99.00     -99.00     -99.00                             NA
MACS_J2245.0+2637                  -99.00     -99.00     -99.00                             NA
MKW3S                                3.45       0.06       0.08            2002A&A...383..773I
MKW_04                               1.84       0.02       0.03            2002A&A...383..773I
MKW_08                               3.03       0.12       0.12            2001PhDT........88H
MS_0016.9+1609                     -99.00     -99.00     -99.00                             NA
MS_0116.3-0115                     -99.00     -99.00     -99.00                             NA
MS_0440.5+0204                       5.02       0.48       0.48            2001PhDT........88H
MS_0451.6-0305                       8.62       1.20       1.20            2001PhDT........88H
MS_0735.6+7421                       5.45       0.45       0.45            2001PhDT........88H
MS_0839.8+2938                       3.80       0.23       0.23            2001PhDT........88H
MS_0906.5+1110                     -99.00     -99.00     -99.00                             NA
MS_1006.0+1202                       7.03       0.81       0.81            2001PhDT........88H
MS_1008.1-1224                       6.10       0.30       0.40            2007A&A...472..727B
