#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
ABELL_0222                 01:37:34.562       -12:59:34.88   0.2130     4.60   122.19   126.02   1.05e+45   5.62e+40     NF   2.66e+40     NF     ?     ?     ?       ?
ABELL_0223                 01:37:55.963       -12:49:10.53   0.2070     5.28   116.47   112.22   1.12e+45  -1.00e+00     UK   1.98e+41      F     ?     ?     ?       ?
ABELL_0262                 01:52:46.299       +36:09:11.80   0.0164     2.18     9.42    10.57   1.05e+44  -1.00e+00     UK   4.35e+39      F     Y     Y     Y       Y
ABELL_0262                 01:52:46.318       +36:09:11.90   0.0164     2.18     9.42    10.57   1.05e+44  -1.00e+00     UK   4.35e+39      F     Y     Y     Y       Y
ABELL_0267                 01:52:42.269       +01:00:45.33   0.2300     6.70   168.26   168.56   8.62e+44   6.65e+40     NF   4.34e+40     NF     Y     Y     N       Y
ABELL_0267                 01:52:42.433       +01:00:45.63   0.2300     6.70   168.26   168.56   8.62e+44   6.65e+40     NF   4.34e+40     NF     Y     Y     N       Y
ABELL_0370                 02:39:53.169       -01:34:36.96   0.3747     7.35   251.05   356.05   1.20e+45  -1.00e+00     UK   1.34e+41     NF     Y     Y     Y       Y
ABELL_0383                 02:48:03.364       -03:31:44.69   0.1871     4.91    10.91    13.02   5.32e+44  -1.00e+00     UK   4.46e+41      F     Y     Y     Y       Y
ABELL_0399                 02:57:53.382       +13:01:30.86   0.0716     7.95   140.31   153.20   4.37e+44   3.06e+38     NF   3.43e+39     NF     N     N     N    NONE
ABELL_0400                 02:57:41.603       +06:01:27.61   0.0240     2.31   154.63   143.97   8.51e+43   6.00e+38     NF   2.84e+38     NF     ?     ?     ?       ?
ABELL_0401                 02:58:56.920       +13:34:14.51   0.0745     8.07   162.53   166.86   3.80e+45   2.04e+38     NF   3.72e+39     NF     N     N     N    NONE
ABELL_0401                 02:58:56.896       +13:34:14.48   0.0745     6.37   162.53   166.86   8.39e+44   2.04e+38     NF   3.72e+39     NF     N     N     N    NONE
ABELL_0426                 03:19:48.194       +41:30:40.73   0.0179     3.55    22.83    22.84   5.00e+45   1.46e+39      F   1.43e+42      F     ?     ?     ?       ?
ABELL_0426                 03:19:48.195       +41:30:41.20   0.0179     3.55    22.83    22.84   5.00e+45   1.46e+39      F   1.43e+42      F     ?     ?     ?       ?
ABELL_0478                 04:13:25.345       +10:27:55.15   0.0883     7.07     6.44     7.26   6.61e+45   6.87e+40      F   7.87e+40      F     Y     Y     Y       Y
ABELL_0478                 04:13:25.347       +10:27:55.62   0.0883     7.30     6.44     7.26   1.64e+45   6.87e+40      F   7.87e+40      F     Y     Y     Y       Y
ABELL_0496                 04:33:38.038       -13:15:39.65   0.0328     3.89     4.34     8.91   8.51e+44   7.18e+39      F   3.27e+40      F     Y     N     N       Y
ABELL_0520                 04:54:10.303       +02:55:36.48   0.2020     9.29   324.12   320.63   1.30e+45   5.01e+40     NF   3.24e+40     NF     Y     N     N       Y
ABELL_0539                 05:16:37.335       +06:26:25.18   0.0288     3.24    26.66    30.77   1.82e+44  -1.00e+00     UK   4.13e+38     NF     ?     ?     ?       ?
ABELL_0539                 05:16:37.341       +06:26:25.20   0.0288     3.24    26.66    30.77   1.82e+44  -1.00e+00     UK   4.13e+38     NF     ?     ?     ?       ?
ABELL_0562                 06:53:21.524       +69:19:51.19   0.1100     3.04   233.95   177.21   2.14e+44  -1.00e+00     UK   6.77e+39     NF     ?     ?     ?       ?
ABELL_0576                 07:21:30.394       +55:45:41.95   0.0385     4.09    57.15    67.13   3.72e+44   1.57e+39     NF   9.43e+38     NF     N     N     N    NONE
ABELL_0586                 07:32:20.339       +31:37:58.59   0.1710     6.47   117.04   111.00   8.54e+44   3.50e+40     NF   4.91e+40      F     N     Y     N       Y
ABELL_0611                 08:00:56.832       +36:03:24.09   0.2880     7.06    73.53    70.92   1.08e+45   1.09e+41     NF   7.26e+40     NF     N     Y     N       Y
ABELL_0644                 08:17:25.225       -07:30:40.03   0.0698     7.81   147.84   139.08   6.95e+44  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
ABELL_0665                 08:30:59.226       +65:50:20.06   0.1810     7.45   125.64   125.23   1.34e+45   3.96e+40     NF   2.53e+40     NF     N     Y     Y       Y
ABELL_0697                 08:42:57.549       +36:21:57.65   0.2820     9.52   161.03   166.67   2.61e+45   1.04e+41     NF   6.92e+40     NF     Y     Y     N       Y
ABELL_0744                 09:07:20.455       +16:39:06.18   0.0729     2.50    14.04    17.36   8.91e+43  -1.00e+00     UK   2.82e+39     NF     ?     ?     ?       ?
ABELL_0754                 09:09:18.188       -09:41:09.56   0.0543     9.94   275.04   201.90   3.31e+45   2.19e+39     NF   1.92e+39     NF     N     N     N    NONE
ABELL_0773                 09:17:52.566       +51:43:38.18   0.2170     7.83   247.10   217.92   1.29e+45   5.86e+40     NF   3.80e+40     NF     Y     Y     N       Y
ABELL_0907                 09:58:21.880       -11:03:52.20   0.1527     5.59    20.39    23.36   6.19e+44  -1.00e+00     UK   4.77e+41      F     N     Y     N       Y
ABELL_0963                 10:17:03.744       +39:02:49.17   0.2056     6.73    15.76    42.87   1.07e+45   5.21e+40     NF   3.37e+40     NF     Y     Y     N       Y
ABELL_1060                 10:36:42.828       -27:31:42.06   0.0125     3.20    44.75    64.46   1.07e+44  -1.00e+00     UK   9.60e+37     NF     N     N     N    NONE
ABELL_1063S                22:48:44.294       -44:31:48.37   0.3540    11.96   170.61   132.21   7.11e+45  -1.00e+00     UK   5.70e+41     NF     Y     Y     Y       Y
ABELL_1068                 10:40:44.520       +39:57:10.28   0.1375     4.67     8.42     8.52   4.19e+44  -1.00e+00     UK  -1.00e+00     UK     Y     Y     Y       Y
ABELL_1201                 11:12:54.489       +13:26:08.76   0.1688     5.74    32.93    51.83   3.52e+44  -1.00e+00     UK  -1.00e+00     UK     N     Y     N       Y
ABELL_1204                 11:13:20.419       +17:35:38.45   0.1706     3.63    14.07    15.31   3.92e+44   6.38e+40      F   2.22e+40     NF     Y     Y     N       Y
ABELL_1240                 11:23:38.357       +43:05:48.33   0.1590     4.77   473.62   506.79  -1.00e+00  -1.00e+00     UK   1.51e+40     NF     ?     ?     ?       ?
ABELL_1413                 11:55:17.893       +23:24:21.84   0.1426     8.90    29.84    64.03   4.37e+45   2.38e+40     NF   2.10e+40      F     N     Y     N       Y
ABELL_1423                 11:57:17.263       +33:36:37.44   0.2130     6.01    58.76    68.32   7.01e+44   5.62e+40     NF   4.86e+41      F     ?     ?     ?       ?
ABELL_1446                 12:02:03.744       +58:02:17.93   0.1035     4.00   132.18   103.24  -1.00e+00  -1.00e+00     UK   5.94e+39     NF     ?     ?     ?       ?
ABELL_1569                 12:36:26.015       +16:32:17.81   0.0735     2.51   166.96   129.84  -1.00e+00  -1.00e+00     UK   2.87e+39     NF     ?     ?     ?       ?
ABELL_1644                 12:57:12.146       -17:24:30.90   0.0471     4.60     8.85    16.43  -1.00e+00   5.22e+39      F   5.63e+40      F     N     N     N    NONE
ABELL_1650                 12:58:41.499       -01:45:44.32   0.0843     5.89    10.14    33.14   2.04e+45   5.04e+38     NF   4.84e+39     NF     N     N     N    NONE
ABELL_1651                 12:59:22.830       -04:11:45.86   0.0840     6.26    87.68    89.46   6.66e+44   7.81e+39     NF   1.15e+40      F     N     N     N    NONE
ABELL_1664                 13:03:42.622       -24:14:41.59   0.1276     4.26     9.98    14.40   2.59e+44  -1.00e+00     UK  -1.00e+00     UK     ?     ?     ?       ?
ABELL_1664                 13:03:42.626       -24:14:41.69   0.1276     3.50     9.98    14.40  -1.00e+00  -1.00e+00     UK   1.71e+41      F     ?     ?     ?       ?
ABELL_1689                 13:11:29.612       -01:20:28.69   0.1843     9.48    78.21    70.97   2.47e+45   2.80e+39     NF   2.64e+40     NF     Y     Y     Y       Y
ABELL_1689                 13:11:29.606       -01:20:28.61   0.1843     9.48    78.21    70.97   2.47e+45   2.80e+39     NF   2.64e+40     NF     Y     Y     Y       Y
ABELL_1689                 13:11:29.595       -01:20:28.47   0.1843     9.48    78.21    70.97   2.47e+45   2.80e+39     NF   2.64e+40     NF     Y     Y     Y       Y
ABELL_1736                 13:26:49.453       -27:09:48.13   0.0338     3.45   219.45   202.34   3.47e+44   6.80e+37     NF   7.22e+38     NF     N     N     N    NONE
ABELL_1758                 13:32:48.398       +50:32:32.53   0.2792    12.14   116.78   230.84   2.10e+45   1.02e+41     NF   6.76e+40     NF     Y     Y     N       Y
ABELL_1763                 13:35:17.957       +40:59:55.80   0.1866     7.78   231.55   217.43   9.26e+44   4.22e+40     NF   2.71e+40     NF     Y     Y     N       Y
ABELL_1795                 13:48:52.802       +26:35:23.55   0.0625     7.80    18.38    18.99   3.16e+45   8.77e+40      F   9.52e+41      F     N     Y     Y       Y
ABELL_1795                 13:48:52.829       +26:35:24.01   0.0625     6.05    18.38    18.99   7.59e+44  -1.00e+00     UK  -1.00e+00     UK     N     Y     Y       Y
ABELL_1835                 14:01:01.951       +02:52:43.18   0.2532     9.77    10.92    11.44   3.94e+45   5.04e+42      F   8.49e+41      F     Y     Y     Y       Y
ABELL_1914                 14:26:03.060       +37:49:27.84   0.1712     9.62    63.31   107.16   2.63e+45   3.51e+40     NF   2.24e+40     NF     Y     Y     N       Y
ABELL_1942                 14:38:21.878       +03:40:12.97   0.2240     4.77   111.20   102.48   2.27e+44  -1.00e+00     UK   1.22e+43      F     ?     ?     ?       ?
ABELL_1991                 14:54:31.620       +18:38:41.48   0.0565     5.40     1.36     3.20   1.35e+44   5.96e+39      F   3.25e+40      F     Y     Y     N       Y
ABELL_2029                 15:10:56.139       +05:44:40.47   0.0765     7.38     6.15    10.50   5.89e+45   6.43e+39     NF   8.22e+41      F     N     Y     N       Y
ABELL_2029                 15:10:56.163       +05:44:40.89   0.0765     8.20     6.15    10.50   1.39e+45  -1.00e+00     UK  -1.00e+00     UK     N     Y     N       Y
ABELL_2029                 15:10:56.164       +05:44:40.55   0.0765     7.38     6.15    10.50   5.89e+45   6.43e+39     NF   8.22e+41      F     N     Y     N       Y
ABELL_2034                 15:10:12.498       +33:30:39.57   0.1130     7.15   215.80   232.64   6.45e+44   1.45e+40     NF   9.04e+39     NF     N     N     N    NONE
ABELL_2052                 15:16:44.514       +07:01:17.02   0.0353     2.98    11.66    12.32   5.13e+44   3.45e+39      F   1.74e+42      F     Y     Y     Y       Y
ABELL_2052                 15:16:44.543       +07:01:17.33   0.0353     2.98    11.66    12.32   5.13e+44   3.45e+39      F   1.74e+42      F     Y     Y     Y       Y
ABELL_2063                 15:23:04.851       +08:36:20.16   0.0351     3.61    57.18    60.48   4.27e+44   1.30e+39     NF   4.55e+39      F     N     N     N    NONE
ABELL_2063                 15:23:04.871       +08:36:20.50   0.0351     3.61    57.18    60.48   4.27e+44   1.30e+39     NF   4.55e+39      F     N     N     N    NONE
ABELL_2065                 15:22:29.517       +27:42:22.93   0.0730     5.75    30.81    41.08   2.92e+44  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
ABELL_2069                 15:24:11.376       +29:52:19.02   0.1160     6.50   401.52   434.41   3.82e+44   1.54e+40     NF   9.57e+39     NF     N     N     N    NONE
ABELL_2104                 15:40:08.131       -03:18:15.02   0.1554     9.31    98.01   160.61   3.24e+45   2.85e+40     NF   1.81e+40     NF     N     N     N    NONE
ABELL_2107                 15:39:39.113       +21:46:57.66   0.0411     3.82    17.97    21.24   3.02e+44   1.79e+39     NF   7.87e+38     NF     N     N     N    NONE
ABELL_2111                 15:39:40.637       +34:25:28.01   0.2300     7.13   126.31   125.91   7.45e+44   6.65e+40     NF   4.34e+40     NF     ?     ?     ?       ?
ABELL_2125                 15:41:14.154       +66:15:57.20   0.2465     2.88   248.82   185.20   7.70e+43  -1.00e+00     UK   8.35e+41      F     ?     ?     ?       ?
ABELL_2142                 15:58:20.880       +27:13:44.21   0.0898     8.24    58.53    68.06   7.59e+45   8.98e+39     NF   5.53e+39     NF     N     N     N    NONE
ABELL_2142                 15:58:20.880       +27:13:44.11   0.0898     8.24    58.53    68.06   7.59e+45   8.98e+39     NF   5.53e+39     NF     N     N     N    NONE
ABELL_2142                 15:58:20.957       +27:13:45.38   0.0898     8.24    58.53    68.06   7.59e+45   8.98e+39     NF   5.53e+39     NF     N     N     N    NONE
ABELL_2151                 16:04:35.887       +17:43:17.36   0.0366     2.90     8.93    10.09   1.41e+44   1.41e+39     NF   5.95e+38      F     Y     Y     N       Y
ABELL_2163                 16:15:45.705       -06:09:00.62   0.1695    19.20   355.75   357.72   4.91e+45  -1.00e+00     UK   2.19e+40     NF     N     N     N    NONE
ABELL_2199                 16:28:38.249       +39:33:04.28   0.0300     4.14     1.78     7.97   8.91e+44   1.01e+40      F   8.32e+41      F     Y     Y     Y       Y
ABELL_2204                 16:32:46.920       +05:34:32.86   0.1524     9.35    10.76    13.72   2.08e+45  -1.00e+00     UK  -1.00e+00     UK     Y     Y     Y       Y
ABELL_2204                 16:32:46.812       +05:34:32.70   0.1524     8.65    10.76    13.72   2.20e+45   4.65e+41      F   4.80e+41      F     Y     Y     Y       Y
ABELL_2218                 16:35:50.831       +66:12:42.31   0.1713     7.35   326.69   305.39   8.39e+44   3.52e+40     NF   2.24e+40     NF     Y     Y     Y       Y
ABELL_2219                 16:40:20.112       +46:42:42.84   0.2256    12.60   277.97   246.12   3.32e+45  -1.00e+00     UK  -1.00e+00     UK     Y     Y     Y       Y
ABELL_2244                 17:02:42.579       +34:03:37.34   0.0967     5.57    48.34    47.09   2.24e+45   1.05e+40     NF   8.03e+39      F     N     N     N    NONE
ABELL_2259                 17:20:08.299       +27:40:11.53   0.1640     5.18   127.39   127.16   5.37e+44   3.20e+40     NF   2.04e+40     NF     ?     ?     ?       ?
ABELL_2261                 17:22:27.254       +32:07:58.60   0.2240     7.63    60.54    61.08   1.75e+45   6.28e+40     NF   8.67e+40      F     Y     Y     Y       Y
ABELL_2294                 17:24:10.149       +85:53:09.77   0.1780     9.98   128.53   156.31   1.04e+45  -1.00e+00     UK   2.44e+40     NF     ?     ?     ?       ?
ABELL_2319                 19:21:09.638       +43:57:21.53   0.0562     9.49   266.32   272.00   5.01e+45   6.45e+40     NF   2.06e+39     NF     N     N     N    NONE
ABELL_2384                 21:52:21.178       -19:32:51.90   0.0945     4.75    18.12    37.06   1.95e+44  -1.00e+00     UK   6.16e+39     NF     N     N     N    NONE
ABELL_2390                 21:53:36.825       +17:41:44.38   0.2301    10.85    14.73    14.73   3.10e+45  -1.00e+00     UK  -1.00e+00     UK     Y     Y     Y       Y
ABELL_2409                 22:00:52.567       +20:58:06.55   0.1479     5.94    69.55    73.81   7.01e+44   2.57e+40     NF   1.62e+40     NF     N     Y     N       Y
ABELL_2537                 23:08:22.313       -02:11:29.88   0.2950     8.40   106.74   110.41   1.02e+45  -1.00e+00     UK   7.68e+40     NF     N     Y     N       Y
ABELL_2556                 23:13:01.413       -21:38:04.47   0.0862     3.57    10.60    12.38   1.43e+44  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
ABELL_2597                 23:25:19.779       -12:07:27.63   0.0854     3.58     9.57    10.60   1.62e+45   5.38e+41      F   3.73e+42      F     Y     Y     Y       Y
ABELL_2626                 23:36:30.452       +21:08:47.36   0.0573     2.90    22.26    22.14   1.05e+44   5.96e+39      F   4.68e+40      F     Y     Y     N       Y
ABELL_2631                 23:37:38.560       +00:16:05.02   0.2779     7.06   335.36   259.31   1.26e+45   1.01e+41     NF   6.69e+40     NF     N     Y     N       Y
ABELL_2657                 23:44:57.253       +09:11:30.74   0.0402     3.77    66.61    60.38   4.27e+44   1.71e+39     NF   7.52e+38     NF     ?     ?     ?       ?
ABELL_2667                 23:51:39.395       -26:05:02.75   0.2300     6.75    12.25    19.31   1.99e+45  -1.00e+00     UK   3.37e+41      F     Y     Y     Y       Y
ABELL_2670                 23:54:13.687       -10:25:08.85   0.0763     3.95   140.91   133.90   1.39e+44  -1.00e+00     UK   9.71e+39      F     N     N     N    NONE
ABELL_2717                 00:03:12.968       -35:56:00.13   0.0475     2.63    31.65    32.62   2.60e+43  -1.00e+00     UK   1.02e+39     NF     N     N     N    NONE
ABELL_2813                 00:43:24.881       -20:37:25.08   0.2924     8.39   216.29   267.63  -1.00e+00  -1.00e+00     UK   5.97e+40     NF     ?     ?     ?       ?
ABELL_3112                 03:17:57.681       -44:14:17.16   0.0720     4.28     5.46     7.89   1.82e+45   3.36e+40      F   1.10e+42      F     Y     Y     N       Y
ABELL_3120                 03:21:56.464       -51:19:35.40   0.0690     4.39    14.98    17.29  -1.00e+00  -1.00e+00     UK  -0.00e+00     OA     ?     ?     ?       ?
ABELL_3158                 03:42:54.675       -53:37:24.36   0.0580     5.08   206.34   191.44   3.01e+44  -1.00e+00     UK  -1.00e+00     UK     N     Y     N       Y
ABELL_3158                 03:42:54.683       -53:37:24.37   0.0580     5.08   206.34   191.44   3.01e+44  -1.00e+00     UK  -1.00e+00     UK     N     Y     N       Y
ABELL_3266                 04:31:13.304       -61:27:12.59   0.0590     8.35    63.74    72.45   2.75e+45   2.25e+38     NF   1.82e+39     NF     N     Y     N       Y
ABELL_3376                 06:02:11.756       -39:56:59.07   0.0456     4.48   287.34   270.60   7.50e+43  -1.00e+00     UK   1.34e+39     NF     N     N     N    NONE
ABELL_3376                 06:02:11.754       -39:56:59.12   0.0456     4.48   287.34   270.60   7.50e+43  -1.00e+00     UK   1.34e+39     NF     N     N     N    NONE
ABELL_3391                 06:26:21.511       -53:41:44.81   0.0560     5.72   316.44   290.22   1.44e+44  -1.00e+00     UK  -1.00e+00     UK     N     Y     N       Y
ABELL_3395                 06:26:48.463       -54:32:59.21   0.0510     5.13   208.10   242.21   5.75e+44  -1.00e+00     UK  -0.00e+00     OA     N     N     N    NONE
ABELL_3558                 13:27:56.854       -31:29:43.78   0.0480     5.51    80.42    73.27   1.62e+45  -1.00e+00     UK   2.38e+39      F     N     N     N    NONE
ABELL_3562                 13:33:37.800       -31:40:12.04   0.0490     3.80    71.39    77.42   4.90e+44  -1.00e+00     UK   1.55e+39     NF     N     N     N    NONE
ABELL_3571                 13:47:28.434       -32:51:52.45   0.0391     7.60    61.07    70.98   2.14e+45  -1.00e+00     UK   9.74e+38     NF     N     N     N    NONE
ABELL_3581                 14:07:29.777       -27:01:05.88   0.0218     2.10    10.94    13.69   1.23e+44   2.13e+41      F   6.04e+40      F     N     N     N    NONE
ABELL_3667                 20:12:41.231       -56:50:35.70   0.0556     6.72   183.95   198.56   2.69e+45  -1.00e+00     UK   2.77e+39      F     N     N     N    NONE
ABELL_3667                 20:12:41.238       -56:50:36.15   0.0556     6.72   183.95   198.56   2.69e+45  -1.00e+00     UK   2.77e+39      F     N     N     N    NONE
ABELL_3667                 20:12:41.234       -56:50:35.78   0.0556     6.72   183.95   198.56   2.69e+45  -1.00e+00     UK   2.77e+39      F     N     N     N    NONE
ABELL_3667                 20:12:41.240       -56:50:35.70   0.0556     6.72   183.95   198.56   2.69e+45  -1.00e+00     UK   2.77e+39      F     N     N     N    NONE
ABELL_3921                 22:49:57.829       -64:25:42.17   0.0927     5.70    83.91    80.91   3.37e+44  -1.00e+00     UK   5.92e+39     NF     N     N     N    NONE
ABELL_4038                 23:47:43.180       -28:08:34.81   0.0300     3.30    37.14    37.93   3.89e+44  -1.00e+00     UK   6.22e+39      F     N     N     N    NONE
ABELL_4059                 23:57:01.065       -34:45:33.28   0.0475     4.69    -1.98     4.57   6.76e+44   1.18e+40      F   1.59e+42      F     Y     Y     N       Y
AWM7                       02:54:27.631       +41:34:47.07   0.0172     3.71     5.01    10.21   4.07e+44  -1.00e+00     UK   1.82e+38     NF     N     N     N    NONE
CENTAURUS                  12:48:48.926       -41:18:44.75   0.0109     3.96     1.32     1.43   1.74e+44   1.50e+40      F   6.79e+40      F     Y     Y     Y       Y
CID_0072                   17:33:03.247       +43:45:37.28   0.0344     2.88     4.90     9.45  -1.00e+00   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CID_0072                   17:33:03.262       +43:45:37.40   0.0344     2.88     4.90     9.45  -1.00e+00   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CID_0072                   17:33:03.224       +43:45:37.44   0.0344     2.88     4.90     9.45  -1.00e+00   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CID_0072                   17:33:03.225       +43:45:37.48   0.0344     2.88     4.90     9.45  -1.00e+00   1.06e+39      F   3.58e+39      F     Y     Y     N       Y
CL_J1226.9+3332            12:26:58.373       +33:32:47.36   0.8900    11.81   163.25   145.77   3.08e+45  -1.00e+00     UK   1.90e+42      F     Y     Y     N       Y
CL_J1226.9+3332            12:26:58.372       +33:32:47.18   0.8900    11.81   163.25   145.77   3.08e+45  -1.00e+00     UK   1.90e+42      F     Y     Y     N       Y
CL_J1226.9+3332            12:26:58.393       +33:32:47.60   0.8900    11.81   163.25   145.77   3.08e+45  -1.00e+00     UK   1.90e+42      F     Y     Y     N       Y
CYGNUS_A                   19:59:28.381       +40:44:01.98   0.0561    10.40    23.66    25.52   3.80e+45   2.13e+41      F   6.37e+44      F     Y     Y     Y       Y
ESO_3060170                05:40:06.687       -40:50:12.82   0.0358     2.79    14.15    17.47   6.60e+43  -1.00e+00     UK   2.70e+39      F     N     N     N    NONE
ESO_3060170                05:40:06.722       -40:50:11.97   0.0358     2.79    14.15    17.47   6.60e+43  -1.00e+00     UK   2.70e+39      F     N     N     N    NONE
EXO_0422-086               04:25:51.271       -08:33:36.42   0.0397     3.41    10.14    13.77   6.50e+43  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
HCG_0062                   12:53:05.741       -09:12:15.64   0.0146     1.10     3.05     3.34   8.13e+42  -1.00e+00     UK   2.03e+38      F     Y     Y     N       Y
HCG_42                     10:00:14.234       -19:38:10.77   0.0133     0.70     3.31     3.43   1.78e+42  -1.00e+00     UK   8.60e+37      F     Y     Y     N       Y
HERCULES_A                 16:51:08.161       +04:59:32.44   0.1541     5.28     2.76     9.17   3.27e+44  -1.00e+00     UK  -1.00e+00     UK     N     Y     Y       Y
HERCULES_A                 16:51:08.158       +04:59:32.35   0.1541     4.15     2.76     9.17   1.05e+45   1.30e+40      F   5.52e+44      F     N     Y     Y       Y
HERCULES_A                 16:51:08.156       +04:59:32.47   0.1541     4.15     2.76     9.17   1.05e+45   1.30e+40      F   5.52e+44      F     N     Y     Y       Y
HYDRA_A                    09:18:05.985       -12:05:43.94   0.0549     4.30    12.75    13.08   1.17e+45   9.61e+40      F   2.89e+43      F     N     Y     Y       Y
HYDRA_A                    09:18:06.010       -12:05:44.30   0.0549     4.30    12.75    13.08   1.17e+45   9.61e+40      F   2.89e+43      F     N     Y     Y       Y
M87                        12:30:49.383       +12:23:28.67   0.0044     2.50     3.40     3.45  -1.00e+00   1.03e+39      F   4.70e+41      F     ?     ?     ?       ?
M87                        12:30:49.383       +12:23:28.45   0.0044     2.50     3.40     3.45  -1.00e+00   1.03e+39      F   4.70e+41      F     ?     ?     ?       ?
MACS_J0011.7-1523          00:11:42.965       -15:23:20.79   0.3600     6.49    23.84    28.45   1.08e+45  -1.00e+00     UK   1.52e+42      F     N     N     N    NONE
MACS_J0011.7-1523          00:11:42.957       -15:23:20.46   0.3600     6.49    23.84    28.45   1.08e+45  -1.00e+00     UK   1.52e+42      F     N     N     N    NONE
MACS_J0035.4-2015          00:35:26.573       -20:15:46.06   0.3644     7.46    69.54    93.42   1.98e+45  -1.00e+00     UK   1.26e+41     NF     N     N     N    NONE
MACS_J0159.8-0849          01:59:49.453       -08:50:00.90   0.4050     9.16    10.96    17.43   2.63e+45  -1.00e+00     UK   2.37e+42      F     N     N     N    NONE
MACS_J0159.8-0849          01:59:49.422       -08:50:00.42   0.4050     9.16    10.96    17.43   2.63e+45  -1.00e+00     UK   2.37e+42      F     N     N     N    NONE
